level_0;level_1;ristorante;indirizzoOriginale;indirizzoGoogle;Score;0_restaurant;0_address;0_addressFix;1_restaurant;1_address;1_neighborhood;1_type;1_cost;1_addressFix
0,000;715,000;1,000;1,000;1,000;3,000;1 Nocello;257 West 55th Street;257 W 55th St, New York, NY 10019, USA;Nocello;257 West 55th St;Midtown West;Italian;$$$;257 W 55th St, New York, NY 10019, USA
0,000;716,000;1,000;1,000;1,000;3,000;1 Nocello;257 West 55th Street;257 W 55th St, New York, NY 10019, USA;Nocello;257 West 55th Street;Theater;Italian;$$$$;257 W 55th St, New York, NY 10019, USA
2,000;6,000;1,000;1,000;1,000;3,000;2 West;2 West Street;2 West St, New York, NY 10004, USA;2 West;2 West St;Financial District;American;$$$;2 West St, New York, NY 10004, USA
3,000;7,000;1,000;1,000;1,000;3,000;21 Club;21 West 52nd Street;21 W 52nd St, New York, NY 10019, United States;21 Club;21 W 52nd St;Midtown West;American;$$$;21 W 52nd St, New York, NY 10019, United States
11,000;17,000;1,000;1,000;1,000;3,000;A Voce;41 Madison Avenue;Jerome Mansion, 41 Madison Ave, New York, NY 10010, USA;A Voce;41 Madison Ave;Gramercy Park;Italian;$$$$;Jerome Mansion, 41 Madison Ave, New York, NY 10010, USA
12,000;25,000;1,000;1,000;1,000;3,000;A.J Maxwells - Steakhouse;57 West 48 Street;57 W 48th St, New York, NY 10036, USA;Aj Maxwell's - Steakhouse;57 West 48th Street;Midtown West;Steakhouse;$$$$;57 W 48th St, New York, NY 10036, USA
18,000;22,000;1,000;1,000;1,000;3,000;Ada;208 East 58th Street;208 E 58th St, New York, NY 10022, USA;Ada;208 E 58th Street;Midtown East;Indian;$$$;208 E 58th St, New York, NY 10022, USA
22,000;23,000;1,000;1,000;1,000;3,000;Agave;140 7th Avenue South;140 7th Ave S, St. Petersburg, FL 33701, USA;Agave;140 7th Ave South;Greenwich Village;Southwestern;$$;140 7th Ave S, St. Petersburg, FL 33701, USA
35,000;30,000;1,000;1,000;1,000;3,000;Alfama;551 Hudson Street;551 Hudson St, New York, NY 10014, USA;Alfama;551 Hudson St;Greenwich Village;Portuguese;$$;551 Hudson St, New York, NY 10014, USA
36,000;31,000;1,000;1,000;1,000;3,000;Alfredo of Rome;4 West 49th Street;4 W 49th St, New York, NY 10020, USA;Alfredo Of Rome;4 W 49th St;;;;4 W 49th St, New York, NY 10020, USA
37,000;35,000;1,000;1,000;1,000;3,000;Allegretti;46 West 22nd Street;46 W 22nd St, New York, NY 10010, USA;Allegretti;46 West 22nd St;Flatiron;French;$$$$;46 W 22nd St, New York, NY 10010, USA
38,000;36,000;1,000;1,000;1,000;3,000;Allen and Delancey;115 Allen Street;115 Allen St, New York, NY 10002, USA;Allen & Delancey;115 Allen St;Lower East Side;American;$$$;115 Allen St, New York, NY 10002, USA
40,000;38,000;1,000;1,000;1,000;3,000;Alonso's Steakhouse;265 West 20th Street;265 W 20th St, New York, NY 10011, USA;Alonso's Steakhouse;265 West 20th St;Chelsea;Steakhouse;$$$;265 W 20th St, New York, NY 10011, USA
45,000;46,000;1,000;1,000;1,000;3,000;Amber;1406 3rd Avenue;1406 3rd Ave, New York, NY 10075, USA;Amber;1406 Third Ave.;Pan-Asian;$$;;1406 3rd Ave, New York, NY 10075, USA
107,000;99,000;1,000;1,000;1,000;3,000;Bar Americain;152 West 52nd Street;152 W 52nd St, New York, NY 10019, USA;Bar Americain;152 W 52nd St;Midtown West;American;$$$$;152 W 52nd St, New York, NY 10019, USA
583,000;746,000;1,000;1,000;1,000;3,000;Ouest;2315 Broadway;2315 Broadway, New York, NY 10024, USA;Ouest;2315 Broadway;Upper West Side;American;$$$$;2315 Broadway, New York, NY 10024, USA
56,000;47,000;1,000;1,000;1,000;3,000;Amma;246 East 51st Street;246 E 51st St, New York, NY 10022, USA;Amma;246 E 51st St;Midtown East;Indian;$$$$;246 E 51st St, New York, NY 10022, USA
57,000;48,000;1,000;1,000;1,000;3,000;Ammos Estiatorio;52 Vanderbilt Avenue;52 Vanderbilt Ave, New York, NY 10017, USA;Ammos Estiatorio;52 Vanderbilt Ave;Midtown East;Greek;$$$;52 Vanderbilt Ave, New York, NY 10017, USA
65,000;57,000;1,000;1,000;1,000;3,000;Apiary;60 3rd Avenue;60 3rd Ave, New York, NY 10003, USA;Apiary;60 Third Ave.;East Village;American;$$$$;60 3rd Ave, New York, NY 10003, USA
66,000;58,000;1,000;1,000;1,000;3,000;Apizz;217 Elridge Street;217 Eldridge St, New York, NY 10002, USA;Apizz;217 Eldridge St;Lower East Side;Italian;$$$;217 Eldridge St, New York, NY 10002, USA
67,000;61,000;1,000;1,000;1,000;3,000;Aquavit;65 East 55th Street;65 E 55th St, New York, NY 10022, United States;Aquavit;65 East 55th Street;Midtown West;Scandinavian;$$$$;65 E 55th St, New York, NY 10022, United States
72,000;66,000;1,000;1,000;1,000;3,000;Arte Cafe;106 West 73rd Street;106 W 73rd St, New York, NY 10023, USA;Arte Cafe;106 W 73rd St;Upper West Side;Italian;$$;106 W 73rd St, New York, NY 10023, USA
73,000;69,000;1,000;1,000;1,000;3,000;Artisanal;2 Park Avenue;2 Park Ave, New York, NY 10016, USA;Artisanal;2 Park Avenue;Lower East Side;French;$$$;2 Park Ave, New York, NY 10016, USA
78,000;74,000;1,000;1,000;1,000;3,000;Aspen;30 West 22nd Street;30 W 22nd St, New York, NY 10010, USA;Aspen;30 W 22nd St;;;;30 W 22nd St, New York, NY 10010, USA
79,000;75,000;1,000;1,000;1,000;3,000;Aspen Social Club;157 West 47th Street;157 W 47th St, New York, NY 10036, USA;Aspen Social Club;157 W 47th St;Midtown West;American;$$$$;157 W 47th St, New York, NY 10036, USA
88,000;82,000;1,000;1,000;1,000;3,000;Avra Estiatorio;141 East 48th Street;141 E 48th St, New York, NY 10017, USA;Avra Estiatorio;141 E 48th St;Midtown East;Greek;$$$$;141 E 48th St, New York, NY 10017, USA
89,000;84,000;1,000;1,000;1,000;3,000;Azafran;77 Warren Street;77 Warren St, New York, NY 10007, USA;Azafran;77 Warren St;TriBeCa;Spanish;$$$;77 Warren St, New York, NY 10007, USA
93,000;88,000;1,000;1,000;1,000;3,000;B. Smith's Restaurant Row;320 West 46th Street;320 W 46th St, New York, NY 10036, USA;B. Smith's Restaurant Row;320 West 46th St;Midtown West;Southern;$$$;320 W 46th St, New York, NY 10036, USA
98,000;92,000;1,000;1,000;1,000;3,000;Babbo;110 Waverly Place;110 Waverly Pl, New York, NY 10011, USA;Babbo;110 Waverly Pl;Greenwich Village;Italian;$$$$;110 Waverly Pl, New York, NY 10011, USA
102,000;93,000;1,000;1,000;1,000;3,000;Baldoria;249 West 49th Street;249 W 49th St, New York, NY 10019, USA;Baldoria;249 West 49th Street;Midtown West;Italian;$$$$;249 W 49th St, New York, NY 10019, USA
106,000;97,000;1,000;1,000;1,000;3,000;Bann;350 West 50th Street;350 W 50th St, New York, NY 10019, USA;Bann;350 W 50th St;Theater;Korean;$$$;350 W 50th St, New York, NY 10019, USA
112,000;104,000;1,000;1,000;1,000;3,000;Baraonda;1439 Second Avenue;1439 2nd Ave, New York, NY 10021, USA;Baraonda;1439 Second Avenue;;;;1439 2nd Ave, New York, NY 10021, USA
113,000;105,000;1,000;1,000;1,000;3,000;Barbetta;321 West 46th Street;321 W 46th St, New York, NY 10036, USA;Barbetta;321 W 46th Street;Midtown East;Italian;$$$;321 W 46th St, New York, NY 10036, USA
122,000;115,000;1,000;1,000;1,000;3,000;Becco;355 West 46 Street;355 W 46th St, New York, NY 10036, USA;Becco;355 W 46th St;Midtown West;Italian;$$$;355 W 46th St, New York, NY 10036, USA
128,000;118,000;1,000;1,000;1,000;3,000;Bello Sguardo;410 Amsterdam Avenue;410 Amsterdam Ave, New York, NY 10024, USA;Bello Sguardo;410 Amsterdam Ave;Upper West Side;Mediterranean;$$;410 Amsterdam Ave, New York, NY 10024, USA
149,000;140,000;1,000;1,000;1,000;3,000;Blue Hill;75 Washington Place;75 Washington Pl, New York, NY 10011, USA;Blue Hill;75 Washington Place;Greenwich Village;American;$$$$;75 Washington Pl, New York, NY 10011, USA
150,000;144,000;1,000;1,000;1,000;3,000;Blue Smoke;116 East 27th Street;116 E 27th St, New York, NY 10016, USA;Blue Smoke;116 E 27th St;Gramercy Park;Barbecue;$$;116 E 27th St, New York, NY 10016, USA
160,000;163,000;1,000;1,000;1,000;3,000;Borgo Antico;22 East 13th Street;22 E 13th St, New York, NY 10003, USA;Borgo Antico;22 E 13th St;East Village;Italian;$$$;22 E 13th St, New York, NY 10003, USA
174,000;176,000;1,000;1,000;1,000;3,000;Broadway Joe Steakhouse;315 West 46 Street;315 W 46th St, New York, NY 10036, USA;Broadway Joe Steakhouse;315 West 46th Street;Theater;Steakhouse;$$$;315 W 46th St, New York, NY 10036, USA
178,000;179,000;1,000;1,000;1,000;3,000;Bubble Lounge;228 West Broadway;228 W Broadway, New York, NY 10013, USA;Bubble Loung;228 W Broadway;TriBeCa;Small Plates;$$$;228 W Broadway, New York, NY 10013, USA
179,000;183,000;1,000;1,000;1,000;3,000;Buddha Bar;25 Little West 12th Street;25 Little W 12th St, New York, NY 10014, USA;Buddha Bar;25 Little West 12th Street;Meatpacking District;Asian;$$$$;25 Little W 12th St, New York, NY 10014, USA
180,000;186,000;1,000;1,000;1,000;3,000;Bull Run;52 William Street;52 William St, New York, NY 10005, USA;Bull Run;52 William St;Financial District;American;$$$;52 William St, New York, NY 10005, USA
188,000;189,000;1,000;1,000;1,000;3,000;Butai;115 East 18th Street;115 E 18th St, New York, NY 10003, USA;Butai;115 E 18th St;Gramercy Park;Japanese;$$$;115 E 18th St, New York, NY 10003, USA
189,000;190,000;1,000;1,000;1,000;3,000;Butter;415 Lafayette Street;415 Lafayette St, New York, NY 10003, USA;Butter;415 Lafayette St;East Village;American;$$$;415 Lafayette St, New York, NY 10003, USA
196,000;201,000;1,000;1,000;1,000;3,000;Cafe Espanol;172 Bleecker Street;172 Bleecker St, New York, NY 10012, USA;Cafe Espanol;172 Bleecker Street;Greenwich Village;American;$;172 Bleecker St, New York, NY 10012, USA
197,000;202,000;1,000;1,000;1,000;3,000;Cafe Frida;368 Columbus Avenue;368 Columbus Ave, New York, NY 10024, USA;Cafe Frida;368 Columbus Ave;Upper West Side;Mexican;$$;368 Columbus Ave, New York, NY 10024, USA
199,000;207,000;1,000;1,000;1,000;3,000;Cafe Lalo;201 West 83 Street;201 W 83rd St, New York, NY 10024, USA;Cafe Lalo;201 W 83rd St;Upper West Side;American;$;201 W 83rd St, New York, NY 10024, USA
209,000;220,000;1,000;1,000;1,000;3,000;Calle Ocho;446 Columbus Avenue;446 Columbus Ave, New York, NY 10024, USA;Calle Ocho;446 Columbus Avenue;Upper West Side;Cuban;$$;446 Columbus Ave, New York, NY 10024, USA
211,000;225,000;1,000;1,000;1,000;3,000;Candle 79;154 East 79th Street;154 E 79th St, New York, NY 10075, USA;Candle 79;154 E 79 St;Upper East Side;Vegetarian;$$;154 E 79th St, New York, NY 10075, USA
213,000;227,000;1,000;1,000;1,000;3,000;Canyon Road;1470 1st Avenue;1470 1st Avenue, New York, NY 10075, USA;Canyon Road;1470 First Avenue;Upper East Side;Southwestern;$$;1470 1st Avenue, New York, NY 10075, USA
216,000;230,000;1,000;1,000;1,000;3,000;Carmine's;2450 Broadway;2450 Broadway, New York, NY 10024, USA;Carmine's;2450 Broadway;Midtown West;Italian;$$;2450 Broadway, New York, NY 10024, USA
230,000;242,000;1,000;1,000;1,000;3,000;Chanterelle;2 Harrison Street;2 Harrison St, San Francisco, CA 94105, USA;Chanterelle;2 Harrison St;TriBeCa;French;$$$$$;2 Harrison St, San Francisco, CA 94105, USA
235,000;247,000;1,000;1,000;1,000;3,000;Chez Jacqueline;72 MacDougal Street;72 MacDougal St, New York, NY 10012, USA;Chez Jacqueline;72 Macdougal St;Greenwich Village;French;$$$;72 MacDougal St, New York, NY 10012, USA
236,000;250,000;1,000;1,000;1,000;3,000;Chin Chin;216 East 49th Street;216 E 49th St, New York, NY 10017, USA;Chin Chin;216 E 49th St;Midtown East;Chinese;$$$;216 E 49th St, New York, NY 10017, USA
243,000;254,000;1,000;1,000;1,000;3,000;Chinatown Brasserie;380 Lafayette Street;380 Lafayette St, New York, NY 10003, USA;Chinatown Brasserie;380 Lafayette St;NoLita;Chinese;$$$;380 Lafayette St, New York, NY 10003, USA
252,000;264,000;1,000;1,000;1,000;3,000;Cibo;767 Second Avenue;767 2nd Ave, New York, NY 10017, USA;Cibo;767 Second Avenue;Midtown East;American;$$$;767 2nd Ave, New York, NY 10017, USA
257,000;268,000;1,000;1,000;1,000;3,000;Citrus Bar & Grill;320 Amsterdam Avenue;320 Amsterdam Ave, New York, NY 10023, USA;Citrus Bar & Grill;320 Amsterdam Ave;Upper West Side;Asian;$$;320 Amsterdam Ave, New York, NY 10023, USA
258,000;271,000;1,000;1,000;1,000;3,000;City Crab & Seafood Company;235 Park Avenue South;235 Park Ave S, New York, NY 10003, USA;City Crab & Seafood;235 Park Ave S;Lower East Side;Seafood;$$$;235 Park Ave S, New York, NY 10003, USA
259,000;272,000;1,000;1,000;1,000;3,000;City Hall;131 Duane Street;131 Duane St, New York, NY 10013, USA;City Hall;131 Duane St;TriBeCa;Seafood;$$$;131 Duane St, New York, NY 10013, USA
265,000;274,000;1,000;1,000;1,000;3,000;Colors;417 Lafayette Street;417 Lafayette St, New York, NY 10003, USA;Colors;417 Lafayette St;East Village;International;$$$;417 Lafayette St, New York, NY 10003, USA
266,000;275,000;1,000;1,000;1,000;3,000;Columbus Bakery;474 Columbus Avenue;474 Columbus Ave, New York, NY 10024, USA;Columbus Bakery;474 Columbus Ave;;;;474 Columbus Ave, New York, NY 10024, USA
271,000;279,000;1,000;1,000;1,000;3,000;Cookshop;156 10th Avenue;156 10th Ave, New York, NY 10011, USA;Cookshop;156 10th Ave;Chelsea;American;$$$$;156 10th Ave, New York, NY 10011, USA
274,000;281,000;1,000;1,000;1,000;3,000;Cornelia Street Cafe;29 Cornelia Street;29 Cornelia St, New York, NY 10014, USA;Cornelia Street Cafe;29 Cornelia Street;Greenwich Village;American;$$$;29 Cornelia St, New York, NY 10014, USA
284,000;289,000;1,000;1,000;1,000;3,000;Craftbar;900 Broadway;900 Broadway;Craftbar;900 Broadway;Flatiron;American;$$$;900 Broadway
286,000;291,000;1,000;1,000;1,000;3,000;Crema Restaurante;111 West 17th Street;111 W 17th St, New York, NY 10011, USA;Crema Restaurante;111 West 17th Street;Chelsea;Mexican;$$$;111 W 17th St, New York, NY 10011, USA
287,000;294,000;1,000;1,000;1,000;3,000;Crispo;240 West 14th Street;240 W 14th St, New York, NY 10011, USA;Crispo;240 W 14th St;West Village;Italian;$$$;240 W 14th St, New York, NY 10011, USA
291,000;298,000;1,000;1,000;1,000;3,000;Cuba;222 Thompson Street;222 Thompson St, New York, NY 10012, USA;Cuba;222 Thompson Street;Greenwich Village;Cuban;$$;222 Thompson St, New York, NY 10012, USA
292,000;299,000;1,000;1,000;1,000;3,000;Cuba Cafe;200 8th Avenue;200 8th Ave, New York, NY 10011, USA;Cuba Cafe;200 Eighth Ave;Chelsea;Cuban;$;200 8th Ave, New York, NY 10011, USA
294,000;1066,000;1,000;1,000;1,000;3,000;DB Bistro Moderne;55 West 44th Street;55 W 44th St, New York, NY 10036, USA;db Bistro Moderne;55 W 44th Street;Midtown West;French;$$$$;55 W 44th St, New York, NY 10036, USA
301,000;314,000;1,000;1,000;1,000;3,000;Davidburke & Donatella;133 East 61st Street;133 E 61st St, New York, NY 10065, USA;Davidburke & Donatella;133 E 61st St;Upper East Side;American;$$$$;133 E 61st St, New York, NY 10065, USA
306,000;320,000;1,000;1,000;1,000;3,000;Delmonico's;56 Beaver Street;56 Beaver St, New York, NY 10004, USA;Delmonico's;56 Beaver Street;Financial District;American;$$$$$;56 Beaver St, New York, NY 10004, USA
308,000;327,000;1,000;1,000;1,000;3,000;Dinosaur Bar B Que;646 West 131st Street;646 W 131st St, New York, NY 10027, USA;Dinosaur Bar-B-Que;646 W 131st St;Harlem;American;$;646 W 131st St, New York, NY 10027, USA
317,000;336,000;1,000;1,000;1,000;3,000;Donguri;309 East 83rd Street;309 E 83rd St, New York, NY 10028, USA;Donguri;309 E 83rd St;Upper East Side;Japanese;$$$;309 E 83rd St, New York, NY 10028, USA
