restaurant;address;country
100 Finest Pizza & Restaurant Inc;103 West 110;
100 Kenmare Food Corp;100 Kenmare;New York
100 Park KNC Inc;100 Park Avenue Lbby;New York
101 Audubon Grocery;101 Audubon Avenue Frnt;New York
101 Donut Shop;101 West 23;New York
101 Restaurant;238 East 24;New York
1020 Amsterdam Corporation;1020 Amsterdam Avenue;New York
103 Deli & Grocery Inc;2711 Broadway;New York
103 Second Restaurant;230 East 9th Street;New York
107 West Restaurant;811 West 187th Street;New York
107 West Restaurant;2787 Broadway;New York
108 Mini Cafe;196 West 108th Street;New York
10th AV Farms Inc;460 West 34th Street;New York
10th Avenue Gourmet;829 10 Av;New York
10th Avenue Pizza & Deli Inc;256 10th Avenue Frnt;New York
10th Avenue Restaurant Deli;764 10th Avenue;New York
1131 Lexington Grocery Corporation;1131 Lexington Avenue;New York
119 Bar;119 E 15th St;New York
119 Bar;17 Irving Place Frnt;New York
11th Ave Health Food Ktchn Deli;610 11th Ave;New York
12 Chairs;56 Macdougal St;New York
122 Deli Grocery;147 Sherman Av;New York
123 Greetings.Com Inc;1674 Broadway;New York
128 Madison Avenue Chinese Restaurant;128 Madison Ave;New York
130 Water Gourmet Farm Inc;79 Pine Street;New York
1316 Food Inc;1316 5 Av;New York
132 Deli Inc;132 East 31st Street;New York
1363 Stir;1363 First Ave;New York
1363 Stir;Tapas;
137 Broadway Chinese Rest;3371 Broadway;New York
14 St Fruit & Vegetable;154 West 14th Street;New York
14 Wall St Restaurant;14 Wall St;New York
1420 Broadway Deli Inc;1420 Broadway;New York
144 Deli;142 W 49th St;New York
1455 York Delicatessen CO;433 East 80th Street;New York
1492;60 Clinton Street;New York
15 Penn Plaza Corporation;15 Penn Plaza;New York
154 Chelsea Deli Corp;154 7 Av;New York
157 West 33 Gourmet Deli;157 West 33rd Street;New York
162 First Avenue Corporation;162 1st Avenue;New York
163 First Avenue Restaurant;163 1st Ave;New York
1631 Panda Kitchen Inc;1631 2 Av;New York
1641 2nd Avenue Restaurant Inc;1641 2nd Ave;New York
1657 Broadway Deli Ltd;1657 Broadway;New York
168 E 116 Restaurant Corporation;168 East 116th Street;New York
17 Battery Park Cafe;17 Battery Place Floor 1;New York
17 Murray St Restaurant;17 Murray Street;
17 Murray St Restaurant;17 Murray St Restaurant;
180 Broadway Cafe;180 Broadway;New York
181 Janlo Co;4259 Broadway;New York
1849;183 Bleecker Street;New York
1978 Convenience Espress;1978 1 Av;New York
1991 Small Fish;1991 Broadway Frnt;New York
1994 Sss Corp;901 Avenue Of The Americas;New York
