restaurant;address;country;country_code;neighborhood;type;cost
'Cesca;164 W 75th St;New York;NY;Upper West Side;Italian;$$$
'Ino;21 Bedford St;New York;NY;Greenwich Village;Italian;$
'Inoteca;98 Rivington St;New York;NY;Lower East Side;Italian;$$
107 West;811 W 187th St;New York;NY;Harlem;Creole-Cajun;$$$
15 East;15 E. 15th Street;New York;NY;Union Square;Japanese;$$$$
2 Rivers Bar and ReStaurant;10 Murray St;New York;NY;American;----;
2 West;2 West St;New York;NY;Financial District;American;$$$
21 Club;21 W 52nd St;New York;NY;Midtown West;American;$$$
26 Seats;168 Ave B;New York;NY;East Village;French;$$
44;44 W 44th Street;New York;NY;Midtown West;American;$$$
44 & X Hell's Kitchen;622 10th Ave;New York;NY;Midtown West;American;$$$
5 Napkin Burger;630 Ninth Ave;New York;NY;Hell's Kitchen;American;$$
5 Ninth;5 Ninth Ave;New York;NY;Meatpacking District;International;$$$
71 Irving Place;71 Irving Pl;New York;NY;Gramercy Park;American;$
77493;1633 Broadway;New York;NY;Midtown West;American;$$
A;947 Columbus Ave;New York;NY;Harlem;Caribbean;$
A Cafe;973 Columbus Avenue;New York;NY;Upper West Side;French;$$$
A Voce;41 Madison Ave;New York;NY;Gramercy Park;Italian;$$$$
A.O.C.;314 Bleecker St;New York;NY;West Village;French;$$
A.O.C. Bedford;14 Bedford St;New York;NY;Greenwich Village;French;$$$
Abboccato;136 W 55th St;New York;NY;Midtown West;Italian;$$$$
Acqua;718 Amsterdam Ave.;New York;NY;Italian;$$$$;
Ada;208 E 58th Street;New York;NY;Midtown East;Indian;$$$
Agave;140 7th Ave South;New York;NY;Greenwich Village;Southwestern;$$
Aix Brasserie;2398 Broadway;New York;NY;Upper West Side;French;$$$$
Aj Maxwell's - Steakhouse;57 West 48th Street;New York;NY;Midtown West;Steakhouse;$$$$
Akdeniz;19 W 46th St;New York;NY;Midtown West;Mediterranean;$
Aki;181 W Fourth St;New York;NY;Greenwich Village;Caribbean;$$$
Al Bustan Restaurant;827 Third Ave;New York;NY;Midtown East;Middle Eastern;$$$
Alexandra;455 Hudson St;New York;NY;West Village;American;$$
Alfama;551 Hudson St;New York;NY;Greenwich Village;Portuguese;$$
Alfredo Of Rome;4 W 49th St;;;;;
Ali Baba;206 E 34th St;New York;NY;Murray Hill;Turkish;$
Alias;76 Clinton St;New York;NY;Lower East Side;American;$$$
Alice's Tea Cup;102 West. 73 st;New York;NY;Upper West Side;American;$
Allegretti;46 West 22nd St;New York;NY;Flatiron;French;$$$$
Allen & Delancey;115 Allen St;New York;NY;Lower East Side;American;$$$
Almond;12 E 22nd Street;New York;NY;Flatiron;French;$$$$$
Alonso's Steakhouse;265 West 20th St;New York;NY;Chelsea;Steakhouse;$$$
Alouette;2588 Broadway;New York;NY;Upper West Side;French;$$$
Alta;64 West 10th Street;New York;NY;Greenwich Village;Mediterranean;$$$
Alto;520 Madison Ave;New York;NY;Midtown East;Italian;$$$$$
Amalia;;New York;NY;Midtown West;Mediterranean;$$$$
Amaranth;21 E. 62nd St.;New York;NY;Mediterranean;$$$;
Amazing 66;66 Mott Street;New York;NY;Chinatown;Chinese;$$
Ambassador Grill and Lounge;1 United Nations Plaza;New York;NY;Midtown East;International;$$$
Amber;1406 Third Ave.;New York;NY;Pan-Asian;$$;
Amma;246 E 51st St;New York;NY;Midtown East;Indian;$$$$
Ammos Estiatorio;52 Vanderbilt Ave;New York;NY;Midtown East;Greek;$$$
Amy Ruth's;113 W 116th St;New York;NY;Harlem;Southern;$
Amy's Bread;75 Ninth Ave;New York;NY;Midtown West;American;$
Angelica Kitchen;300 E 12th St;New York;NY;East Village;Vegetarian;$
Angelo & Maxies Steakhouse;233 Park Ave South (19th St);New York;NY;Midtown West;Steakhouse;$$$
Angelo's Of Mulberry Street;146 Mulberry St Fl 1;New York;NY;Little Italy;Italian;$$$
Angon on The Sixth;320 E Sixth St;New York;NY;East Village;Indian;$
Annisa;13 Barrow Street;New York;NY;Greenwich Village;American;$$$$$
Anthos;36 W 52nd St;New York;NY;Midtown West;Mediterranean;$$$$
Apiary;60 Third Ave.;New York;NY;East Village;American;$$$$
Apizz;217 Eldridge St;New York;NY;Lower East Side;Italian;$$$
Aq Cafe;58 Park Ave;New York;NY;Murray Hill;Scandinavian;$
Aquagrill;210 Spring St;New York;NY;SOHO;Seafood;$$$$
Aquavit;65 East 55th Street;New York;NY;Midtown West;Scandinavian;$$$$
Arezzo;46 W 22nd St;New York;NY;Flatiron;Italian;$$$
Aroma;36 E Fourth St;New York;NY;NoLita;Italian;$$
Arqua;281 Church Street;New York;NY;TriBeCa;Italian;$$$
Arriba Arriba!;1463 Third Ave;New York;NY;Upper East Side;American;$
Arte Cafe;106 W 73rd St;New York;NY;Upper West Side;Italian;$$
Artichoke;328 E 14th St;New York;NY;East Village;Pizza;$$
Artie's Deli;2290 Broadway;;;;;
Artisanal;2 Park Avenue;New York;NY;Lower East Side;French;$$$
Arturo's Restaurants;106 W Houston St;New York;NY;Greenwich Village;Italian;$
Asia De Cuba;237 Madison Ave;New York;NY;Murray Hill;Asian;$$$$
Asiakan;710 Amsterdam Ave.;New York;NY;Upper West Side;Pan-Asian;$
Asiate;80 Columbus Cir at 60th Street;New York;NY;Upper West Side;French;$$$$
Aspen;30 W 22nd St;;;;;
Aspen Social Club;157 W 47th St;New York;NY;Midtown West;American;$$$$
Atlantic Grill;1341 Third Ave;New York;NY;Upper East Side;Seafood;$$$
Atnhos;36 W. 52nd Street;New York;NY;Greek;$$$$;
Au Mandarin;200-250 Vesey St;New York;NY;Financial District;Chinese;$$
August;359 Bleecker St;New York;NY;West Village;European;$$$
Aureole;34 E 61st St (Between Park and Madison);New York;NY;Midtown East;American;$$$$$
Aurora;51 Broome St.;New York;NY;SOHO;Italian;$$
Avra Estiatorio;141 E 48th St;New York;NY;Midtown East;Greek;$$$$
Awash;947 Amsterdam Ave.;New York;NY;Ethiopian;;
Azafran;77 Warren St;New York;NY;TriBeCa;Spanish;$$$
Azucar;939 Eighth Avenue;New York;NY;Midtown West;Cuban;$$
Azuri Cafe;465 W 51st St;New York;NY;Midtown West;Jewish;$
Azza;137 E. 55th Street;New York;NY;Midtown East;Moroccan;$$$$
B. Smith's Restaurant Row;320 West 46th St;New York;NY;Midtown West;Southern;$$$
BLT Fish;21 W 17th St;New York;NY;Flatiron;Seafood;$$
BLT Prime;111 East 22nd Street;New York;NY;Gramercy Park;American;$$$$
BLT Steak;106 E 57th St;New York;NY;Midtown East;Steakhouse;$$$$$
Babbo;110 Waverly Pl;New York;NY;Greenwich Village;Italian;$$$$
Baldoria;249 West 49th Street;New York;NY;Midtown West;Italian;$$$$
Bali Nusa Indah Restaurant Inc;651 9th Ave;New York;NY;Indonesian;;
Balthazar;80 Spring Street;New York;NY;SOHO;French;$$$
Banjara;97 First Ave;New York;NY;East Village;Indian;$$
Bann;350 W 50th St;New York;NY;Theater;Korean;$$$
Bao 111;111 Ave C;New York;NY;East Village;Asian;$$
Bar Americain;152 W 52nd St;New York;NY;Midtown West;American;$$$$
Bar Boa;100 W 82nd Street;New York;NY;Upper West Side;Vietnamese;$$$$
Bar Jamon;52 Irving Pl.;;New York;NY;Spanish;$$$
Bar Martignetti;406 Broome St.;;;;;
Bar Pitti;268 Sixth Avenue;New York;NY;Greenwich Village;Italian;$$
Baraonda;1439 Second Avenue;;;;;
Barbetta;321 W 46th Street;New York;NY;Midtown East;Italian;$$$
Barbounia;250 Park Ave South;New York;NY;Flatiron;Mediterranean;$$$$
Barmarche;14 Spring St;New York;NY;NoLita;American;$$
Barney Greengrass;541 Amsterdam Ave;New York;NY;Upper West Side;Deli;$
Barolo;398 West Broadway;New York;NY;SOHO;Italian;$$$
Basta Pasta;37 W 17th St;New York;NY;Flatiron;Italian;$$
Battery Gardens;Inside Battery Parkacross From 17 State St;New York;NY;Financial District;American;$$$
Bay Leaf;49 W 56th Street;New York;NY;Midtown West;Indian;$$
Bb Sandwich Bar;120 W Third St;New York;NY;West Village;American;$
Beacon;25 West 56th St (Between 5th & 6th Avenues);New York;NY;Midtown West;American;$$$$
Becco;355 W 46th St;New York;NY;Midtown West;Italian;$$$
Bellavitae;21 Minetta Ln;New York;NY;Greenwich Village;Italian;$$$
Bello;863 Ninth Ave;;;;;
Bello Sguardo;410 Amsterdam Ave;New York;NY;Upper West Side;Mediterranean;$$
Ben & Jack's Steak House;219 E 44th St;New York;NY;Midtown East;Steakhouse;$$$$
Ben's Kosher Deli;209 West 38th Street;New York;NY;Midtown West;Deli;$
Beppe;45 E 22nd St;New York;NY;Flatiron;Italian;$$$
Bette;461 W 23rd St;New York;NY;Chelsea;European;$$$
Bettola;412 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$
Beyoglu;1431 Third Avenue;New York;NY;Upper East Side;Mediterranean;$$
Bianca;5 Bleecker St;New York;NY;NoLita;Italian;$$
Big Nick's Burger Joint;2175 Broadway;New York;NY;Upper West Side;American;$
Big Wong;67 Mott St;;;;;
Bistro Cassis;225 Columbus Ave;New York;NY;Upper West Side;French;$$
Bistro Citron;473 Columbus Ave.;;;;;
Bistro Les Amis;180 Spring St/Thompson;New York;NY;SOHO;French;$$
Bistro Ten 18;1018 Amsterdam Ave;New York;NY;Upper West Side;American;$$
Black Iron Burger Shop;540 E 5th St;New York;NY;East Village;American;$$$
Black Pearl;37 W. 26th Street;New York;NY;Chelsea;Seafood;$$
Blaue Gans;139 Duane Street;New York;NY;TriBeCa;German;$$$
Blockheads Mexican Diner;954 Second Ave;New York;NY;Midtown West;Mexican;$
Bloomingdale Road;2398 Broadway;New York;NY;American;$$$;
Blossom;187 Ninth Ave.;New York;NY;Vegetarian;$$;
Blue 9 Burger;92 3rd Ave;New York;NY;East Village;American;$
Blue Fin;1567 Broadway at 47th;New York;NY;Midtown West;Seafood;$$$
Blue Hill;75 Washington Place;New York;NY;Greenwich Village;American;$$$$
Blue Ribbon;97 Sullivan Street;New York;NY;SOHO;American;$$$
Blue Ribbon Bakery;33 Downing Street;New York;NY;Greenwich Village;American;$$
Blue Ribbon Sushi;119 Sullivan St;New York;NY;SOHO;Sushi;$$$
Blue Smoke;116 E 27th St;New York;NY;Gramercy Park;Barbecue;$$
Blue Water Grill;31 Union Square West;New York;NY;Union Square;Seafood;$$$
Bluechili;251 W 51st St;New York;NY;Midtown West;Asian;$$
Bobby Van's Grill - 50th Street;135 W 50th St;New York;NY;Midtown West;Italian;$$$
Bobby Van's Steakhouse-54th Street;131 E 54th Street;New York;NY;Midtown East;Steakhouse;$$$
Bobby Van's Steakhouse-Park Avenue;230 Park Avenue;New York;NY;Midtown East;Steakhouse;$$$
Bobo;181 W. 10th St.;New York;NY;Greenwich Village;European;$$$$
Boca Chica;13 First Avenue;New York;NY;East Village;South American;$
Boi;246 East 44th Street;New York;NY;Midtown East;Vietnamese;$$
Boi To Go;800 Second Ave;New York;NY;Midtown East;Vietnamese;$$
Bolo;23 E 22nd St;New York;NY;Flatiron;Spanish;$$$$
Bombay Grill;344 Lexington Ave;New York;NY;Indian;$$;
Bombay Palace;30 W 52nd St;New York;NY;Midtown West;Indian;$$
Bombay Talkie;189 Ninth Ave;New York;NY;Chelsea;Indian;$$
Bond 45;154 W 45th St;New York;NY;Midtown West;Italian;$$$
Bondi Road;153 Rivington St.;New York;NY;Australian;$$;
Bondst;6 Bond Street;New York;NY;TriBeCa;Japanese;$$$$
Boom;152 Spring Street;New York;NY;SOHO;Italian;$$
Boqueria;53 W. 19th St.;New York;NY;Spanish;$$$;
Borgo Antico;22 E 13th St;New York;NY;East Village;Italian;$$$
Bottino;246 10th Ave;New York;NY;Chelsea;Italian;$$$
Bouley;120 West Broadway;New York;NY;TriBeCa;French;$$$$$
Bourbon Street Bar & Grille;346 W 46th Street;New York;NY;Creole-Cajun;$$$$;
Brasserie;100 East 53rd St;New York;NY;Midtown East;French;$$$
Brasserie 8 1/2;9 W 57th St;New York;NY;Midtown West;French;$$$$
Brasserie Julien;1422 3rd Ave (Between 80th & 81st Streets);New York;NY;Upper East Side;French;$$
Bread;20 Spring St;New York;NY;NoLita;American;$$
Bricco Ristorante;304 W 56th St;;;;;
Brick Lane Curry;342 East 6th St;New York;NY;East Village;Indian;$
Bridge Cafe;279 Water St;New York;NY;Financial District;American;$$$
Bright Food Shop;218 Eighth Ave;New York;NY;Chelsea;Asian;$
Broadway East;171 East Broadway;New York;NY;Lower East Side;American;$$$
Broadway Joe Steakhouse;315 West 46th Street;New York;NY;Theater;Steakhouse;$$$
