restaurant;address1;address2
& X;622 10th Ave;
'SNice;45 8th Ave;At W 4th St
'SNice45;8th Ave;
'beca;130 Duane St;At Church St
'ino;21 Bedford St;Btwn 6th Ave & Downing St
'inoteca;98 Rivington St;At Ludlow St
'inoteca;323 3rd Ave;
'wichcraft;1 Rockefeller Plaza;48th St btwn 5th & 6th Ave
'wichcraft;1 Park Ave;Btwn 32nd & 33rd St
'wichcraft;0Union Square;
'wichcraft;69 Prince St;At Crosby St
'wichcraft;397 Greenwich St;At Beach St
'wichcraft;555 5th Ave;At 46th St
'wichcraft;269 11th Ave;Btwn 27th & 28th St
'wichcraft;11 E 20th St;Btwn Bway & 5th Ave
'wichcraft;60 E 8th St;At Mercer St
'wichcraft;245 Park Ave;At 47th St
'wichcraftBryant Park;0 At 6th ave & 42nd St;
'wichcraftBryant Park;At;6th ave & 42nd St
'wichcraftUnion Square;0;
(V) Vegetarian Sandwich Bar;1259 Park Ave;Btwn 97th & 98th St
1/26;2626 10th Ave;
1/26;10th Ave;Btwn 44th & 45th St
1/26;26 10th Ave;Btwn 44th & 45th St
1/2626 10th Ave;0;
1/40;40 Club6 W 25th St;Btwn Bway & 6th Ave
181st St Bakery & Deli;808 181st St;
1st St Bakery & Deli;808 181st St;
2 Dyckman St;0;Btwn Nagle & Post Ave
21 Club;21 W 52nd St;Btwn 5th & 6th Ave
218 Lafayette St;;Btwn Spring & Broome St
218 Lafayette St;0;Btwn Spring & Broome St
24 Prince;24 Prince St;
3 E;65th St;At Lexington Ave
3 E;65th St0;At Lexington Ave
33 E 65th St;;
35;Thirty Five)35 Lispenard St;Btwn Church St & Broadway
35;(Thirty Five)35 Lispenard St;
35;Lispenard St;Btwn Church St & Broadway
4 & X;622 10th Ave;At 44th St
4& X;622 10th Ave;At 44th St
40 Club;6 W 25th St;
40 Club6;0W 25th St;
40 Club6;W 25th St;Btwn Bway & 6th Ave
40 Club6 W;25th St;
40/40;40 Club6 W 25th St;
5;757 E 57th St;
508 Greenwich St;0;Btwn Washington & Spring St
508 Greenwich St;;
57 E 57th St;0;
69 Bayard St;0;
A & C Kitchen;136 Avenue C;Btwn 8th St & 9th St
A Cafe;109 Avenue A;At 7th St
A Cafe And Wine Room;973 Columbus Ave;At 108th St
A Casa Fox;173 Orchard St;Btwn Allen St & Ludlow
A La Turka;1417 2nd ave;At 74th St
A Salt & Battery;112 Greenwich Ave;Btwn 12th & 13th St
A Slice of New York;727 8th Ave;Btwn 45th & 46th St
A Taste Of Seafood;59 E 125th St;Btwn Madison & Park Ave
A Voce;41 Madison Ave;At 26th St
A&A Coffee Shop;46 W 21st St;Btwn 5th & 6th Ave
A-;1 Pizza Shop505 Grand St;Corner of E Bway
A-1 Pizza Shop;1 Pizza Shop505 Grand St;
A-1 Pizza Shop;505 Grand St;
A-1Pizza Shop;505 Grand St;Corner of E Bway
AJ Maxwell's Steakhouse;57 W 48th St;Btwn 5th & 6th Ave
AOC;314 Bleecker St;At Grove St
AQ Kafe;1800 Broadway;Btwn 58th St & CPW
AQ Kafe18;00 Broadway;
AYZA Wine & Chocolate Bar;11 W 31st St;
Abboccato;136 W 55th St;Btwn 6th & 7th Ave
Abbondanza's;193 Bleecker St;Btwn 6th Ave & MacDougal St
Abbondanza's (CLOSED);193 Bleecker St;
Abigael's on Broadway;1407 Broadway;At 39th St
Abitino's Pizzeria;1435 Broadway;Btwn 40th & 41st St
Abitino's Pizzeria;1592 1st Ave;Btwn 82nd & 83rd St
Abitino's Pizzeria;733 2nd Ave;Btwn 39th & 40th St
Abitino's Pizzeria;936 2nd Ave;At 49th St
Above Restaurant;234 W 42nd St;Btwn 7th & 8th Ave
Abraco;86 E 7th St;At 1st Ave
Abraco86 E;7th St;
Absinthe Wine Bar;111 7th St;
Absinthe Wine Bar;111 1st Ave;
Absinthe Wine Bar;111 1st St;Btwn 1st Ave & Ave A
Aburiya Kinnosuke;213 E 45th St;Btwn 2nd & 3rd Ave
Acappella;1 Hudson St;Btwn Chambers St & W Bway
Acapulco Caliente;3508 Broadway;Btwn 143rd & 144th St
Accademia di Vino;1081 3rd Ave;Btwn 63rd & 64th St
Ace Deli;1 E 28th St;Btwn 5th Ave & Madison Ave
Aceluck;530 9th Ave;Btwn 39th & 40th St
Aceluck53;0 9th Ave;
Aces & Eights Saloon;1683 1st Ave;Btwn 87th & 88th St
Acme Bar & Grill;9 Great Jones St;Btwn Bway & Lafayette St
Acqua;718 Amsterdam Ave;At 95th St
Acqua at Peck Slip;21 Peck Slip;At Water St
Adaro: Sushi & Pan Asian Cuisine;129 W 56th St;Btwn 6th & 7th Ave
Adour Alain Ducasse;2 E 55th St;At 5th Ave
Adriana Pizzeria;253 3rd Ave;Btwn 20th & 21st St
Adriatic Italian Restaurant;321 1st Ave;Btwn 18th & 19th St
Adrienne's Pizza Bar;87 Pearl St;At Broad St
Afghan Kebab House #;1764 9th Ave;Btwn 51st & 52nd St
Afghan Kebab House II;1345 2nd Ave;Btwn 70th & 71st St
Africa Kine;256 W 116th St;Btwn 7th & 8th Ave
Africa Restaurant;247 W 116th St;Btwn 7th & 8th Ave
Against the Grain;620 E 6th St;Btwn Ave B & Ave C
Agave;140 7th Ave S;Btwn Charles & W 10th St
Agave140;7th Ave S;
Ago Ristorante;379 Greenwich St;At N Moore St
Agozar!;324 Bowery;At Bleecker St
Agozar!32;4 Bowery;
Agra;807 Lexington Ave;Btwn 62nd & 63rd St
Aguirre;2126 2nd Ave;Btwn 109th & 110th St
Aguirre21;26 2nd Ave;
Ah! Chihuahua's;330 E 53rd St;Btwn 1st & 2nd Ave
Aja;1068 1st Ave;At 58th St
Aja;432 6th Ave;Btwn 9th & 10th St
Ajanta;1237 Amsterdam Ave;Btwn 120th & 121st St
Ajanta123;7 Amsterdam Ave;
Aji Sushi;519 3rd Ave;Btwn 34th & 35th St
Ajisen Noodle Restaurant;14 Mott St;At Chatham Sq
Akai Lounge;507 Columbus Ave;Btwn 84th & 85th St
Akane;216 E 39th St;Btwn 2nd & 3rd Ave
Akane216 E;39th St;
Akdeniz;19 W 46th St;Btwn 5th & 6th Ave
Akdeniz19 W;46th St;
Aki;181 W 4th St;Btwn 6th & 7th Ave
Aki Sushi;1425 York Ave;Btwn 75th & 76th St
Aki Sushi;3121 E 27th St;Btwn Lexington & Park Ave
Aki Sushi II;366 W 52nd St;Btwn 8th & 9th Ave
Aki Sushi West;128 W 36th St;Btwn 6th & 7th Ave
Aki181 W;4th St;
Akina Sushi;424 E 14th St;At 1st Ave
Akita;1771 1st Ave;Btwn 91st & 92nd Ave
Akita1771;1st Ave;
Akwaba;62 E 116th St;Btwn Madison & Park Ave
Akwaba62 E;116th St;
Al Dente;417 Amsterdam Ave;At 80th St
Al Diwan;210 Avenue A;At 13th St
Al Forno;1484 2nd Ave;Btwn 77th & 78th St
Al's Delicatessen;458 7th Ave;Btwn 34th & 35th St
Al-Baraka;154 E 55th St;Btwn 3rd & Lexington Ave
Alachi Masala;488 Amsterdam Ave;Btwn 83rd & 84th St
Alan's Marketplace;27 Columbus Ave;Btwn 60th & 61st St
Alcala;342 E 46th St;Btwn 1st & 2nd Ave
Alcala342 E;46th St;
Aleo;7 W 20th St;Btwn 5th & 6th Ave
Aleo7 W 2;0th St;
Alexander the Great;374 8th Ave;At 29th St
Alexandra;455 Hudson St;Btwn Barrow & Morton St
Alfama;551 Hudson St;At Perry St
Alfanoose;8 Maiden Ln;Btwn Bway & Nassau St
Alfredo's of Rome;4 W 49th St;Btwn Rockefeller Plaza & 5th Ave
Ali Baba Turkish Cuisine;212 E 34th St;Btwn 2nd & 3rd Ave
Alias;76 Clinton St;At Rivington St
Alice's Tea Cup;102 W 73rd St;At Columbus Ave
Alice's Tea Cup Chapter II;156 E 64th St;Btwn Lexington & 3rd Ave
Alice's Tea Cup Chapter III;220 E 81st St;Btwn 2nd & 3rd Ave
Alidoro;105 Sullivan St;Btwn Spring & Prince St
Alidoro10;5 Sullivan St;
All About Food;19 Waverly Pl;Btwn Mercer & Greene St
All American Deli;42 Water St;At Coenties Slip
Allegretti;46 W 22nd St;Btwn 5th & 6th Ave
Allen & Delancey;115 Allen St;At Delancey St
Alloro;307 E 77th St;Btwn 1st & 2nd Ave
Alloro307 E;77th St;
Almond;12 E 22nd St;Btwn Bway & Park Ave S
Almond12 E;22nd St;
Aloe;406 E 9th St;At Ave A
Aloe406 E;9th St;
Alonso's Steakhouse;265 W 20th St;Btwn 7th & 8th Ave
Alouette;2588 Broadway;Btwn 97th & 98th St
