1;2_x
'Cesca;Upper West Side
'sNice;West Village
(Le) Poisson Rouge;nan
1 Dominick;Soho
10 Downing Food & Wine;West Village
10 Hudson Square;nan
107 West;Wash Hts/Inwood
107 West;Upper West Side
123 Burger Shot Beer;nan
1492 Food;Lower East Side
15 East;Union Square
17 Bleecker;East Village
2 Bros. Pizza;East Village
2 West;Battery Park City
202;Chelsea
212 Restaurant and Bar;Upper East Side
24 Prince;Nolita
26 Seats;East Village
2Eat@Saks;Midtown East
2nd Avenue Deli;Murray Hill/Kips Bay
38th Street Restaurant & Bakery;Midtown West
40 Carrots;Upper East Side
41 Greenwich Avenue;West Village
44 & X Hell's Kitchen;Hell's Kitchen
5 Ninth;Meatpacking District
508;nan
71 Irving Place Coffee & Tea Bar;Gramercy
77493;Times Square
7A;East Village
809 Sangria Bar & Grill;Wash Hts/Inwood
88 Orchard;Lower East Side
88 Palace;Lower East Side
99 miles to philly;West Village
99¢ Fresh Pizza;Midtown East
A;nan
A Casa Fox;Lower East Side
A La Turka;Upper East Side
A Salt & Battery;West Village
A Voce;Flatiron
A.O.C. Bedford;West Village
A.O.C., (l’Ail ou la Cuisse);West Village
ACME Bar & Grill;East Village
AJ Maxwell's;Midtown West
AQ Café;Murray Hill/Kips Bay
AQ Kafé;Upper West Side
Abboccato;Midtown West
Abbondanza's;West Village
Above;Times Square
Abraço;East Village
Aburiya Kinnosuke;Midtown East
Acappella;Tribeca
Accademia di Vino;Upper East Side
Aceluck;Hell's Kitchen
Acqua;Upper West Side
Adour Alain Ducasse;Midtown East
Adriatic;nan
Adrienne's Pizza Bar;Financial/Battery Pk
Adä;Midtown East
Afghan Kebab House II;nan
Africa Kine Restaurant;Harlem
Agave;West Village
Ago;Tribeca
Agozar!;East Village
Ah! Chihuahua's;Midtown East
Aja Asian Bistro & Lounge;Midtown East
Aji Sushi;Murray Hill/Kips Bay
Ajisen Noodle;Chinatown
Akane;nan
Akdeniz Turkish Cuisine;Midtown West
Aki;West Village
Aki Sushi;Upper East Side
Al Baraka;Upper East Side
Al Bustan;Midtown East
Al Forno Pizzeria;Upper East Side
Alan's Falafel;Financial/Battery Pk
Alcala;Midtown East
Aldea;nan
Aleo;Flatiron
Alexandra;West Village
Alfama;West Village
Alfanoose;Financial/Battery Pk
Alfredo of Rome;Midtown West
Alias Restaurant;Lower East Side
Alibaba;Upper West Side
Alidoro;Soho
All Natural Hot Mini Cakes;Lower East Side
Allegretti;Flatiron
Allen & Delancey;Lower East Side
Alloro;Upper East Side
Aloe;East Village
Alonso's Steakhouse;Chelsea
Alouette;Upper West Side
Alta;West Village
Alto;Midtown East
Ama;Soho
Amalia;Midtown East
Amaranth;Upper East Side
Amarone Ristorante;Hell's Kitchen
Amazing 66;Chinatown
Ambassador Grill;Midtown East
Amber;Upper West Side
Amelia's Diner;Soho
American Grill;East Village
Amir's Falafel;nan
Amma;Midtown East
Ammos Estiatorio;Midtown East
Amsterdam Restaurant and Tapas Lounge;Morningside Hts
Amy Ruth's Home-Style Southern Cuisine;Harlem
An American Place;Murray Hill/Kips Bay
Ancora;nan
Andreas' Brick Oven Ristorante;Gramercy
Angelica Kitchen;East Village
Angelo & Maxie's Steakhouse;Gramercy
Angelo of Mulberry St.;Little Italy
Angelo's Coal Oven Pizza;Midtown East
Angelo's Coal Oven Pizza;Midtown West
Angelo's Pizzeria;Midtown West
Angon on the Sixth;East Village
Angus McIndoe;Times Square
Annisa;West Village
Anthos;Midtown West
Antica Venezia Ristorante;Chelsea
Antique Garage;Soho
Antonucci;Upper East Side
Aperitivo;nan
Apiary;East Village
Appetito Ristorante;Midtown West
Apple Restaurant;West Village
Aquagrill;Soho
Aquamarine;nan
Aquavit;Midtown East
Arabelle Restaurant;Upper East Side
Ariana Afghan Kebab House;Hell's Kitchen
Arium;Meatpacking District
Ariyoshi;Midtown East
Arno Ristorante;Midtown West
Aroma;East Village
Arqua;Tribeca
Arriba Arriba;Hell's Kitchen
Arte Café;Upper West Side
Artepasta;West Village
Artichoke Basille's Pizza & Brewery;East Village
Artie's Delicatessen;Upper West Side
Artisanal;Murray Hill/Kips Bay
Arturo's;West Village
Arté;West Village
Ashkara;Lower East Side
Asia Kan;nan
Asia Roma;Chinatown
Asia de Cuba;Murray Hill/Kips Bay
Asiana;nan
Asiate;Upper West Side
Aspen;Flatiron
Astor Court;Midtown East
Astra;Midtown East
At Vermilion;Midtown East
Atlantic Grill;Upper East Side
Atlas Café;East Village
Atrium Cafe;Midtown East
Au Mandarin;Financial/Battery Pk
August;West Village
Aura;Hell's Kitchen
Aureole;Upper East Side
Aurora Soho;Soho
Avenue A Sushi;East Village
Avon Bistro;Midtown East
Avra Estiatorio;Midtown East
Awash;Upper West Side
Awash;East Village
Azalea;Times Square
Azuki Sushi;Gramercy
Azul;Lower East Side
Azuri Cafe;Hell's Kitchen
Azza;Midtown East
B&H;East Village
B-Bap Fusion Rice Bar;nan
B. Café;Upper East Side
B. Smith's;Hell's Kitchen
B.B. King Blues Club & Grill;Times Square
BB Sandwich Bar;West Village
BBQ Chicken;East Village
BG;Midtown East
BLT Burger;West Village
BLT Fish;Union Square
BLT Market;Midtown West
BLT Prime;Gramercy
BLT Steak;Midtown East
BONDST;East Village
BXL Cafe;Times Square
Babbo;West Village
Baby Buddha;West Village
Bacaro;Lower East Side
Back Forty;East Village
Bagel Bob's;West Village
Bagel Buffet;West Village
Bagicha;nan
Baldoria;Times Square
Bali Nusa Indah;Hell's Kitchen
Ballato;East Village
Balthazar;Soho
Bamboleo;West Village
Bamboo 52;Hell's Kitchen
Bamiyan;Gramercy
Bamn!;East Village
Banc Café;Murray Hill/Kips Bay
Banjara;East Village
Bann;Hell's Kitchen
Bao Noodles;Gramercy
Baoguette;Gramercy
Bar 515;Murray Hill/Kips Bay
Bar 6;West Village
Bar 89;Soho
Bar Americain;Times Square
Bar Bao;nan
Bar Blanc;West Village
Bar Boulud;Upper West Side
Bar Breton;Murray Hill/Kips Bay
Bar Centrale;Hell's Kitchen
Bar Jamón;Gramercy
Bar Martignetti;Little Italy
Bar Masa;Upper West Side
Bar Milano;Gramercy
Bar Pitti;West Village
Bar Stuzzichini;Flatiron
Bar Veloce;East Village
Bar Veloce;Chelsea
Bar-K;West Village
BarBossa;Nolita
Baraonda;Upper East Side
Barbarini Alimentari;Financial/Battery Pk
Barbetta;Hell's Kitchen
Barbounia;Flatiron
Barbuto;West Village
Barbès;Murray Hill/Kips Bay
Barking Dog;Upper East Side
Barking Dog;Murray Hill/Kips Bay
Barna;Gramercy
Barney Greengrass;Upper West Side
Barolo;Soho
Basera;Hell's Kitchen
Basta Pasta;Union Square
Bateaux New York;Chelsea
Battery Gardens;Financial/Battery Pk
Bay Leaf;Midtown West
Bayan Café;Midtown East
Beach Street Eatery;Tribeca
Beacon;Midtown West
Becco;Hell's Kitchen
Beer Bar;Midtown East
Belcourt;East Village
Bella Blu;Upper East Side
Bella Luna;Upper West Side
Bellavitae;West Village
Bello;Hell's Kitchen
Bello Giardino;Upper West Side
Bello Sguardo;Upper West Side
Ben & Jack's Steak House;Midtown East
Ben Benson's Steak House;Times Square
Ben's Kosher Delicatessen Restaurant;Midtown West
Ben's Pizza;nan
Bengal Cafe;Morningside Hts
Benihana;Midtown West
Benjamin Steak House;Midtown East
Benny's Burritos;East Village
Benny's Burritos (West);West Village
Benoit;Midtown West
Beppe;Flatiron
Bereket;Lower East Side
Berger's On The Go;Murray Hill/Kips Bay
Berrywild;Murray Hill/Kips Bay
Bette;Chelsea
Better Burger;Chelsea
Better Burger;Murray Hill/Kips Bay
Bettola;Upper West Side
Beyoglu;Upper East Side
BiCE;Midtown East
Bianca;East Village
Big Daddy's Diner;Gramercy
Big Enchilada;West Village
