restaurant;neighborhood
'Cesca;Upper W. Side
'Wichcraft;TriBeCa/SoHo
103 Oriental Pearl Restaurant;Chinatown
107 West;Upper W. Side
12 Chairs;TriBeCa/SoHo
17 Murray Street Restaurant;TriBeCa/SoHo
2 West;Lower Manhattan
202;Chelsea
22 West Restaurant And Lounge;Harlem
24 Prince;TriBeCa/SoHo
26 Seats;E. Village
36 Bar and Barbecue;Midtown West
38th Street Restaurant and Bakery;Midtown West
44 & X Hell's Kitchen;Midtown West
5 Ninth;W. Village
500 Cafe;Midtown West
535 Eat & Drink;W. Village
66;TriBeCa/SoHo
75 Nassau Street Restaurant;Lower Manhattan
77493;Midtown West
7A;E. Village
81 Pearl Chinese Restaurant;Lower Manhattan
A;Upper W. Side
A & N Falfel;Upper W. Side
A & R West Indian Restaurant;Harlem
A J Kelly;Lower Manhattan
A Salt & Battery;W. Village
A Taste Of Seafood;Harlem
A Taste Of Siam;E. Village
A Voce;Flatiron/U. Sq.
Abboccato;Midtown West
Abigael's;Murray Hill
Above;Midtown West
Abruzzi;Midtown West
Acappella;TriBeCa/SoHo
Acme Bar & Grill;E. Village
Ada;Midtown East
Adriatic;Flatiron/U. Sq.
Adrienne;Midtown West
Adrienne's Pizza Bar;Lower Manhattan
Aegean Restaurant;Upper W. Side
Afghan Kebab House;Midtown West
Afghan Kebab House;Upper E. Side
Agata & Valentina;Upper E. Side
Agave;W. Village
Agozar!;E. Village
Agra Restaurant;Upper E. Side
Ah Chihua Hua;Midtown East
Aiello's Pizza Emporium;Flatiron/U. Sq.
Ajanta;Upper W. Side
Akdeniz;Midtown West
Al Baraka;Upper E. Side
Al Bustan;Midtown East
Al Dente;Upper W. Side
Alexandra;W. Village
Alfama;W. Village
Alfredo Of Rome;Midtown West
Ali Baba;Murray Hill
Alias;Lower E. Side
Alibaba;Upper W. Side
Alice's Tea Cup;Upper W. Side
Alouette;Upper W. Side
Alta;W. Village
Alto;Midtown East
Ama;TriBeCa/SoHo
Amamika Resturant;Lower Manhattan
Amaranth;Upper E. Side
Amarone;Midtown West
Ambassador Grill;Midtown East
Ambrosia Restaurant;Flatiron/U. Sq.
Amin Indian Cuisine;Chelsea
Amir's Falafel;Upper W. Side
Amity Restaurant;Upper E. Side
Amma;Midtown East
Amsterdam Restaurant;Upper W. Side
Amy Ruth's;Harlem
Amy's Bread;Midtown West
Amy's Bread;Chelsea
Andrew's Coffee Shop;Murray Hill
Andrew's Coffee Shop;Midtown West
Andrew's Coffee Shop;Lower Manhattan
Andrew's Coffee Shop;Flatiron/U. Sq.
Andrews Coffee Shop;Midtown East
Angel's;Upper E. Side
Angelica Kitchen;E. Village
Angelo & Maxie's;Flatiron/U. Sq.
Angelo Of Mulberry St.;Chinatown
Angelo's;Midtown West
Angon on the Sixth;E. Village
Angus McIndoe;Midtown West
Annie Moore's Bar & Restaurant;Midtown East
