restaurant;neighborhood
'inoteca;Gramercy / Flatiron
1 Nocello;Theater District
10 Downing Food & Wine;Greenwich Village
15 East Restaurant;Union Square
2 West;Financial District
21 Club;Midtown West
212 Restaurant & Bar;Upper East Side
5 Napkin Burger;Hell's Kitchen
5 Ninth;Meatpacking District
5's at The Peninsula New York;Midtown West
508 Restaurant & Bar;TriBeCa - Downtown
57 - Four Seasons Hotel New York;Midtown East
A Voce;Gramercy / Flatiron
AJ Maxwell's - Steakhouse;Theater District
AMA;SoHo
Abboccato;Midtown West
Above;Theater District
Accademia Di Vino;Upper East Side
Adour Alain Ducasse at The St. Regis New York;Midtown East
Agave;West Village
Ago;TriBeCa - Downtown
Agozar!;East Village
Aja;Midtown East
Aja Asian Bistro & Lounge;Greenwich Village
Al Diwan;East Village
Alcala;Midtown East
Aleo;Gramercy / Flatiron
Alfama, Fine Portuguese Cuisine;West Village
Alfredo of Rome;Rockefeller Center Midtown
Allegretti;Gramercy / Flatiron
Allen & Delancey;Lower East Side
Alloro;Upper East Side
Almond;Gramercy / Flatiron
Alto;Midtown East
Amalia;Midtown West
Ambassador Grill and Lounge;Midtown East
Amber - 3rd Avenue;Gramercy / Flatiron
Amber - West;Upper West Side
Amber Gramercy;Gramercy / Flatiron
Amma;Midtown East
Ammos Estiatorio;Midtown East
Amor Cubano;Harlem
Amsterdam Restaurant & Tapas Lounge;Upper West Side
Annisa;West Village
Anthos;Midtown West
Antonucci's;Upper East Side
Apiary;East Village
Apizz;Lower East Side
Aquavit Cafe;Midtown East
Aquavit Dining Room;Midtown East
Arabelle at the Hotel Plaza Athenee;Upper East Side
Archipelago;SoHo
Arno Restaurant;Midtown West
Arte Cafe;Upper West Side
Artisanal;Murray Hill
Asia de Cuba - New York;Murray Hill
Asiate;Columbus Circle
Aspen;Gramercy / Flatiron
Aspen Social Club;Times Square
Astor Court;Midtown East
Atria;Midtown West
Aureole;Upper East Side
Aurora - Soho;SoHo
Avra Estiatorio;Midtown East
B. Cafe;Upper East Side
B. Smith's Restaurant Row;Theater District
BELLAVITAE;Greenwich Village
BG - Bergdorf Goodman;Midtown West
BLT Fish Bistro Laurent Tourondel;Gramercy / Flatiron
BLT Market;Midtown West
BLT Prime Bistro Laurent Tourondel;Gramercy / Flatiron
BLT Steak Bistro Laurent Tourondel;Midtown East
BONDST;NoHo
Baldoria;Midtown West
Bar Americain;Midtown West
Bar Baresco;Chelsea
Bar Blanc;West Village
Bar Boulud;Lincoln Center
Bar Breton;Chelsea
Bar Q;West Village
Bar Stuzzichini;Gramercy / Flatiron
Baraonda;Upper East Side
Barbao;Upper West Side
Barbetta Restaurant;Theater District
Barbounia;Gramercy / Flatiron
Barbuto;Meatpacking District
Barclay Bar and Grill;Midtown East
Barmarche;NoLita
Barna;Murray Hill
Basera Indian Bistro;Hell's Kitchen
Battery Gardens;Battery Park
Beacon;Midtown West
Becco;Theater District
Bella Blu;Upper East Side
Bella Luna - NYC;Upper West Side
Ben Benson's Steakhouse;Midtown West
Ben and Jack's Steakhouse;Midtown East
Benjamin Steakhouse;Midtown East
Benoit Restaurant and Bar;Midtown West
Big Daddy's;Upper East Side
Bistecca Fiorentina;Theater District
Bistro 61;Upper East Side
Bistro Bagatelle;Meatpacking District
Bistro Chat Noir;Upper East Side
Bistro Desaret;Midtown East
Bistro Milano;Midtown West
Bistro Ten 18;Upper West Side
Black Duck;Gramercy / Flatiron
Blaue Gans;TriBeCa - Downtown
Bloomingdale Road;Upper West Side
Blue Hill;West Village
Blue Smoke;Gramercy / Flatiron
Bobby Van's Grill - 50th Street;Theater District
Bobby Van's Grill - Broad Street;Financial District
Bobby Van's Park Avenue - 'The Original';Midtown East
Bobby Van's Steakhouse - 54th Street;Midtown East
Bobby Van's Steakhouse - Broad Street;Financial District
Bobo Restaurant;West Village
Bocca Restaurant;Gramercy / Flatiron
Bocca di Bacco;Hell's Kitchen
Bodrum Turkish Mediterranean;Upper West Side
Body Restaurant & Lounge;Harlem
Boom;SoHo
Borgo Antico;Union Square
Bossa Nova Brazil;Hell's Kitchen
Bottega Del Vino;Upper East Side
Bottino;Chelsea
Boucarou;Lower East Side
Bouley;TriBeCa - Downtown
Bourbon Street Bar & Grill;Theater District
Braai;Hell's Kitchen
Braeburn Restaurant;West Village
Brasserie;Midtown East
Brasserie 1605 at the Crowne Plaza Times Square;Times Square
Brasserie 44;Midtown West
Brasserie 8 1/2;Midtown East
Brasserie Athenee;Theater District
Brasserie Cognac;Midtown West
Brasserie Ruhlmann;Rockefeller Center Midtown
Brazil Brazil;Theater District
Brazil Grill;Theater District
Breakfast at Four Seasons Hotel New York;Midtown East
Bricklane Curry House;East Village
Broadway East;Lower East Side
Broadway Joe Steakhouse;Theater District
Brother Jimmy's - New York;Midtown East
Bryant Park Grill;Midtown West
