restaurant;address;neighborhood
'Cesca;;Upper West Side
'ino;;Greenwich Village
'inoteca;;Lower East Side
'sNice;45 Eighth Ave at W 4th St;Greenwich Village
'sNice;45 Eighth Ave at W 4th St;Park Slope
'wichcraft;60 E 8th St at Broadway;Greenwich Village
'wichcraft;60 E 8th St at Broadway;Midtown West
'wichcraft;60 E 8th St at Broadway;SoHo
'wichcraft;60 E 8th St at Broadway;Midtown East
'wichcraft;60 E 8th St at Broadway;Chelsea
1 Dominick;1 Dominick St at Sixth Ave;SoHo
10 Downing;10 Downing St near Sixth Ave;Greenwich Village
12th Street Bar and Grill;1123 Eighth Ave at 12th St;Park Slope
1492 Food;60 Clinton St btwn Rivington and...;Lower East Side
202;;Chelsea
21 Club;21 W 52nd St btwn 5th and 6th Aves;Midtown West
212 Restaurant and Bar;;Upper East Side
26 Seats;;East Village
2nd Street Cafe;;Park Slope
44 and X Hell's Kitchen;622 Tenth Ave at 44th St;Midtown West
508;508 Greenwich St at Spring St;SoHo
540 Park;540 Park Ave at 61st St;Upper East Side
57;;Midtown East
99 Miles to Philly;;East Village
A Casa Fox;173 Orchard St btwn Stanton and Houston...;Lower East Side
A Salt and Battery;112 Greenwich Ave btwn 12th and 13th Sts;Greenwich Village
A.O.C.;;Greenwich Village
AJ Maxwell's Steakhouse;;Midtown West
AQ Kafe;;Midtown East
Abboccato;136 W 55th St btwn 6th and 7th Aves;Midtown West
Abraco Espresso;86 E 7th St at First Ave;East Village
Absinthe;111 1st Ave at 7th St;East Village
Aburiya Kinnosuke;;Midtown East
Accademia di Vino;1081 Third Ave btwn 63rd and 64th Sts;Upper East Side
Acme Bar and Grill;;Greenwich Village
Acqua;;Upper West Side
Ada;;Midtown East
Adour Alain Ducasse;;Midtown East
Agata and Valentina Ristorante;1513 First Ave at E 79th St;Upper East Side
Agave;140 7th Avenue South btwn 10th and W...;Greenwich Village
Agozar;;East Village
Aja;1068 First Ave at 58th St;Midtown East
Akdeniz;;Midtown West
Aki On West 4th;;Greenwich Village
Al Baraka;1613 Second Ave btwn 83rd and 84th Sts;Upper East Side
Al Bustan;;Midtown East
Al Di La;248 5th Ave at Carroll St;Park Slope
Alcala;;Midtown East
Alchemy;;Park Slope
Alexandra;;Greenwich Village
Alfama;;Greenwich Village
Alfredo's of Rome;;Midtown West
Ali Baba;212 E 34th St btwn Second and Third Aves;Midtown East
Alias;;Lower East Side
Allen and Delancey;;Lower East Side
Alloro;;Upper East Side
Alma Grill;134 E 48th St at Lexington Ave;Midtown East
Alonso's Steakhouse;;Chelsea
Alouette;;Upper West Side
Alta;;Greenwich Village
Alta Voce;;Park Slope
Alto;;Midtown East
Ama;48 MacDougal St btwn Houston and Prince...;SoHo
Amalia;204 W 55th St near Broadway;Midtown West
Amaranth;21 E 62nd St btwn Fifth and Madison Aves;Upper East Side
Ambassador Grill and Lounge;1 United Nations Plaza;Midtown East
Amber;1406 Third Ave at 80th St;Upper East Side
Amma;;Midtown East
Ammos;;Midtown East
