restaurant;address;country
'Cesca;164 West 75th Street;New York, UT, 10024
'Inoteca;98 Rivington Street;New York, NY, 10002
'wichcraft;397 Greenwich Street;New York, NY, 10013
101 Restaurant;238 East 24th Street;New York, NY, 10010
107 West;2787 Broadway;New York, NY, 10025
10th Avenue Gourmet;829 10th Avenue;New York, NY, 10019
14 Wall Street;14 Wall Street, 31st Floor;New York, NY, 10005
1492 Food;60 Clinton Street;New York, NY, 10002
15 East;15 East 15th Street;New York, NY, 10003
1657 Broadway Gourmet;1657 Broadway;New York, NY, 10019
17 Murray;17 Murray Street;New York, NY, 10038
2 Rivers;10 Murray Street;New York, NY, 10007
2 West;2 West Street, Ritz-Carlton Hotel;New York, NY, 10004
21 Club;21 West 52nd Street;New York, NY, 10019
23rd Street Bagels;170 West 23rd Street;New York, NY, 10011
24 Prince;24 Prince Street;New York, NY, 10012
26 Seats;168 Avenue B;New York, NY, 10009
2nd Ave Deli RIP;156 2nd Avenue;New York, NY, 10002
33 Gourmet Deli;157 West 33rd Street;New York, NY, 10001
35;35 Lispenard Street;New York, NY, 10013
4 Fusion;132 West 58th Street;New York, NY, 10019
40 Carrots;1000 Third Avenue, Bloomingdale's 7th floor;New York, NY, 10022
44 Restaurant @ The Royalton Hotel;44 West 44th Street;New York, NY, 10036
44 Sw Ristorante Lounge;621 9th Avenue;New York, NY, 10036
44 ½;626 10th Avenue;New York, NY, 10036
44&X;622 10th Avenue;New York, NY, 10036
5 Ninth;5 9th Avenue;New York, NY, 10014
69;69 Bayard Street;New York, NY, 10013
696 Gourmet Deli;696 3rd Avenue;New York, NY, 10017
7 Square (CLOSED);224 West 49th Street;New York, NY, 10019
71 Irving Place;71 Irving Place;New York, NY, 10003
7A Cafe;109 Avenue A;New York, NY, 10009
879 Taco;1229 1st Avenue;New York, NY, 10022
88 Reach House;88 Division Street;New York, NY, 10002
94 Deli and Salad;94 Fulton Street;New York, NY, 10038
97th Street Greenmarket;97th Street;Manhattan, NY, 10025
99 Cent Fresh Pizza;569 9th Avenue;New York, NY, 10036
9th Street Market (CLOSED);337 East 9TH Street;New York, NY, 10003
A Salt & Battery;112 Greenwich Avenue;New York, NY, 10011
A Voce;41 Madison Avenue;New York, NY, 10010
A.O.C.;314 Bleecker Street;New York, NY, 10014
A.O.C. Bedford;14 Bedford Street;New York, NY, 10014
AJ Maxwell's Steakhouse;57 West 48th Street;New York, NY, 10020
AQ Cafe;58 Park Avenue;New York, NY, 10016
AZ;21 West 17th Street;New York, NY, 10011
Abb Goo Jung Korean Restaurant;10 West 32nd Street;New York, NY, 10001
Abboccato;136 West 55th Street;New York, NY, 10019
Abigael's on Broadway;1407 Broadway;New York, NY, 10018
Abitino's Pizzeria;1435 Broadway;New York, NY, 10018
Abitino's Pizzeria;947 1st Avenue;New York, NY, 10022
Abitino's Pizzeria;733 2nd Avenue;New York, NY, 10016
Above;Hilton Times Square, 234 West 42nd Street, 21st fl.;New York, NY, 10036
Abraco;86 E 7th Street;New York, NY, 10003
Absolute Bagels;2788 Broadway;New York, NY, 10025
Abuela's Cocina;1758 1st Avenue;New York, NY, 10128
Aburiya Kinnosuke;213 E. 45th St.;New York, NY, 10017
Abyssinia Ethiopian Grocery;225 West 116th Street;New York, NY, 10026
Acappella;1 Hudson Street;New York, NY, 10013
Accademia di Vino;1081 3rd Avenue;New York, NY, 10021
Aceluck Thai;530 9th Avenue;New York, NY, 10018
Acker, Merrall & Condit;160 West 72nd Street;New York, NY, 10023
Acme Bar & Grill;9 Great Jones Street;New York, NY, 10012
Acqua;718 Amsterdam Avenue;New York, NY, 10025
Acqua Pazza (CLOSED);36 West 52nd Street;New York, NY, 10019
Acquario (CLOSED);5 Bleecker Street.;New York, NY, 10012
Ada;208 East 58th Street;New York, NY, 10022
Adrienne's Pizza Bar;54 Stone Street;New York, NY, 10004
Afghan Kebab House;155 West 46th Street;New York, NY, 10036
Africa 2 Restaurant;346 West 53rd Street;New York, NY, 10019
Africa Kine Restaurant;256 West 116th Street;New York, NY, 10026
Africa Restaurant # 1;247 West 116th Street;New York, NY, 10026
Agata & Valentina Ristorante;1513 1st Avenue;New York, NY, 10021
Agave;140 7th Avenue South;New York, NY, 10014
Agra Indian Pakistan Rest;807 Lexington Avenue;New York, NY, 10021
Ah Chihuahua;330 East 53RD Street;New York, NY, 10022
Aix Brasserie (CLOSED);2398 Broadway;New York, NY, 10024
Aja;1068 1st Avenue;New York, NY, 10022
Aji Ichiban;167 Hester Street;New York, NY, 10013
Aji Ichiban;37 Mott Street;New York, NY, 10013
Aji Ichiban;188 Lafayette Street;New York, NY, 10012
Ajisai;1466 1st Avenue;New York, NY, 10021
Aka Café;49 Clinton Street;New York, NY, 10002
Akdeniz;19 West 46th Street;New York, NY, 10036
Aki;181 West 4th Street;New York, NY, 10014
Aki Sushi;121 East 27th Street;New York, NY, 10016
Aki Sushi West;128 W 36th Street;New York, NY, 10018
Al Baraka;1613 2nd Avenue;New York, NY, 10028
Al Bustan;827 2nd Avenue;New York, NY, 10022
Al Forno Pizzeria;1484 2nd Avenue;New York, NY, 10021
Al-Baraka;154 East 55th Street;New York, NY, 10022
Alain Ducasse (CLOSED);155 West 58th Street;New York, NY, 10019
Alcala;342 East 46th Street;New York, NY, 10017
Alex Hotel 205 East 45th Street;;
Alexandra;455 Hudson Street;New York, NY, 10014
Alfama;551 Hudson Street;New York, NY, 10014
Alfanoose;8 Moiden Lane;New York, NY, 10038
Alfredo of Rome;4 West 49th Street;New York, NY, 10019
Algonquin Hotel Round Table;59 West 44th Street;New York, NY, 10036
Ali Baba;206 East 34th Street;New York, NY, 10016
Ali Baba;212 East 34th Street;New York, NY, 10016
Alias;76 Clinton Street;New York, NY, 10002
Alibaba;515 Amsterdam Avenue;New York, NY, 10024
Alice's Tea Cup;102 West 73rd Street;New York, NY, 10023
All About Food;19 Waverly Place;New York, NY, 10003
Allen & Delancey;115 Allen St.;New York, NY, 10002
Alleva Dairy;188 Grand Street;New York, NY, 10013
Alloro;307 East 77th Street;New York, NY, 10021
Alma Grill;Radisson Lexington Hotel;New York, NY, 10017
Almond Flower Bistro (CLOSED);96 Bowery Street;New York, NY, 10002
Aloe;406 East 9th Street;New York, NY, 10009
Alouette;2588 Broadway;New York, NY, 10025
Alphabet Kitchen;171 Avenue A;New York, NY,
Alta;64 West 10th Street;New York, NY, 10011
Alto;520 Madison Avenue;New York, NY, 10022
Am Pm Fried Fish Chicken & Donuts;330 West 125th Street;New York, NY, 10027
Ama;48 MacDougal Street;New York, NY, 10012
Ama Ya;234 East 4th Street;New York, NY, 10009
Amalia Restaurant;204 West 55th Street;New York, NY, 10019
Amaranth Restaurant;21 East 62nd Street;New York, NY, 10021
Amarone;686 9th Avenue;New York, NY, 10036
Amazing Japanese & Thai Restaurant;;
Amazing Thailand Restaurant;Amazing Japanese & Thai Restaurant;New York, NY, 10004
Ambassador Grill Lounge;1 United Nations Plaza;New York, NY, 10017
Ambrosia;273 1st Avenue;New York, NY, 10003
Ambrosia;8 West 45th Street;New York, NY, 10036
Ambrosia Cafe Ltd (CLOSED);158 East 45th Street;New York, NY, 10017
American East Fuzhou Restaurant;54 East Broadway;New York, NY, 10002
American Grill (CLOSED);117 2nd Avenue;New York, NY, 10003
American Park;Battery Park;New York, NY, 10004
Americana Deli;2657 Broadway;New York, NY, 10025
Ametller (CLOSED);35 Christopher Street;New York, NY, 10014
Amici II;165 Mulberry Street;New York, NY, 10013
Amin;155 8th Avenue;New York, NY, 10013
Ammos;52 Vanderbilt Avenue;New York, NY, 10017
Amor Cubano;2018 Third Ave;New York, NY, 10029
Amsterdam Restaurant and Tapas Lounge;1207 Amsterdam Ave;New York, NY, 10027
Amy Ruth's;113 West 116th Street;New York, NY, 10026
Amy's Bread;Chelsea Mkt. 75 9th Avenue;New York, NY, 10011
Amy's Bread;672 9th Avenue;New York, NY, 10036
Amy's Bread;250 Bleecker Street;New York, NY, 10014
Angelica Kitchen;300 East 12th Street;New York, NY, 10003
Angelica's Herb & Spice;147 1st Avenue;New York, NY, 10003
