restaurant;address;country;addressGoogle
100 Finest Pizza & Restaurant Inc;103 West 110;New York;103 W 110th St
100 Kenmare Food Corp;100 Kenmare;New York;100 Kenmare St
100 Park KNC Inc;100 Park Avenue Lbby;New York;100 Park Ave
101 Audubon Grocery;101 Audubon Avenue Frnt;New York;101 Audubon Ave
101 Donut Shop;101 West 23;New York;101 W 23rd St
101 Restaurant;238 East 24;New York;238 E 24th St
1020 Amsterdam Corporation;1020 Amsterdam Avenue;New York;1020 Amsterdam Ave
103 Deli & Grocery Inc;2711 Broadway;New York;2711 Broadway
103 Second Restaurant;230 East 9th Street;New York;230 E 9th St
107 West Restaurant;811 West 187th Street;New York;811 W 187th St
107 West Restaurant;2787 Broadway;New York;2787 Broadway
108 Mini Cafe;196 West 108th Street;New York;196 W 108th St
10th AV Farms Inc;460 West 34th Street;New York;460 W 34th St
10th Avenue Gourmet;829 10 Av;New York;829 10th Ave
10th Avenue Pizza & Deli Inc;256 10th Avenue Frnt;New York;256 10th Ave
10th Avenue Restaurant Deli;764 10th Avenue;New York;764 10th Ave
1131 Lexington Grocery Corporation;1131 Lexington Avenue;New York;1131 Lexington Ave
119 Bar;119 E 15th St;New York;119 E 15th St
119 Bar;17 Irving Place Frnt;New York;17 Irving Pl
11th Ave Health Food Ktchn Deli;610 11th Ave;New York;610 11th Ave
12 Chairs;56 Macdougal St;New York;56 MacDougal St
122 Deli Grocery;147 Sherman Av;New York;147 Sherman Ave
123 Greetings.Com Inc;1674 Broadway;New York;1674 Broadway
128 Madison Avenue Chinese Restaurant;128 Madison Ave;New York;128 Madison Ave
130 Water Gourmet Farm Inc;79 Pine Street;New York;79 Pine St
1316 Food Inc;1316 5 Av;New York;1316 5th Ave
132 Deli Inc;132 East 31st Street;New York;132 E 31st St
1363 Stir;1363 First Ave;New York;1363 1st Avenue
1363 Stir;Tapas;New York;Tapas
137 Broadway Chinese Rest;3371 Broadway;New York;3371 Broadway
14 St Fruit & Vegetable;154 West 14th Street;New York;154 W 14th St
14 Wall St Restaurant;14 Wall St;New York;14 Wall St
1420 Broadway Deli Inc;1420 Broadway;New York;1420 Broadway
144 Deli;142 W 49th St;New York;142 W 49th St
1455 York Delicatessen CO;433 East 80th Street;New York;433 E 80th St
1492;60 Clinton Street;New York;60 Clinton St
15 Penn Plaza Corporation;15 Penn Plaza;New York;401 7th Ave
154 Chelsea Deli Corp;154 7 Av;New York;154 7th Ave
157 West 33 Gourmet Deli;157 West 33rd Street;New York;157 W 33rd St
162 First Avenue Corporation;162 1st Avenue;New York;162 1st Avenue
163 First Avenue Restaurant;163 1st Ave;New York;163 1st Avenue
1631 Panda Kitchen Inc;1631 2 Av;New York;1631 2nd Ave
1641 2nd Avenue Restaurant Inc;1641 2nd Ave;New York;1641 2nd Ave
1657 Broadway Deli Ltd;1657 Broadway;New York;1657 Broadway
168 E 116 Restaurant Corporation;168 East 116th Street;New York;168 E 116th St
17 Battery Park Cafe;17 Battery Place Floor 1;New York;17 Battery Pl Floor 1
17 Murray St Restaurant;17 Murray Street;New York;17 Murray Street
17 Murray St Restaurant;17 Murray St Restaurant;New York;17 Murray Street
180 Broadway Cafe;180 Broadway;New York;180 Broadway
181 Janlo Co;4259 Broadway;New York;4259 Broadway
1849;183 Bleecker Street;New York;183 Bleecker St
1978 Convenience Espress;1978 1 Av;New York;1978 1st Avenue
1991 Small Fish;1991 Broadway Frnt;New York;1991 Broadway
1994 Sss Corp;901 Avenue Of The Americas;New York;901 6th Ave
19th Street Food Extravaganza;51 W 19th St # 1;New York;51 W 19th St #1
1st Avenue Grocery & Deli;2239 1st Avenue;New York;2239 1st Avenue
2 Rivers Restaurant and Bar;10 Murray Street;New York;10 Murray Street
2 Seven 7;2 Seven 7;New York;2 Seven 7
2 Seven 7;277 Church St;New York;277 Church St
20 Mott St Restaurant;20 Mott St # 1;New York;20 Mott St #1
2020;20 Warren;New York;20 Warren St
2026 China King;2026 Lexington Av;New York;2026 Lexington Ave
206 East 60ST Corporation;204 East 60th Street;New York;204 E 60th St
207 Grocery Store Corporation;528 West 207th Street;New York;528 W 207th St
21 Club;21 W 52nd St;New York;21 W 52nd St
21 Club Restaurant;145 West 45 Street Suite 601;New York;145 W 45th St #601
211 New Taco Grill;211 East 14;New York;211 E 14th St
212 Fukumatsu Restaurant;212 East 52nd Street;New York;212 E 52nd St
212 RESTAURANT;133 E 65 St;New York;133 E 65th St
213 Grand St Gourmet Inc;213 Grand Street;New York;213 Grand St
213 Park Ave South Deli;213 Park Ave S;New York;213 Park Ave S
2176 Grocery & Deli;2176 2nd Avenue;New York;2176 2nd Ave
21st Century Training Center;541 Avenue Of The Americ;New York;541 6th Ave
224 Avenue B Inc;224 Avenue B;New York;224 Avenue B
2252 5 Avenue Grocery;2252 5th Avenue;New York;2252 5th Ave
23 Lexington Inc;23 Lexington Avenue;New York;23 Lexington Ave
235 9 Av;235 9 Av;New York;235 9th Ave
236 Columbus Farm Corporation;236 Columbus Avenue;New York;236 Columbus Ave
238 Madison Bistro;238 Madison Ave;New York;238 Madison Ave
23rd St Food Plus;67 West 23rd Street;New York;67 W 23rd St
24 8;240 Mulberry Street;New York;240 Mulberry St
24 Deli Dot Com;262 West 38th Street Suite #1406;New York;262 W 38th St #1406
24 Prince;24 Prince;New York;24 Prince St
2413 Adam Clayton Powell Jr Grocery Inc;2413 Adam Clayton Powell;New York;2413 Adam Clayton Powell Jr Blvd
243 Deli Grocery;243 Mulberry Street;New York;243 Mulberry St
2561 Corp;2455 Broadway;New York;2455 Broadway
26 Seats;168 Avenue B;New York;168 Avenue B
26 St Deli;132 West 26th Street;New York;132 W 26th St
27 De Febrero Restaurant;1242 Saint Nicholas Avenue;New York;1242 St Nicholas Ave
27 Standard;116 E 27th St;New York;116 E 27th St
274 Columbus Corp;274 Columbus Av;New York;274 Columbus Ave
28 Noodles;417 3 Av;New York;417 3rd Ave
28 Noodles;28 Noodles;New York;417 3rd Ave
2806 Deli & Grocery;2806 Frederick Douglass B;New York;2806 Frederick Douglass Blvd
2807 Deli Grocery Corp;2807 8 Av;New York;2807 Frederick Douglass Blvd
285 St Nicholas Deli;285 St Nicholas Av;New York;285 St Nicholas Ave
29 St Marks Place Restaurant Inc;29 St Marks Pl;New York;29 St Marks Pl
292 Cafe Inc;292 5th Avenue Floor 4;New York;292 5th Ave Floor 4
29th Street Deli;264 5th Avenue;New York;264 5th Ave
3 Deli & Grill Inc;133 East 55;New York;133 E 55th St
30 Boca Corporation;30 West 48th Street Frnt 1;New York;30 W 48th St
307 E 54th Street Corp;307 E 54th St;New York;307 E 54th St
312 W 58stcoliseum;312 W 58th St # 1;New York;312 W 58th St #1
312 W 58stcoliseum;312 W 58stcoliseum;New York;312 W 58stcoliseum
324 Bowery Food Inc;324 Bowery;New York;324 Bowery
343 Restaurant;343 East 85;New York;343 E 85th St
3451 Broadway Restaurant Inc;3451 Broadway;New York;3451 Broadway
35 Smoke & Grill;35 Lispenard;New York;35 Lispenard St
356 W 44 St Inc;356 West 44th Street Frnt;New York;356 W 44th St
36 Bar & BBQ;5 West 36th Street Frnt;New York;5 W 36th St
362 Deli & Pizza;362 West Broadway;New York;362 W Broadway
362 Deli & Pizza;Pizzeria;New York;Pizzeria
37 Peter Corp;9 East 37;New York;9 E 37th St
38th St Restaurant & Bakery;273 W 38th St;New York;273 W 38th St
39 Deli;335 Lexington Av;New York;335 Lexington Ave
3C'S Restaurant;241 Canal Street;New York;241 Canal St
3Z Restaurant;280 Broadway;New York;280 Broadway
3rd Avenue Deli Grocery;1850 3rd Avenue;New York;1850 3rd Ave
3rd Avenue Garden;1616 3rd Avenue;New York;1616 3rd Ave
4 Jays Cafe;31 West 47;New York;31 W 47th St
40/40 Club;6 West 25th Street;New York;6 W 25th St
400 W 23 St Restaurant Corp;400 W 23rd St;New York;400 W 23rd St
4105 Food Plaza Inc;4105 Broadway;New York;4105 Broadway
4199 Crystal Too Corp;597 West 207;New York;597 W 207th St
420 Bar and Lounge;420 Amsterdam Avenue;New York;420 Amsterdam Ave
42nd Green Tree Food Inc;42 8th Avenue;New York;42 8th Ave
42nd Green Tree Food Inc;42nd Green Tree Food Inc;New York;625 8th Ave
42nd Street Eatery;234 West 42nd Street;New York;234 W 42nd St
42nd Street Pizza Corporation;647 West 42nd Street;New York;647 W 42nd St
43rd Street Restaurant LLC;800 2 Av;New York;800 2nd Ave
44;44 W 44th St;New York;44 W 44th St
44 South West Italian Rest;621 9th Ave;New York;621 9th Ave
44.5;626 10 Av;New York;626 10th Ave
45 St Nicholas Food Corporation;123 West 112th Street;New York;123 W 112th St
450 Park LLC;450 Park Avenue Bsmt;New York;450 Park Ave
46 Grand St;46 Grand;New York;46 Grand St
46 St Bakery;161 West 46;New York;161 W 46th St
48 Theater Deli;62 West 48th Street Apt 3R;New York;62 W 48th St #3R
48 West 48th Grocery Inc;48 W 48th St;New York;48 W 48th St
48th Street Cafe Inc;6 E 48th St;New York;6 E 48th St
5 & 10 No Exaggeration;77 Greene St;New York;77 Greene St
500 Cafe;9 W 42nd St;New York;9 W 42nd St
500 Station Grocery Deli;500 W 213th St;New York;500 W 213th St
5035 Broadway Food Inc;5035 Broadway;New York;5035 Broadway
50th St Restaurant Operating LLC;805 3 Av;New York;805 3rd Ave
510 E 11 Street Corporation;510 East 11th Street Apt 1;New York;510 E 11th St #1
5162;2040 5th Avenue;New York;2040 5th Ave
520 Asian Restaurant Corp;520 8 Av;New York;520 8th Ave
53 St Deli;437 West 53;New York;437 W 53rd St
536 Madison Avenue Restaurant;536 Madison Ave;New York;536 Madison Ave
