restaurant;address;addressFix
100 Finest Pizza & Restaurant Inc;103 West 110;103 West 110
100 Kenmare Food Corp;100 Kenmare;100 Kenmare St, New York, NY 10012, USA
100 Park KNC Inc;100 Park Avenue Lbby;100 Park Ave, Fort Lee, NJ 07024, USA
101 Audubon Grocery;101 Audubon Avenue Frnt;101 Audubon Ave, New York, NY 10032, United States
101 Donut Shop;101 West 23;101 W 23rd St, New York, NY 10011, USA
101 Restaurant;238 East 24;238 E 24th St, New York, NY 10010, USA
1020 Amsterdam Corporation;1020 Amsterdam Avenue;1020 Amsterdam Ave, New York, NY 10025, USA
103 Deli & Grocery Inc;2711 Broadway;2711 Broadway
103 Second Restaurant;230 East 9th Street;230 E 9th St, Cincinnati, OH 45202, USA
107 West Restaurant;811 West 187th Street;811 W 187th St, New York, NY 10033, USA
107 West Restaurant;2787 Broadway;2787 Broadway, New York, NY 10025, USA
108 Mini Cafe;196 West 108th Street;196 W 108th St, New York, NY 10025, USA
10th AV Farms Inc;460 West 34th Street;460 W 34th St, New York, NY 10001, USA
10th Avenue Gourmet;829 10 Av;829 10 Av
10th Avenue Pizza & Deli Inc;256 10th Avenue Frnt;256 10th Ave, Vero Beach, FL 32962, USA
10th Avenue Restaurant Deli;764 10th Avenue;764 10th Ave, New York, NY 10019, USA
1131 Lexington Grocery Corporation;1131 Lexington Avenue;1131 Lexington Ave, New York, NY 10075, USA
119 Bar;119 E 15th St;119 E 15th St
119 Bar;17 Irving Place Frnt;17 Irving Pl, New York, NY 10003, USA
11th Ave Health Food Ktchn Deli;610 11th Ave;610 11th Ave, New York, NY 10036, USA
12 Chairs;56 Macdougal St;56 MacDougal St, New York, NY 10012, USA
122 Deli Grocery;147 Sherman Av;147 Sherman Ave, Trenton, NJ 08638, USA
123 Greetings.Com Inc;1674 Broadway;1674 Broadway, New York, NY 10019, USA
128 Madison Avenue Chinese Restaurant;128 Madison Ave;128 Madison Ave, New York, NY 10016, USA
130 Water Gourmet Farm Inc;79 Pine Street;79 Pine St, Brooklyn, NY 11208, USA
1316 Food Inc;1316 5 Av;1316 5th Ave, New York, NY 10026, USA
132 Deli Inc;132 East 31st Street;132 E 31st St, Brooklyn, NY 11226, USA
1363 Stir;1363 First Ave;1363 1st Avenue, New York, NY 10021, USA
1363 Stir;Tapas;Tapas
137 Broadway Chinese Rest;3371 Broadway;3371 Broadway, New York, NY 10031, USA
14 St Fruit & Vegetable;154 West 14th Street;154 W 14th St, New York, NY 10011, USA
14 Wall St Restaurant;14 Wall St;14 Wall St
1420 Broadway Deli Inc;1420 Broadway;1420 Broadway, New York, NY 10018, USA
144 Deli;142 W 49th St;142 W 49th St, New York, NY 10019, USA
1455 York Delicatessen CO;433 East 80th Street;433 E 80th St, New York, NY 10075, USA
1492;60 Clinton Street;60 Clinton St, Newton, MA 02458, USA
15 Penn Plaza Corporation;15 Penn Plaza;401 7th Ave, New York, NY 10001, United States
