;restaurant;address;addressGoogle
0;1 Nocello;257 West 55th Street;257 W 55th St
1;10 Downing Food and Wine;10 Downing Street;10 Downing St
2;2 West;2 West Street;2 West St
3;21 Club;21 West 52nd Street;21 W 52nd St
4;212 Restaurant & Bar;133 East 65th Street;133 E 65th St
5;3 J's Pizza;1603 2nd Avenue;1603 2nd Ave
6;44 Restaurant;44 West 44th Street;44 W 44th St
7;5 Brothers Gourmet Market;689 10th Avenue;689 10th Ave
8;5 Ninth Restaurant;5 Ninth Avenue;5 9th Ave
9;88 Noodle & Oriental House;565 Columbus Avenue;565 Columbus Ave
10;A Slice of New York;727 8th Avenue;727 8th Ave
11;A Voce;41 Madison Avenue;Jerome Mansion
12;A.J Maxwells - Steakhouse;57 West 48 Street;57 W 48th St
13;Abboccato Restaurant;136 West 55th Street;136 W 55th St
14;Abitino's;947 1st Avenue;947 1st Avenue
15;Above;234 West 42nd Street;234 W 42nd St
16;Accademia Di Vino;1081 Third Avenue;1081 3rd Ave
17;Acqua Pazza;36 West 52nd Street;36 W 52nd St
18;Ada;208 East 58th Street;208 E 58th St
19;Adour Alain Ducasse;Two East 55th Street;Two E 55th St
20;Adrienne's Pizzabar;54 Stone Street;54 Stone St
21;Agata & Valentina Ristorante;1513 First Avenue;1513 1st Avenue
22;Agave;140 7th Avenue South;140 7th Ave
23;Ago Restaurant;377 Greenwich Street;377 Greenwich St
24;Agozar;324 Bowery;324 Bowery
25;Aix Restaurant;2398 Broadway;2398 Broadway
26;Aja;1068 First Avenue;1068 1st Avenue
27;Aja Asian Bistro and Lounge;432 6th Avenue;432 6th Ave
28;Aki Sushi;1425 York Avenue;1425 York Ave
29;Aki Sushi West;128 West 36th Street;128 W 36th St
30;Akita Sushi;1771 1st Avenue;1771 1st Avenue
31;Al Forno;1484 2nd Avenue;1484 2nd Ave
32;Alamo Restaurant;304 East 48th Street;304 E 48th St
33;Alcala;342 East 46th Street;342 E 46th St
34;Aleo Restaurant;7 West 20th Street;7 W 20th St
35;Alfama;551 Hudson Street;551 Hudson St
36;Alfredo of Rome;4 West 49th Street;4 W 49th St
37;Allegretti;46 West 22nd Street;46 W 22nd St
38;Allen and Delancey;115 Allen Street;115 Allen St
39;Alloro;307 East 77th Street;307 E 77th St
40;Alonso's Steakhouse;265 West 20th Street;265 W 20th St
41;Alto Restaurant;520 Madison Avenue;520 Madison Ave
42;Ama;48 Macdougal Street;48 MacDougal St
43;Amalia;204 West 55th Street;204 W 55th St
44;Ambassador Grill;1 United Nations Plaza;1 United Nations Plaza
45;Amber;1406 3rd Avenue;1406 3rd Ave
46;American (Show All);9 Jones Street;9 Jones St
47;American (Show All);Inside Battery Park;Inside Battery Park
48;American (Show All);116 East 16th Street;116 E 16th St
49;American (Show All);152 West 52nd Street;152 W 52nd St
50;American (Show All);885 Second Avenue;885 2nd Ave
51;American (Show All);2315 Broadway;2315 Broadway
52;American (Show All);45 East 20th Street;45 E 20th St
53;American Burger Co.;100 West 32nd Street;100 W 32nd St
54;American Gourmet Foods Deli;831 6th Avenue;831 6th Ave
55;American Spirits Grill;1744 2nd Avenue;1744 2nd Ave
56;Amma;246 East 51st Street;246 E 51st St
57;Ammos Estiatorio;52 Vanderbilt Avenue;52 Vanderbilt Ave
58;Amor Cubano;2018 Third Avenue;2018 3rd Ave
59;Amsterdam Restaurant & Tapas Lounge;1207 Amsterdam Avenue;1207 Amsterdam Ave
60;Angelo & Maxie's;233 Park Avenue;233 Park Ave
61;Annisa Restaurant;13 Barrow Street;13 Barrow St
62;Antonucci's;170 East 81 Street;170 E 81st St
63;Any Time Cafe;17 John Street;17 John St
64;Aoki;234 West 48th Street;234 W 48th St
65;Apiary;60 3rd Avenue;60 3rd Ave
66;Apizz;217 Elridge Street;217 Eldridge St
67;Aquavit;65 East 55th Street;65 E 55th St
68;Arabelle at the Hotel Plaza Athenee;37 East 64th Street;37 E 64th St
