restaurant;address1;address2;addressGoogle1
& X;622 10th Ave;;622 10th Ave
'SNice;45 8th Ave;At W 4th St;45 8th Ave
'SNice45;8th Ave;;8th Ave
'beca;130 Duane St;At Church St;130 Duane St
'ino;21 Bedford St;Btwn 6th Ave & Downing St;21 Bedford St
'inoteca;98 Rivington St;At Ludlow St;98 Rivington St
'inoteca;323 3rd Ave;;323 3rd Ave
'wichcraft;1 Rockefeller Plaza;48th St btwn 5th & 6th Ave;1 Rockefeller Plaza 48Th and
'wichcraft;1 Park Ave;Btwn 32nd & 33rd St;1 Park Ave
'wichcraft;0Union Square;;0Union Square
'wichcraft;69 Prince St;At Crosby St;69 Prince St
'wichcraft;397 Greenwich St;At Beach St;397 Greenwich St
'wichcraft;555 5th Ave;At 46th St;555 5th Ave
'wichcraft;269 11th Ave;Btwn 27th & 28th St;269 11th Ave
'wichcraft;11 E 20th St;Btwn Bway & 5th Ave;11 E 20th St
'wichcraft;60 E 8th St;At Mercer St;Georgetown Plaza
'wichcraft;245 Park Ave;At 47th St;245 Park Avenue
'wichcraftBryant Park;0 At 6th ave & 42nd St;;0 At 6th ave & 42nd St
'wichcraftBryant Park;At;6th ave & 42nd St;At
'wichcraftUnion Square;;;
(V) Vegetarian Sandwich Bar;1259 Park Ave;Btwn 97th & 98th St;1259 Park Ave
gen-26;2626 10th Ave;;2626 10th Ave
gen-26;10th Ave;Btwn 44th & 45th St;10th Ave
gen-26;26 10th Ave;Btwn 44th & 45th St;26 10th Ave
1/2626 10th Ave;;;
gen-40;40 Club6 W 25th St;Btwn Bway & 6th Ave;6 W 25th St
181st St Bakery & Deli;808 181st St;;808 W 181st St
1st St Bakery & Deli;808 181st St;;808 W 181st St
2 Dyckman St;;Btwn Nagle & Post Ave;
21 Club;21 W 52nd St;Btwn 5th & 6th Ave;21 W 52nd St
218 Lafayette St;;Btwn Spring & Broome St;
218 Lafayette St;;Btwn Spring & Broome St;
24 Prince;24 Prince St;;24 Prince St
3 E;65th St;At Lexington Ave;E 65th St
3 E;65th St0;At Lexington Ave;65th St0
33 E 65th St;;;
35;Thirty Five)35 Lispenard St;Btwn Church St & Broadway;35 Lispenard St
35;(Thirty Five)35 Lispenard St;;35 Lispenard St
35;Lispenard St;Btwn Church St & Broadway;Lispenard St
4 & X;622 10th Ave;At 44th St;622 10th Ave
4& X;622 10th Ave;At 44th St;622 10th Ave
40 Club;6 W 25th St;;6 W 25th St
40 Club6;0W 25th St;;W 25th St
40 Club6;W 25th St;Btwn Bway & 6th Ave;W 25th St
40 Club6 W;25th St;;W 25th St
40/40;40 Club6 W 25th St;;6 W 25th St
5;757 E 57th St;;757 E 57th St
508 Greenwich St;;Btwn Washington & Spring St;
508 Greenwich St;;;
57 E 57th St;;;
69 Bayard St;;;
A & C Kitchen;136 Avenue C;Btwn 8th St & 9th St;136 Loisaida Ave
A Cafe;109 Avenue A;At 7th St;109 Avenue A
A Cafe And Wine Room;973 Columbus Ave;At 108th St;973 Columbus Ave
A Casa Fox;173 Orchard St;Btwn Allen St & Ludlow;173 Orchard St
A La Turka;1417 2nd ave;At 74th St;1417 2nd Ave
A Salt & Battery;112 Greenwich Ave;Btwn 12th & 13th St;112 Greenwich Ave
A Slice of New York;727 8th Ave;Btwn 45th & 46th St;727 8th Ave
A Taste Of Seafood;59 E 125th St;Btwn Madison & Park Ave;59 E 125th St
A Voce;41 Madison Ave;At 26th St;Jerome Mansion
A&A Coffee Shop;46 W 21st St;Btwn 5th & 6th Ave;46 W 21st St
