restaurant;address;neighborhood;addressGoogle
'Cesca;;Upper West Side;
'ino;;Greenwich Village;
'inoteca;;Lower East Side;
'sNice;45 Eighth Ave at W 4th St;Greenwich Village;45 Eighth Ave at W 4th St
'sNice;45 Eighth Ave at W 4th St;Park Slope;45 Eighth Ave at W 4th St
'wichcraft;60 E 8th St at Broadway;Greenwich Village;60-68 E 8th St
'wichcraft;60 E 8th St at Broadway;Midtown West;60-68 E 8th St
'wichcraft;60 E 8th St at Broadway;SoHo;60-68 E 8th St
'wichcraft;60 E 8th St at Broadway;Midtown East;60-68 E 8th St
'wichcraft;60 E 8th St at Broadway;Chelsea;60-68 E 8th St
1 Dominick;1 Dominick St at Sixth Ave;SoHo;1 Dominick St
10 Downing;10 Downing St near Sixth Ave;Greenwich Village;10 Downing St
12th Street Bar and Grill;1123 Eighth Ave at 12th St;Park Slope;1123 Eighth Ave at 12th St
1492 Food;60 Clinton St btwn Rivington and...;Lower East Side;60 Clinton St btwn Rivington and...
202;;Chelsea;
21 Club;21 W 52nd St btwn 5th and 6th Aves;Midtown West;21 W 52nd St
212 Restaurant and Bar;;Upper East Side;
26 Seats;;East Village;
2nd Street Cafe;;Park Slope;
44 and X Hell's Kitchen;622 Tenth Ave at 44th St;Midtown West;622 10th Ave
508;508 Greenwich St at Spring St;SoHo;508 Greenwich St
540 Park;540 Park Ave at 61st St;Upper East Side;540 Park Ave
57;;Midtown East;
99 Miles to Philly;;East Village;
A Casa Fox;173 Orchard St btwn Stanton and Houston...;Lower East Side;173 Orchard St btwn Stanton and Houston...
A Salt and Battery;112 Greenwich Ave btwn 12th and 13th Sts;Greenwich Village;112 Greenwich Ave btwn 12th and 13th Sts
A.O.C.;;Greenwich Village;
AJ Maxwell's Steakhouse;;Midtown West;
AQ Kafe;;Midtown East;
Abboccato;136 W 55th St btwn 6th and 7th Aves;Midtown West;136 W 55th St
Abraco Espresso;86 E 7th St at First Ave;East Village;86 E 7th St
Absinthe;111 1st Ave at 7th St;East Village;111 1st Avenue
Aburiya Kinnosuke;;Midtown East;
Accademia di Vino;1081 Third Ave btwn 63rd and 64th Sts;Upper East Side;200 E 64th St
Acme Bar and Grill;;Greenwich Village;
Acqua;;Upper West Side;
Ada;;Midtown East;
Adour Alain Ducasse;;Midtown East;
Agata and Valentina Ristorante;1513 First Ave at E 79th St;Upper East Side;1513 First Ave at E 79th St
Agave;140 7th Avenue South btwn 10th and W...;Greenwich Village;140 7th Ave S
Agozar;;East Village;
Aja;1068 First Ave at 58th St;Midtown East;1068 First Ave at 58th St
Akdeniz;;Midtown West;
Aki On West 4th;;Greenwich Village;
Al Baraka;1613 Second Ave btwn 83rd and 84th Sts;Upper East Side;1613 Second Ave btwn 83rd and 84th Sts
Al Bustan;;Midtown East;
Al Di La;248 5th Ave at Carroll St;Park Slope;248 5th Ave
Alcala;;Midtown East;
Alchemy;;Park Slope;
Alexandra;;Greenwich Village;
Alfama;;Greenwich Village;
Alfredo's of Rome;;Midtown West;
