restaurant;address;country;addressGoogle
'Cesca;164 West 75th Street;New York, UT, 10024;164 W 75th St
'Inoteca;98 Rivington Street;New York, NY, 10002;98 Rivington St
'wichcraft;397 Greenwich Street;New York, NY, 10013;397 Greenwich St
101 Restaurant;238 East 24th Street;New York, NY, 10010;238 E 24th St
107 West;2787 Broadway;New York, NY, 10025;2787 Broadway
10th Avenue Gourmet;829 10th Avenue;New York, NY, 10019;829 10th Ave
14 Wall Street;14 Wall Street, 31st Floor;New York, NY, 10005;14 Wall St 31st Floor
1492 Food;60 Clinton Street;New York, NY, 10002;60 Clinton St
15 East;15 East 15th Street;New York, NY, 10003;E 15th St
1657 Broadway Gourmet;1657 Broadway;New York, NY, 10019;1657 Broadway
17 Murray;17 Murray Street;New York, NY, 10038;17 Murray Street
2 Rivers;10 Murray Street;New York, NY, 10007;10 Murray Street
2 West;2 West Street, Ritz-Carlton Hotel;New York, NY, 10004;10 West St
21 Club;21 West 52nd Street;New York, NY, 10019;21 W 52nd St
23rd Street Bagels;170 West 23rd Street;New York, NY, 10011;170 W 23rd St
24 Prince;24 Prince Street;New York, NY, 10012;24 Prince St
26 Seats;168 Avenue B;New York, NY, 10009;168 Avenue B
2nd Ave Deli RIP;156 2nd Avenue;New York, NY, 10002;156 2nd Ave
33 Gourmet Deli;157 West 33rd Street;New York, NY, 10001;157 W 33rd St
35;35 Lispenard Street;New York, NY, 10013;35 Lispenard St
4 Fusion;132 West 58th Street;New York, NY, 10019;132 W 58th St
40 Carrots;1000 Third Avenue, Bloomingdale's 7th floor;New York, NY, 10022;1000 Third Avenue 59th Street and
44 Restaurant @ The Royalton Hotel;44 West 44th Street;New York, NY, 10036;44 W 44th St
44 Sw Ristorante Lounge;621 9th Avenue;New York, NY, 10036;621 9th Ave
44 ½;626 10th Avenue;New York, NY, 10036;626 10th Ave
44&X;622 10th Avenue;New York, NY, 10036;622 10th Ave
5 Ninth;5 9th Avenue;New York, NY, 10014;5 9th Ave
69;69 Bayard Street;New York, NY, 10013;69 Bayard St
696 Gourmet Deli;696 3rd Avenue;New York, NY, 10017;696 3rd Ave
7 Square (CLOSED);224 West 49th Street;New York, NY, 10019;224 W 49th St
71 Irving Place;71 Irving Place;New York, NY, 10003;71 Irving Pl
7A Cafe;109 Avenue A;New York, NY, 10009;109 Avenue A
879 Taco;1229 1st Avenue;New York, NY, 10022;1229 1st Avenue
88 Reach House;88 Division Street;New York, NY, 10002;88 Division St
94 Deli and Salad;94 Fulton Street;New York, NY, 10038;94 Fulton St
97th Street Greenmarket;97th Street;Manhattan, NY, 10025;E 97th St
99 Cent Fresh Pizza;569 9th Avenue;New York, NY, 10036;569 9th Ave
9th Street Market (CLOSED);337 East 9TH Street;New York, NY, 10003;337 E 9th St
A Salt & Battery;112 Greenwich Avenue;New York, NY, 10011;112 Greenwich Ave
A Voce;41 Madison Avenue;New York, NY, 10010;Jerome Mansion
A.O.C.;314 Bleecker Street;New York, NY, 10014;314 Bleecker St
A.O.C. Bedford;14 Bedford Street;New York, NY, 10014;14 Bedford St
AJ Maxwell's Steakhouse;57 West 48th Street;New York, NY, 10020;57 W 48th St
AQ Cafe;58 Park Avenue;New York, NY, 10016;58 Park Ave
AZ;21 West 17th Street;New York, NY, 10011;21 W 17th St
Abb Goo Jung Korean Restaurant;10 West 32nd Street;New York, NY, 10001;10 W 32nd St
Abboccato;136 West 55th Street;New York, NY, 10019;136 W 55th St
Abigael's on Broadway;1407 Broadway;New York, NY, 10018;1407 Broadway
Abitino's Pizzeria;1435 Broadway;New York, NY, 10018;1435 Broadway
Abitino's Pizzeria;947 1st Avenue;New York, NY, 10022;947 1st Avenue
Abitino's Pizzeria;733 2nd Avenue;New York, NY, 10016;733 2nd Ave
Above;Hilton Times Square, 234 West 42nd Street, 21st fl.;New York, NY, 10036;234 W 42nd St
Abraco;86 E 7th Street;New York, NY, 10003;86 E 7th St
Absolute Bagels;2788 Broadway;New York, NY, 10025;2788 Broadway
Abuela's Cocina;1758 1st Avenue;New York, NY, 10128;1758 1st Avenue
Aburiya Kinnosuke;213 E. 45th St.;New York, NY, 10017;213 E 45th St
Abyssinia Ethiopian Grocery;225 West 116th Street;New York, NY, 10026;225 W 116th St
Acappella;1 Hudson Street;New York, NY, 10013;1 Hudson St
Accademia di Vino;1081 3rd Avenue;New York, NY, 10021;1081 3rd Ave
Aceluck Thai;530 9th Avenue;New York, NY, 10018;530 9th Ave
Acker, Merrall & Condit;160 West 72nd Street;New York, NY, 10023;160 W 72nd St
Acme Bar & Grill;9 Great Jones Street;New York, NY, 10012;9 Great Jones St
Acqua;718 Amsterdam Avenue;New York, NY, 10025;718 Amsterdam Ave
Acqua Pazza (CLOSED);36 West 52nd Street;New York, NY, 10019;36 W 52nd St
Acquario (CLOSED);5 Bleecker Street.;New York, NY, 10012;5 Bleecker St
Ada;208 East 58th Street;New York, NY, 10022;208 E 58th St
Adrienne's Pizza Bar;54 Stone Street;New York, NY, 10004;54 Stone St
Afghan Kebab House;155 West 46th Street;New York, NY, 10036;155 W 46th St
Africa 2 Restaurant;346 West 53rd Street;New York, NY, 10019;346 W 53rd St
Africa Kine Restaurant;256 West 116th Street;New York, NY, 10026;256 W 116th St
Africa Restaurant # 1;247 West 116th Street;New York, NY, 10026;247 W 116th St
Agata & Valentina Ristorante;1513 1st Avenue;New York, NY, 10021;1513 1st Avenue
Agave;140 7th Avenue South;New York, NY, 10014;140 7th Ave
Agra Indian Pakistan Rest;807 Lexington Avenue;New York, NY, 10021;807 Lexington Ave
Ah Chihuahua;330 East 53RD Street;New York, NY, 10022;330 E 53rd St
Aix Brasserie (CLOSED);2398 Broadway;New York, NY, 10024;2398 Broadway
Aja;1068 1st Avenue;New York, NY, 10022;1068 1st Avenue
Aji Ichiban;167 Hester Street;New York, NY, 10013;167 Hester St
Aji Ichiban;37 Mott Street;New York, NY, 10013;37 Mott St
Aji Ichiban;188 Lafayette Street;New York, NY, 10012;188 Lafayette St
Ajisai;1466 1st Avenue;New York, NY, 10021;1466 1st Avenue
Aka Café;49 Clinton Street;New York, NY, 10002;49 Clinton St
Akdeniz;19 West 46th Street;New York, NY, 10036;19 W 46th St
Aki;181 West 4th Street;New York, NY, 10014;181 West 4th Street
Aki Sushi;121 East 27th Street;New York, NY, 10016;121 E 27th St
Aki Sushi West;128 W 36th Street;New York, NY, 10018;128 W 36th St
Al Baraka;1613 2nd Avenue;New York, NY, 10028;1613 2nd Ave
Al Bustan;827 2nd Avenue;New York, NY, 10022;827 2nd Ave
Al Forno Pizzeria;1484 2nd Avenue;New York, NY, 10021;1484 2nd Ave
Al-Baraka;154 East 55th Street;New York, NY, 10022;154 E 55th St
Alain Ducasse (CLOSED);155 West 58th Street;New York, NY, 10019;155 W 58th St
Alcala;342 East 46th Street;New York, NY, 10017;342 E 46th St
Alex Hotel 205 East 45th Street;;;
Alexandra;455 Hudson Street;New York, NY, 10014;455 Hudson St
Alfama;551 Hudson Street;New York, NY, 10014;551 Hudson St
Alfanoose;8 Moiden Lane;New York, NY, 10038;8 Moiden Lane
Alfredo of Rome;4 West 49th Street;New York, NY, 10019;4 W 49th St
Algonquin Hotel Round Table;59 West 44th Street;New York, NY, 10036;59 W 44th St
Ali Baba;206 East 34th Street;New York, NY, 10016;206 E 34th St
Ali Baba;212 East 34th Street;New York, NY, 10016;212 E 34th St
Alias;76 Clinton Street;New York, NY, 10002;76 Clinton St
Alibaba;515 Amsterdam Avenue;New York, NY, 10024;515 Amsterdam Ave
Alice's Tea Cup;102 West 73rd Street;New York, NY, 10023;102 W 73rd St
All About Food;19 Waverly Place;New York, NY, 10003;19 Waverly Pl
Allen & Delancey;115 Allen St.;New York, NY, 10002;115 Allen St
Alleva Dairy;188 Grand Street;New York, NY, 10013;188 Grand St
Alloro;307 East 77th Street;New York, NY, 10021;307 E 77th St
Alma Grill;Radisson Lexington Hotel;New York, NY, 10017;511 Lexington Avenue At
Almond Flower Bistro (CLOSED);96 Bowery Street;New York, NY, 10002;96 Bowery
Aloe;406 East 9th Street;New York, NY, 10009;406 E 9th St
Alouette;2588 Broadway;New York, NY, 10025;2588 Broadway
Alphabet Kitchen;171 Avenue A;New York, NY,;171 Avenue A
Alta;64 West 10th Street;New York, NY, 10011;64 W 10th St
