;restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
0;'Cesca;164 W 75th St;New York;NY;Upper West Side;Italian;$$$;164 W 75th St
1;'Ino;21 Bedford St;New York;NY;Greenwich Village;Italian;$;21 Bedford St
2;'Inoteca;98 Rivington St;New York;NY;Lower East Side;Italian;$$;98 Rivington St
3;107 West;811 W 187th St;New York;NY;Harlem;Creole-Cajun;$$$;811 W 187th St
4;15 East;15 E. 15th Street;New York;NY;Union Square;Japanese;$$$$;E 15th St
5;2 Rivers Bar and ReStaurant;10 Murray St;New York;NY;;American;;10 Murray Street
6;2 West;2 West St;New York;NY;Financial District;American;$$$;2 West St
7;21 Club;21 W 52nd St;New York;NY;Midtown West;American;$$$;21 W 52nd St
8;26 Seats;168 Ave B;New York;NY;East Village;French;$$;168 Avenue B
9;44;44 W 44th Street;New York;NY;Midtown West;American;$$$;44 W 44th St
10;44 & X Hell's Kitchen;622 10th Ave;New York;NY;Midtown West;American;$$$;622 10th Ave
11;5 Napkin Burger;630 Ninth Ave;New York;NY;Hell's Kitchen;American;$$;630 9th Ave
12;5 Ninth;5 Ninth Ave;New York;NY;Meatpacking District;International;$$$;5 9th Ave
13;71 Irving Place;71 Irving Pl;New York;NY;Gramercy Park;American;$;71 Irving Pl
14;77493;1633 Broadway;New York;NY;Midtown West;American;$$;Paramount Plaza
15;A;947 Columbus Ave;New York;NY;Harlem;Caribbean;$;947 Columbus Ave
16;A Cafe;973 Columbus Avenue;New York;NY;Upper West Side;French;$$$;973 Columbus Ave
17;A Voce;41 Madison Ave;New York;NY;Gramercy Park;Italian;$$$$;Jerome Mansion
18;A.O.C.;314 Bleecker St;New York;NY;West Village;French;$$;314 Bleecker St
19;A.O.C. Bedford;14 Bedford St;New York;NY;Greenwich Village;French;$$$;14 Bedford St
20;Abboccato;136 W 55th St;New York;NY;Midtown West;Italian;$$$$;136 W 55th St
21;Acqua;718 Amsterdam Ave.;New York;NY;;Italian;$$$$;718 Amsterdam Ave
22;Ada;208 E 58th Street;New York;NY;Midtown East;Indian;$$$;208 E 58th St
23;Agave;140 7th Ave South;New York;NY;Greenwich Village;Southwestern;$$;140 7th Ave S
24;Aix Brasserie;2398 Broadway;New York;NY;Upper West Side;French;$$$$;2398 Broadway
25;Aj Maxwell's - Steakhouse;57 West 48th Street;New York;NY;Midtown West;Steakhouse;$$$$;57 W 48th St
26;Akdeniz;19 W 46th St;New York;NY;Midtown West;Mediterranean;$;19 W 46th St
27;Aki;181 W Fourth St;New York;NY;Greenwich Village;Caribbean;$$$;181 West 4th Street
28;Al Bustan Restaurant;827 Third Ave;New York;NY;Midtown East;Middle Eastern;$$$;827 3rd Ave
29;Alexandra;455 Hudson St;New York;NY;West Village;American;$$;455 Hudson St
30;Alfama;551 Hudson St;New York;NY;Greenwich Village;Portuguese;$$;551 Hudson St
31;Alfredo Of Rome;4 W 49th St;New York;NY;;;;4 W 49th St
32;Ali Baba;206 E 34th St;New York;NY;Murray Hill;Turkish;$;206 E 34th St
33;Alias;76 Clinton St;New York;NY;Lower East Side;American;$$$;76 Clinton St
34;Alice's Tea Cup;102 West. 73 st;New York;NY;Upper West Side;American;$;102 W 73rd St
35;Allegretti;46 West 22nd St;New York;NY;Flatiron;French;$$$$;46 W 22nd St
36;Allen & Delancey;115 Allen St;New York;NY;Lower East Side;American;$$$;115 Allen St
37;Almond;12 E 22nd Street;New York;NY;Flatiron;French;$$$$$;12 E 22nd St
38;Alonso's Steakhouse;265 West 20th St;New York;NY;Chelsea;Steakhouse;$$$;265 W 20th St
39;Alouette;2588 Broadway;New York;NY;Upper West Side;French;$$$;2588 Broadway
40;Alta;64 West 10th Street;New York;NY;Greenwich Village;Mediterranean;$$$;64 W 10th St
41;Alto;520 Madison Ave;New York;NY;Midtown East;Italian;$$$$$;520 Madison Ave
42;Amalia;;New York;NY;Midtown West;Mediterranean;$$$$;
