;restaurant;address;neighborhood;addressGoogle
0;'Cesca;;Upper West Side;
1;'ino;;Greenwich Village;
2;'inoteca;;Lower East Side;
3;'sNice;45 Eighth Ave at W 4th St;Greenwich Village;45 Eighth Ave at W 4th St
4;'sNice;45 Eighth Ave at W 4th St;Park Slope;45 Eighth Ave at W 4th St
5;'wichcraft;60 E 8th St at Broadway;Greenwich Village;60-68 E 8th St
6;'wichcraft;60 E 8th St at Broadway;Midtown West;60-68 E 8th St
7;'wichcraft;60 E 8th St at Broadway;SoHo;60-68 E 8th St
8;'wichcraft;60 E 8th St at Broadway;Midtown East;60-68 E 8th St
9;'wichcraft;60 E 8th St at Broadway;Chelsea;60-68 E 8th St
10;1 Dominick;1 Dominick St at Sixth Ave;SoHo;1 Dominick St
11;10 Downing;10 Downing St near Sixth Ave;Greenwich Village;10 Downing St
12;12th Street Bar and Grill;1123 Eighth Ave at 12th St;Park Slope;1123 Eighth Ave at 12th St
13;1492 Food;60 Clinton St btwn Rivington and...;Lower East Side;60 Clinton St btwn Rivington and...
14;202;;Chelsea;
15;21 Club;21 W 52nd St btwn 5th and 6th Aves;Midtown West;21 W 52nd St
16;212 Restaurant and Bar;;Upper East Side;
17;26 Seats;;East Village;
18;2nd Street Cafe;;Park Slope;
19;44 and X Hell's Kitchen;622 Tenth Ave at 44th St;Midtown West;622 10th Ave
20;508;508 Greenwich St at Spring St;SoHo;508 Greenwich St
21;540 Park;540 Park Ave at 61st St;Upper East Side;540 Park Ave
22;57;;Midtown East;
23;99 Miles to Philly;;East Village;
24;A Casa Fox;173 Orchard St btwn Stanton and Houston...;Lower East Side;173 Orchard St btwn Stanton and Houston...
25;A Salt and Battery;112 Greenwich Ave btwn 12th and 13th Sts;Greenwich Village;112 Greenwich Ave btwn 12th and 13th Sts
26;A.O.C.;;Greenwich Village;
27;AJ Maxwell's Steakhouse;;Midtown West;
28;AQ Kafe;;Midtown East;
29;Abboccato;136 W 55th St btwn 6th and 7th Aves;Midtown West;136 W 55th St
30;Abraco Espresso;86 E 7th St at First Ave;East Village;86 E 7th St
31;Absinthe;111 1st Ave at 7th St;East Village;111 1st Avenue
32;Aburiya Kinnosuke;;Midtown East;
33;Accademia di Vino;1081 Third Ave btwn 63rd and 64th Sts;Upper East Side;200 E 64th St
34;Acme Bar and Grill;;Greenwich Village;
35;Acqua;;Upper West Side;
