;restaurant;address;country;addressGoogle
0;'Cesca;164 West 75th Street;New York, UT, 10024;164 W 75th St
1;'Inoteca;98 Rivington Street;New York, NY, 10002;98 Rivington St
2;'wichcraft;397 Greenwich Street;New York, NY, 10013;397 Greenwich St
3;101 Restaurant;238 East 24th Street;New York, NY, 10010;238 E 24th St
4;107 West;2787 Broadway;New York, NY, 10025;2787 Broadway
5;10th Avenue Gourmet;829 10th Avenue;New York, NY, 10019;829 10th Ave
6;14 Wall Street;14 Wall Street, 31st Floor;New York, NY, 10005;14 Wall St 31st Floor
7;1492 Food;60 Clinton Street;New York, NY, 10002;60 Clinton St
8;15 East;15 East 15th Street;New York, NY, 10003;E 15th St
9;1657 Broadway Gourmet;1657 Broadway;New York, NY, 10019;1657 Broadway
10;17 Murray;17 Murray Street;New York, NY, 10038;17 Murray Street
11;2 Rivers;10 Murray Street;New York, NY, 10007;10 Murray Street
12;2 West;2 West Street, Ritz-Carlton Hotel;New York, NY, 10004;10 West St
13;21 Club;21 West 52nd Street;New York, NY, 10019;21 W 52nd St
14;23rd Street Bagels;170 West 23rd Street;New York, NY, 10011;170 W 23rd St
15;24 Prince;24 Prince Street;New York, NY, 10012;24 Prince St
16;26 Seats;168 Avenue B;New York, NY, 10009;168 Avenue B
17;2nd Ave Deli RIP;156 2nd Avenue;New York, NY, 10002;156 2nd Ave
18;33 Gourmet Deli;157 West 33rd Street;New York, NY, 10001;157 W 33rd St
19;35;35 Lispenard Street;New York, NY, 10013;35 Lispenard St
20;4 Fusion;132 West 58th Street;New York, NY, 10019;132 W 58th St
21;40 Carrots;1000 Third Avenue, Bloomingdale's 7th floor;New York, NY, 10022;1000 Third Avenue 59th Street and
22;44 Restaurant @ The Royalton Hotel;44 West 44th Street;New York, NY, 10036;44 W 44th St
23;44 Sw Ristorante Lounge;621 9th Avenue;New York, NY, 10036;621 9th Ave
24;44 ½;626 10th Avenue;New York, NY, 10036;626 10th Ave
25;44&X;622 10th Avenue;New York, NY, 10036;622 10th Ave
26;5 Ninth;5 9th Avenue;New York, NY, 10014;5 9th Ave
27;69;69 Bayard Street;New York, NY, 10013;69 Bayard St
28;696 Gourmet Deli;696 3rd Avenue;New York, NY, 10017;696 3rd Ave
29;7 Square (CLOSED);224 West 49th Street;New York, NY, 10019;224 W 49th St
30;71 Irving Place;71 Irving Place;New York, NY, 10003;71 Irving Pl
31;7A Cafe;109 Avenue A;New York, NY, 10009;109 Avenue A
32;879 Taco;1229 1st Avenue;New York, NY, 10022;1229 1st Avenue
33;88 Reach House;88 Division Street;New York, NY, 10002;88 Division St
34;94 Deli and Salad;94 Fulton Street;New York, NY, 10038;94 Fulton St
35;97th Street Greenmarket;97th Street;Manhattan, NY, 10025;E 97th St
36;99 Cent Fresh Pizza;569 9th Avenue;New York, NY, 10036;569 9th Ave
37;9th Street Market (CLOSED);337 East 9TH Street;New York, NY, 10003;337 E 9th St
38;A Salt & Battery;112 Greenwich Avenue;New York, NY, 10011;112 Greenwich Ave
39;A Voce;41 Madison Avenue;New York, NY, 10010;Jerome Mansion
40;A.O.C.;314 Bleecker Street;New York, NY, 10014;314 Bleecker St
41;A.O.C. Bedford;14 Bedford Street;New York, NY, 10014;14 Bedford St
42;AJ Maxwell's Steakhouse;57 West 48th Street;New York, NY, 10020;57 W 48th St
43;AQ Cafe;58 Park Avenue;New York, NY, 10016;58 Park Ave
44;AZ;21 West 17th Street;New York, NY, 10011;21 W 17th St
45;Abb Goo Jung Korean Restaurant;10 West 32nd Street;New York, NY, 10001;10 W 32nd St
46;Abboccato;136 West 55th Street;New York, NY, 10019;136 W 55th St
47;Abigael's on Broadway;1407 Broadway;New York, NY, 10018;1407 Broadway
48;Abitino's Pizzeria;1435 Broadway;New York, NY, 10018;1435 Broadway
49;Abitino's Pizzeria;947 1st Avenue;New York, NY, 10022;947 1st Avenue
50;Abitino's Pizzeria;733 2nd Avenue;New York, NY, 10016;733 2nd Ave
51;Above;Hilton Times Square, 234 West 42nd Street, 21st fl.;New York, NY, 10036;234 W 42nd St
52;Abraco;86 E 7th Street;New York, NY, 10003;86 E 7th St
