;restaurant;address;neighborhood;addressGoogle
0;'Cesca;164 W 75th St.;West 70s;164 W 75th St
1;'Ino;21 Bedford St.;West Village;21 Bedford St
2;'Inoteca;98 Rivington St.;Lower East Side;98 Rivington St
3;'Wichcraft;11 E 20th St.;Flatiron;11 E 20th St
4;'Wichcraft;397 Greenwich St.;Tribeca;397 Greenwich St
5;1 Dominick;1 Dominick St.;Soho;1 Dominick St
6;107 West;811 W 187th St.;Washington Heights;811 W 187th St
7;11B Express;174 Ave. B;Chelsea;174 Avenue B
8;12 Chairs;56 MacDougal St.;Nolita;56 MacDougal St
9;1492;60 Clinton St.;Lower East Side;60 Clinton St
10;15 East;15 E. 15th Street;Union Square;E 15th St
11;16 Handles;153 2nd Ave.;East Village;153 2nd Ave
12;2 West;2 West St.;Financial District;2 West St
13;202 Cafe;Chelsea Mkt | 75 Ninth Ave.;Chelsea;75 9th Ave
14;21 Club;21 W 52nd St.;West 50s;21 W 52nd St
15;213 Grand Street Gourmet;213 Grand St.;Chinatown;213 Grand St
16;24 Prince;24 Prince St.;Noho;24 Prince St
17;26 Seats;168 Avenue B;East Village;168 Avenue B
18;41 Greenwich Avenue;41 Greenwich Avenue;West Village;41 Greenwich Ave
19;44 & X Hell's Kitchen;622 10th Ave.;West 40s;622 10th Ave
20;44 Southwest;621 9th Ave.;West 40s;621 9th Ave
21;5 Napkin Burger;630 Ninth Avenue;West 40s;630 9th Ave
22;5 Ninth;5 Ninth Ave.;Meatpacking District;5 9th Ave
23;7A Cafe;109 Avenue A;East Village;109 Avenue A
24;88 Orchard;88 Orchard St.;East Village;88 Orchard St
25;88 Palace;88 E Broadway;East Village;88 E Broadway
26;99 Miles to Philly;94 Third Ave.;East Village;94 3rd Ave
27;A;947 Columbus Ave.;West 100s;947 Columbus Ave
28;A & C Kitchen;136 Avenue C;East Village;136 Loisaida Ave
29;A Casa Fox;173 Orchard St.;Lower East Side;173 Orchard St
30;A La Turka;1417 Second Ave.;East 70s;1417 2nd Ave
31;A Salt and Battery;112 Greenwich Ave.;West Village;112 Greenwich Ave
32;A Voce;41 Madison Ave.;Flatiron;Jerome Mansion
33;A-1 Pizza Shop;505 Grand St.;East Village;505 Grand St
34;A.O.C.;314 Bleecker St.;West Village;314 Bleecker St
35;AJ Maxwell's Steakhouse;57 W. 48th St.;West 40s;57 W 48th St
36;AOC;314 Bleecker St.;West Village;314 Bleecker St
37;AQ Café, Scandinavia House;58 Park Ave.;Murray Hill;58 Park Ave
38;Abboccato;136 W 55th St.;West 50s;136 W 55th St
39;Abigael's on Broadway;1407 Broadway;Murray Hill;1407 Broadway
40;Abitino's;947 First Ave.;East 50s;947 1st Avenue
41;Above;234 W. 42nd St.;West 40s;234 W 42nd St
42;Abraco;86 E 7th St.;East Village;86 E 7th St
43;Absinthe Wine Bar;111 1st Ave.;East Village;111 1st Avenue
44;Aburiya Kinnosuke;213 E 45th St.;East 40s;213 E 45th St
45;Acapella;1 Hudson St.;Little Italy;1 Hudson St
46;Accademia di Vino;1081 3rd Ave.;East 60s;1081 3rd Ave
47;Acme Bar & Grill;9 Great Jones;Nolita;9 Great Jones St
48;Acme Underground;9 Great Jones;Greenwich Village;9 Great Jones St
49;Acqua;718 Amsterdam Ave.;West 90s;718 Amsterdam Ave
50;Acqua at Peck Slip;21 Peck St.;South Street Seaport;21 Peck St
51;Adriatic Pizzeria & Restaurant;321 First Ave.;East Village;321 1st Avenue
52;Adrienne's Pizzabar;54 Stone;Financial District;54 Stone St
53;Afghan Kebab House;1345 Second Ave.;East 70s;1345 2nd Ave
54;Afghan Kebab House;764 Ninth Ave.;West 50s;764 9th Ave
55;Africa Kine;256 W 116th St.;Harlem;256 W 116th St
56;Against the Grain;620 E 6th St.;East Village;620 E 6th St
57;Agave;140 Seventh Ave. S;West Village;140 7th Ave
58;Agozar Restaurant & Lounge;324 Bowery;Greenwich Village;324 Bowery
59;Agozar!;324 Bowery;Greenwich Village;324 Bowery
60;Aja;432 Sixth Ave.;Greenwich Village;432 6th Ave
61;Aja Asian Bistro & Lounge;1068 1st Ave.;East 50s;1068 1st Avenue
62;Aji Sushi;519 3rd Avenue;Murray Hill;519 3rd Ave
63;Akdeniz;19 W 46th St.;West 40s;19 W 46th St
64;Aki Sushi;366 W 52nd St.;West 50s;366 W 52nd St
65;Aki Sushi;1425 York Ave.;East 70s;1425 York Ave
66;Aki Sushi;121 E 27th St.;Gramercy Park;121 E 27th St
67;Akina Sushi;424 E 14th St.;East Village;424 E 14th St
68;Al Baraka;1613 Second Ave.;East 80s;1613 2nd Ave
69;Al Bustan;827 Third Ave.;East 50s;827 3rd Ave
70;Al Diwan;210 Avenue A.;East Village;210 Avenue A
71;Albert's Mofongo House;4762 Broadway;Inwood;4762 Broadway
72;Alcala;342 E 46th St.;East 40s;342 E 46th St
73;Alexandra;455 Hudson St.;West Village;455 Hudson St
74;Alfama;551 Hudson;West Village;551 Hudson St
75;Alfredo's of Rome;4 W 49th St.;West 40s;4 W 49th St
76;Ali Baba;212 E 34th St.;Murray Hill;212 E 34th St
77;Alias;76 Clinton St.;Lower East Side;76 Clinton St
78;Alibaba;515 Amsterdam Ave.;West 80s;515 Amsterdam Ave
79;Alice's Tea Cup;102 W. 73rd St.;West 70s;102 W 73rd St
80;Alidoro;105 Sullivan St.;Greenwich Village;105 Sullivan St
81;Allegretti;46 W 22nd St.;Chelsea;46 W 22nd St
82;Alloro Restaurant;307 East 77th St.;East 80s;307 E 77th St
83;Aloe;406 E 9th St.;East Village;406 E 9th St
84;Alto;520 Madison Ave.;East 50s;520 Madison Ave
85;Amarok Bar & Grill;32 Cliff St.;Financial District;32 Cliff St
86;Amarone;686 9th Ave.;West 40s;686 9th Ave
87;Amaya;234 E 4th St.;East Village;234 E 4th St
88;Amazing 66;66 Mott St.;Chinatown;66 Mott St
89;Ambassador Grill & Lounge;44 First Avenue;East 40s;44 1st Avenue
90;Amber;1406 Third Ave.;East 80s;1406 3rd Ave
91;Amber;221 Columbus Ave.;West 70s;221 Columbus Ave
92;Ambrosia;273 1st Ave.;East Village;273 1st Avenue
93;American East Fuzhou Restaurant;54 E Broadway;Chinatown;54 E Broadway
94;American Girl Place;609 5th Ave.;East 40s;609 5th Ave
95;American Grill;117 2nd Ave.;East Village;117 2nd Ave
96;Angelica Kitchen;300 E 12th St.;East Village;300 E 12th St
97;Angelo and Maxie's;233 Park Ave. South;Gramercy Park;233 Park Ave S
98;Angon on the Sixth;320 E 6th St,;East Village;320 E 6th St
99;Angus McIndoe;258 West 44th Street;West 40s;258 W 44th St
100;Anna Maria Trattoria e Pizzeria;1592 First Ave.;East 80s;1592 1st Avenue
101;Anna's;268 E 10th St.;East Village;268 E 10th St
102;Annisa;13 Barrow St.;Greenwich Village;13 Barrow St
103;Anthos;36 W 52nd St.;West 50s;36 W 52nd St
104;Anyway Cafe;34 E 2nd St.;East Village;34 E 2nd St
105;Apiary;60 Third Ave.;East Village;60 3rd Ave
106;Apizz;217 Eldridge St.;East Village;217 Eldridge St
107;Aquagrill;210 Spring St.;Soho;210 Spring St
108;Aquavit;65 East 55th Street;East 50s;65 E 55th St
109;Arka Lounge;4488 Broadway;Washington Heights;4488 Broadway
110;Arno Ristorante;141 W 38th St.;Garment District;141 W 38th St
111;Arqua;281 Church St.;Tribeca;281 Church St
112;Artichoke Basille's Pizza & Brewery;328 E 14th St.;East Village;328 E 14th St
113;Artie's;2290 Broadway;West 80s;2290 Broadway
114;Artisanal;2 Park Ave.;Murray Hill;2 Park Ave 20th floor
115;Arturo's Pizza;1610 York Ave.;East 80s;1610 York Ave
116;Ashkara;189 E Houston St.;Lower East Side;189 E Houston St
117;Asia De Cuba;237 Madison Avenue;Murray Hill;237 Madison Ave
118;Assenzio;205 E 4th St.;East Village;205 E 4th St
119;Atelier, Ritz-Carlton Hotel;50 Central Park South;West 50s;50 Central Park S
120;Atomic Wings;184 1st Ave.;East Village;184 1st Avenue
121;Atria;13-15 W 54th St.;West 50s;13 W 54th St
122;Au Mandarin;200 Vesey St. (World Financial Center);Battery Park City;200 Vesey Street 3 World Financial Center 24 Floor
123;August;359 Bleecker St.;West Village;359 Bleecker St
124;Avra;141 E 48th St.;East 40s;141 E 48th St
125;Awash;338 E 6th St.;East Village;338 E 6th St
126;Azul Bistro;152 Stanton St.;Lower East Side;152 Stanton St
127;Azuri Cafe;465 W 51st St.;West 50s;465 W 51st St
128;Azuri Café;465 W 51st St.;West 50s;465 W 51st St
129;B & H Dairy Restaurant;127 Seconnd Ave.;East Village;127 2nd Ave
130;B Bar & Grill;40 E 4th St.;East Village;40 E 4th St
131;B Cup;212 Avenue B;East Village;212 Avenue B
132;B'un;143 Grand St.;Chinatown;143 Grand St
133;B-Bap Fusion Rice Bar;830 9th Ave.;West 50s;830 9th Ave
134;B. Cafe;240 E 75th St.;East 80s;240 E 75th St
135;B. Smith Restaurant;8th Ave. & 48th St.;West 40s;W 48th St & 8th Ave
136;BB Sandwich Bar;120 W 3rd St.;Greenwich Village;120 W 3rd St
137;BBQ;261 8th Ave.;Chelsea;261 8th Ave
138;BBQ;1265 3rd Ave.;East 70s;1265 3rd Ave
139;BBQ;3965 Broadway;Washington Heights;3965 Broadway
140;BG Restaurant;754 5th Ave, 7th Fl,;West 50s;754 5th Ave 7th Fl
141;BLT Burger;470 Sixth Ave.;West Village;470 6th Ave
142;BLT Fish;21 W 17th St.;Chelsea;21 W 17th St
143;BLT Market;1430 6th Ave.;West 50s;1430 6th Ave
144;BLT Prime;111 E 22nd St.;Murray Hill;111 E 22nd St
145;BLT Steak;106 E 57th St.;East 50s;106 E 57th St
146;BLVD - Bowery Bistro;199 Bowery;East Village;199 Bowery
147;Babbo;110 Waverly Pl.;West Village;110 Waverly Pl
148;Babbo Ristorante e Enoteca;110 Waverly Pl.;Greenwich Village;110 Waverly Pl
149;BabyCakes NYC;248 Broome St.;Lower East Side;248 Broome St
150;Bacaro;136 Division St.;Lower East Side;136 Division St
151;Back Forty;190 Ave. B;East Village;190 Avenue B
152;Baldoria;249 W 49th St.;West 40s;249 W 49th St
153;Bali Nusa Indah;651 Ninth Ave.;West 40s;651 9th Ave
154;Balkh Kebab & Restaurant;789 9th Ave.;West 50s;789 9th Ave
155;Ballato;55 E Houston St.;Nolita;55 E Houston St
156;Balthazar;80 Spring St.;Soho;80 Spring St
