TimeOut	#1 Farmer’s Market	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	#1 Farmer’s Market	Food or Beverage Shop 	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	#1 Farmer’s Market 	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	#1 Farmer’s Market 	Food or Beverage Shop 	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	#1 Farmer’s Market   	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 	 Food or Beverage Shop 
TimeOut	1 2 3 Burger Shot Beer	738Tenth Ave,  between 50th and 51st,  Midtown West,  (212-315-0123) 
TimeOut	1 2 3 Burger Shot Beer	American 	738Tenth Ave,  between 50th and 51st,  Midtown West,  (212-315-0123) 
TimeOut	1 2 3 Burger Shot Beer 	738Tenth Ave,  between 50th and 51st,  Midtown West,  (212-315-0123) 
TimeOut	1 2 3 Burger Shot Beer 	American 	738Tenth Ave,  between 50th and 51st,  Midtown West,  (212-315-0123) 
TimeOut	1 2 3 Burger Shot Beer   	738Tenth Ave,  between 50th and 51st,  Midtown West,  (212-315-0123) 	 American 
TimeOut	1 Dominick	1 Dominick St,  between Sixth Ave and Varick St,  Soho,  (212-647-0202) 
TimeOut	1 Dominick	Italian 	1 Dominick St,  between Sixth Ave and Varick St,  Soho,  (212-647-0202) 
TimeOut	1 Dominick 	1 Dominick St,  between Sixth Ave and Varick St,  Soho,  (212-647-0202) 
TimeOut	1 Dominick 	Italian 	1 Dominick St,  between Sixth Ave and Varick St,  Soho,  (212-647-0202) 
TimeOut	1 Dominick   	1 Dominick St,  between Sixth Ave and Varick St,  Soho,  (212-647-0202) 	 Italian 
TimeOut	10 Downing Food & Wine	10 Downing St,  at Sixth Ave,  West Village,  (212-255-0300) 
TimeOut	10 Downing Food & Wine	American Creative 	10 Downing St,  at Sixth Ave,  West Village,  (212-255-0300) 
TimeOut	10 Downing Food & Wine 	10 Downing St,  at Sixth Ave,  West Village,  (212-255-0300) 
TimeOut	10 Downing Food & Wine 	American Creative 	10 Downing St,  at Sixth Ave,  West Village,  (212-255-0300) 
