restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone;source
'inoteca;98 Rivington St;Gramercy / Flatiron;New York;NY;Italian;$$;(212-614-0473);"OpenTable; TasteSpace; MenuPages; FoodBuzz; VillageVoice; TimeOut; SavoryCities"
1 Nocello;257 W 55th St;Theater District;New York;NY;Italian;$$$$;;"OpenTable; FoodBuzz; ActiveDiner; VillageVoice"
10 Downing Food & Wine;10 Downing St;Greenwich Village;New York;NY;American Creative;;(212-255-0300);"OpenTable; NYMag; TimeOut"
2 West;10 West St;Financial District;New York;NY;American / Steakhouses;$$$;(917-790-2525);"OpenTable; TasteSpace; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
21 Club;21 W 52nd St;Midtown West;New York;NY;American;$$$;(212-582-7200);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; VillageVoice; TimeOut; SavoryCities"
212 Restaurant & Bar;133 E 65th St;Upper East Side;New York;NY;American Creative;;(212-249-6565);"OpenTable; NYMag; TimeOut; SavoryCities"
5 Napkin Burger;630 9th Ave;Hell's Kitchen;New York;NY;American;$$;(212-757-2277);"OpenTable; FoodBuzz; VillageVoice; TimeOut"
5 Ninth;5 9th Ave;Meatpacking District;New York;NY;International / Eclectic;$$$;(212-929-9460);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
508 Restaurant & Bar;133 E 65th St;TriBeCa - Downtown;New York;NY;American Creative;;(212-249-6565);"OpenTable; TimeOut"
A Voce;Jerome Mansion;Gramercy / Flatiron;New York;NY;Italian;$$$$;(212-545-8555);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
AJ Maxwell's - Steakhouse;57 W 48th St;Theater District;New York;NY;Steakhouse;$$$$;;"OpenTable; TasteSpace; MenuPages; DiningGuide; FoodBuzz; ActiveDiner; VillageVoice; SavoryCities"
Abboccato;136 W 55th St;Midtown West;New York;NY;Italian;$$$$;(212-265-4000);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Above;234 W 42nd St;Theater District;New York;NY;;;;"OpenTable; TasteSpace; DiningGuide; NYMag; ActiveDiner; VillageVoice; NYTimes"
Accademia Di Vino;1081 3rd Ave;Upper East Side;New York;NY;Italian;;(212-888-6333);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; VillageVoice; TimeOut; SavoryCities"
Adour Alain Ducasse at The St. Regis New York;2 E 55th St;Midtown East;New York;NY;French;;(212-710-2277);"OpenTable; TimeOut"
Agave;140 7th Ave;West Village;New York;NY;Southwestern / American Regional;$$;(212-989-2100);"OpenTable; TasteSpace; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Ago;377 Greenwich St;TriBeCa - Downtown;New York;NY;Italian / nan;;(212-925-3797);"OpenTable; NYMag; TimeOut"
Agozar!;324 Bowery;East Village;New York;NY;Caribbean: Cuban;;(212-677-6773);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Aja;1068 1st Avenue;Midtown East;New York;NY;Asian: Pan-Asian;;(212-888-8008);"OpenTable; TasteSpace; MenuPages; DiningGuide; VillageVoice; TimeOut; SavoryCities"
Aja Asian Bistro & Lounge;1068 1st Avenue;Greenwich Village;New York;NY;;;;"OpenTable; NYMag; VillageVoice"
Al Diwan;210 Avenue A;East Village;New York;NY;Middle Eastern;;(212-375-1300);"OpenTable; VillageVoice; TimeOut; SavoryCities"
Alcala;342 E 46th St;Midtown East;New York;NY;Spanish;;(212-370-1866);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; VillageVoice; TimeOut; SavoryCities"
Aleo;406 E 9th St;Gramercy / Flatiron;New York;NY;;;;"OpenTable; NYMag; VillageVoice"
Alfredo of Rome;4 W 49th St;Rockefeller Center Midtown;New York;NY;nan / Italian;;(212-397-0100);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Allegretti;46 W 22nd St;Gramercy / Flatiron;New York;NY;French;$$$$;(212-206-0555);"OpenTable; NYMag; FoodBuzz; VillageVoice; TimeOut"
Allen & Delancey;115 Allen St;Lower East Side;New York;NY;American;$$$;(212-253-5400);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities"
Alloro;307 E 77th St;Upper East Side;New York;NY;Italian;;(212-535-2866);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities"
Almond;12 E 22nd St;Gramercy / Flatiron;New York;NY;French;$$$$$;(212-228-7557);"OpenTable; FoodBuzz; TimeOut"
Alto;520 Madison Ave;Midtown East;New York;NY;Italian;$$$$$;(212-308-1099);"OpenTable; TasteSpace; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Ambassador Grill and Lounge;1 United Nations Plaza;Midtown East;New York;NY;International;$$$;;"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; SavoryCities; NYTimes"
Amma;246 E 51st St;Midtown East;New York;NY;Indian;$$$$;(212-644-8330);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Ammos Estiatorio;52 Vanderbilt Ave;Midtown East;New York;NY;Greek;$$$;;"OpenTable; NYMag; FoodBuzz; SavoryCities"
Amor Cubano;2018 3rd Ave;Harlem;New York;NY;Caribbean: Cuban;;(212-996-1220);"OpenTable; TasteSpace; MenuPages; DiningGuide; TimeOut"
Amsterdam Restaurant & Tapas Lounge;1207 Amsterdam Ave;Upper West Side;New York;NY;Mediterranean;;(212-662-6330);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities; NYTimes"
Annisa;13 Barrow St;West Village;New York;NY;American;$$$$$;(212-741-6699);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
Anthos;36 W 52nd St;Midtown West;New York;NY;Mediterranean / Greek;$$$$;(212-582-6900);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Antonucci's;170 E 81st St;Upper East Side;New York;NY;Italian;;(212-570-5100);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities"
Apiary;60 3rd Ave;East Village;New York;NY;American;$$$$;(212-254-0888);"OpenTable; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities"
Apizz;217 Eldridge St;Lower East Side;New York;NY;Italian;$$$;(212-253-9199);"OpenTable; TasteSpace; MenuPages; DiningGuide; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Aquavit Cafe;65 E 55th St;Midtown East;New York;NY;Scandinavian / Eclectic;$$$$;(212-307-7311);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Archipelago;333 Hudson St;SoHo;New York;NY;Japanese;;(212-243-3345);"OpenTable; TimeOut; SavoryCities"
Arno Restaurant;141 W 38th St;Midtown West;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; NYMag; VillageVoice"
Arte Cafe;106 W 73rd St;Upper West Side;New York;NY;Italian;$$;;"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; SavoryCities; NYTimes"
Artisanal;2 Park Ave;Murray Hill;New York;NY;French;$$$;(212-725-8585);"OpenTable; TasteSpace; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
Asiate;80 Columbus Cir;Columbus Circle;New York;NY;French / Asian: Pan-Asian;$$$$;(212-805-8881);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Aspen;30 W 22nd St;Gramercy / Flatiron;New York;NY;nan / American Creative;;(212-645-5040);"OpenTable; NYMag; FoodBuzz; ActiveDiner; TimeOut"
