restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone
'Cesca;164 W 75th St;West 70s;New York;NY;Italian;$$$;
'Ino;21 Bedford St;West Village;New York;NY;Italian;$;
'Inoteca;98 Rivington St;Lower East Side;New York;NY;Italian;$$;(212-614-0473)
'Wichcraft;11 E 20th St;Flatiron;New York;NY;Cafés & diners;;(212-780-0577)
'Wichcraft;397 Greenwich St;Tribeca;New York;NY;American / Cafés & diners;$;(212-780-0577)
1 Dominick;1 Dominick St;Soho;New York;NY;Italian;;(212-647-0202)
107 West;811 W 187th St;Washington Heights;New York;NY;Creole-Cajun;$$$;
11B Express;174 Avenue B;Chelsea;New York;NY;;;
12 Chairs;56 MacDougal St;Nolita;New York;NY;;;
1492;60 Clinton St;Lower East Side;New York;NY;;;
15 East;E 15th St;Union Square;New York;NY;Japanese;;(212-647-0015)
16 Handles;153 2nd Ave;East Village;New York;NY;;;
2 West;2 West St;Financial District;New York;NY;American;$$$;
202 Cafe;75 9th Ave;Chelsea;New York;NY;;;
21 Club;21 W 52nd St;West 50s;New York;NY;American;$$$;(212-582-7200)
213 Grand Street Gourmet;213 Grand St;Chinatown;New York;NY;;;
24 Prince;24 Prince St;Noho;New York;NY;American;;(212-226-8624)
26 Seats;168 Avenue B;East Village;New York;NY;French;$$;(212-677-4787)
41 Greenwich Avenue;41 Greenwich Ave;West Village;New York;NY;;;
44 & X Hell's Kitchen;622 10th Ave;West 40s;New York;NY;American;$$$;(212-977-1170)
44 Southwest;621 9th Ave;West 40s;New York;NY;Italian;;(212-315-4582)
5 Napkin Burger;630 9th Ave;West 40s;New York;NY;American;$$;(212-757-2277)
5 Ninth;5 9th Ave;Meatpacking District;New York;NY;International / Eclectic;$$$;(212-929-9460)
7A Cafe;109 Avenue A;East Village;New York;NY;;;
88 Orchard;88 Orchard St;East Village;New York;NY;Cafés;;(212-228-8880)
88 Palace;88 E Broadway;East Village;New York;NY;;;
99 Miles to Philly;94 3rd Ave;East Village;New York;NY;American;;(212-253-2700)
A;947 Columbus Ave;West 100s;New York;NY;Caribbean;$;
A & C Kitchen;136 Loisaida Ave;East Village;New York;NY;;;
A Casa Fox;173 Orchard St;Lower East Side;New York;NY;;;
A La Turka;1417 2nd Ave;East 70s;New York;NY;;;
A Salt and Battery;112 Greenwich Ave;West Village;New York;NY;British & Irish;;(212-691-2713)
A Voce;41 Madison Ave;Flatiron;New York;NY;Italian;$$$$;
A-1 Pizza Shop;505 Grand St;East Village;New York;NY;;;
A.O.C.;314 Bleecker St;West Village;New York;NY;French;$$;(212-675-9463)
AJ Maxwell's Steakhouse;57 W 48th St;West 40s;New York;NY;Steakhouse;$$$$;
AOC;314 Bleecker St;West Village;New York;NY;;;
AQ Café, Scandinavia House;58 Park Ave;Murray Hill;New York;NY;;;
Abboccato;136 W 55th St;West 50s;New York;NY;Italian;$$$$;
Abigael's on Broadway;1407 Broadway;Murray Hill;New York;NY;;;
