restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone;source
'Cesca;164 W 75th St;West 70s;New York;NY;Italian;$$$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; SavoryCities; NYTimes"
'Ino;21 Bedford St;West Village;New York;NY;Italian;$;;"VillageVoice; FoodBuzz"
'Inoteca;98 Rivington St;Lower East Side;New York;NY;Italian;$$;(212-614-0473);"VillageVoice; TasteSpace; MenuPages; OpenTable; FoodBuzz; TimeOut; SavoryCities"
'Wichcraft;11 E 20th St;Flatiron;New York;NY;Cafés & diners;;(212-780-0577);"VillageVoice; MenuPages; TimeOut; SavoryCities; NYTimes"
'Wichcraft;397 Greenwich St;Tribeca;New York;NY;American / Cafés & diners;$;(212-780-0577);"VillageVoice; TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities; NYTimes"
1 Dominick;1 Dominick St;Soho;New York;NY;Italian;;(212-647-0202);"VillageVoice; NYMag; TimeOut; SavoryCities"
107 West;811 W 187th St;Washington Heights;New York;NY;Creole-Cajun;$$$;;"VillageVoice; NYMag; FoodBuzz; NYTimes"
11B Express;174 Avenue B;Chelsea;New York;NY;;;;"VillageVoice; MenuPages"
12 Chairs;56 MacDougal St;Nolita;New York;NY;;;;"VillageVoice; ActiveDiner; NYTimes"
1492;60 Clinton St;Lower East Side;New York;NY;;;;"VillageVoice; ActiveDiner"
15 East;E 15th St;Union Square;New York;NY;Japanese;$$$$;(212-647-0015);"VillageVoice; TasteSpace; NYMag; FoodBuzz; TimeOut"
16 Handles;153 2nd Ave;East Village;New York;NY;;;;"VillageVoice; MenuPages"
2 West;2 West St;Financial District;New York;NY;American / Steakhouses;$$$;(917-790-2525);"VillageVoice; OpenTable; DiningGuide; NYMag; FoodBuzz; TimeOut; NYTimes"
202 Cafe;75 9th Ave;Chelsea;New York;NY;;;;VillageVoice
21 Club;21 W 52nd St;West 50s;New York;NY;American;$$$;(212-582-7200);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; FoodBuzz; ActiveDiner; TimeOut; SavoryCities"
213 Grand Street Gourmet;213 Grand St;Chinatown;New York;NY;;;;VillageVoice
24 Prince;24 Prince St;Noho;New York;NY;American;;(212-226-8624);"VillageVoice; TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; NYTimes"
26 Seats;168 Avenue B;East Village;New York;NY;French;$$;(212-677-4787);"VillageVoice; TasteSpace; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
41 Greenwich Avenue;41 Greenwich Ave;West Village;New York;NY;;;;"VillageVoice; NYMag"
44 & X Hell's Kitchen;622 10th Ave;West 40s;New York;NY;American;$$$;(212-977-1170);"VillageVoice; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
44 Southwest;621 9th Ave;West 40s;New York;NY;Italian;;(212-315-4582);"VillageVoice; MenuPages; TimeOut"
5 Napkin Burger;630 9th Ave;West 40s;New York;NY;American;$$;(212-757-2277);"VillageVoice; OpenTable; FoodBuzz; TimeOut"
5 Ninth;5 9th Ave;Meatpacking District;New York;NY;International / Eclectic;$$$;(212-929-9460);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; TimeOut; NYTimes"
7A Cafe;109 Avenue A;East Village;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages"
88 Orchard;88 Orchard St;East Village;New York;NY;Cafés;;(212-228-8880);"VillageVoice; MenuPages; NYMag; TimeOut"
88 Palace;88 E Broadway;East Village;New York;NY;;;;"VillageVoice; NYMag"
99 Miles to Philly;94 3rd Ave;East Village;New York;NY;American;;(212-253-2700);"VillageVoice; NYMag; ActiveDiner; TimeOut; SavoryCities"
A;947 Columbus Ave;West 100s;New York;NY;Caribbean;$;;"VillageVoice; NYMag; FoodBuzz; NYTimes"
A & C Kitchen;136 Loisaida Ave;East Village;New York;NY;;;;"VillageVoice; MenuPages; ActiveDiner"
A Casa Fox;173 Orchard St;Lower East Side;New York;NY;;;;"VillageVoice; MenuPages; NYMag; SavoryCities"
A La Turka;1417 2nd Ave;East 70s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; ActiveDiner"
A Salt and Battery;112 Greenwich Ave;West Village;New York;NY;British & Irish;;(212-691-2713);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
A Voce;41 Madison Ave;Flatiron;New York;NY;Italian;$$$$;;"VillageVoice; OpenTable; DiningGuide; NYMag; FoodBuzz; NYTimes"
A-1 Pizza Shop;505 Grand St;East Village;New York;NY;;;;"VillageVoice; MenuPages; ActiveDiner"
A.O.C.;314 Bleecker St;West Village;New York;NY;French;$$;(212-675-9463);"VillageVoice; TasteSpace; FoodBuzz; ActiveDiner; TimeOut; SavoryCities"
AJ Maxwell's Steakhouse;57 W 48th St;West 40s;New York;NY;Steakhouse;$$$$;;"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; ActiveDiner; SavoryCities"
AOC;314 Bleecker St;West Village;New York;NY;;;;"VillageVoice; MenuPages"
AQ Café, Scandinavia House;58 Park Ave;Murray Hill;New York;NY;;;;VillageVoice
Abboccato;136 W 55th St;West 50s;New York;NY;Italian;$$$$;;"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; SavoryCities; NYTimes"
Abigael's on Broadway;1407 Broadway;Murray Hill;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages"
Abitino's;947 1st Avenue;East 50s;New York;NY;;;;"VillageVoice; TasteSpace; DiningGuide"
Above;234 W 42nd St;West 40s;New York;NY;;;;"VillageVoice; TasteSpace; OpenTable; DiningGuide; NYMag; ActiveDiner; NYTimes"
Abraco;86 E 7th St;East Village;New York;NY;Cafés & diners;;(212-388-9731);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut"
Absinthe Wine Bar;111 1st Avenue;East Village;New York;NY;;;;"VillageVoice; MenuPages"
Aburiya Kinnosuke;213 E 45th St;East 40s;New York;NY;Japanese;;(212-867-5454);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Acapella;1 Hudson St;Little Italy;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag; ActiveDiner; NYTimes"
Accademia di Vino;1081 3rd Ave;East 60s;New York;NY;Italian;;(212-888-6333);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut; SavoryCities"
Acme Bar & Grill;9 Great Jones St;Nolita;New York;NY;American Regional;;(212-420-1934);"VillageVoice; TasteSpace; MenuPages; TimeOut; SavoryCities; NYTimes"
Acme Underground;9 Great Jones St;Greenwich Village;New York;NY;;;;VillageVoice
Acqua;718 Amsterdam Ave;West 90s;New York;NY;Italian;$$$$;(212-222-2752);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities"
Acqua at Peck Slip;21 Peck St;South Street Seaport;New York;NY;;;;VillageVoice
Adriatic Pizzeria & Restaurant;321 1st Avenue;East Village;New York;NY;;;;VillageVoice
Adrienne's Pizzabar;54 Stone St;Financial District;New York;NY;Italian;;(212-248-3838);"VillageVoice; TasteSpace; DiningGuide; NYMag; ActiveDiner; TimeOut; NYTimes"
Afghan Kebab House;1345 2nd Ave;East 70s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; NYTimes"
Afghan Kebab House;764 9th Ave;West 50s;New York;NY;;;;"VillageVoice; NYMag; ActiveDiner; NYTimes"
Africa Kine;256 W 116th St;Harlem;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag"
Against the Grain;620 E 6th St;East Village;New York;NY;;;;"VillageVoice; MenuPages"
Agave;140 7th Ave;West Village;New York;NY;American Regional;;(212-989-2100);"VillageVoice; TasteSpace; OpenTable; DiningGuide; NYMag; TimeOut; SavoryCities; NYTimes"
Agozar Restaurant & Lounge;324 Bowery;Greenwich Village;New York;NY;;;;"VillageVoice; ActiveDiner"
Agozar!;324 Bowery;Greenwich Village;New York;NY;Caribbean: Cuban;;(212-677-6773);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut; SavoryCities; NYTimes"
Aja;432 6th Ave;Greenwich Village;New York;NY;Asian: Pan-Asian;;(212-253-7100);"VillageVoice; MenuPages; OpenTable; TimeOut; SavoryCities"
Aja Asian Bistro & Lounge;1068 1st Avenue;East 50s;New York;NY;;;;"VillageVoice; OpenTable; NYMag"
Aji Sushi;519 3rd Ave;Murray Hill;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
Akdeniz;19 W 46th St;West 40s;New York;NY;Mediterranean / Turkish;$;(212-575-2307);"VillageVoice; TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Aki Sushi;366 W 52nd St;West 50s;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
Aki Sushi;1425 York Ave;East 70s;New York;NY;;;;"VillageVoice; MenuPages; DiningGuide; NYMag"
Aki Sushi;121 E 27th St;Gramercy Park;New York;NY;;;;"VillageVoice; TasteSpace; NYMag"
Akina Sushi;424 E 14th St;East Village;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
Al Baraka;1613 2nd Ave;East 80s;New York;NY;Moroccan;;(212-744-2122);"VillageVoice; TasteSpace; NYMag; TimeOut; SavoryCities; NYTimes"
Al Bustan;827 3rd Ave;East 50s;New York;NY;Middle Eastern;;(212-759-5933);"VillageVoice; NYMag; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Al Diwan;210 Avenue A;East Village;New York;NY;Middle Eastern;;(212-375-1300);"VillageVoice; MenuPages; OpenTable; ActiveDiner; TimeOut; SavoryCities"
Albert's Mofongo House;4762 Broadway;Inwood;New York;NY;;;;VillageVoice
Alcala;342 E 46th St;East 40s;New York;NY;Spanish;;(212-370-1866);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut; SavoryCities"
Alexandra;455 Hudson St;West Village;New York;NY;American;$$;(212-255-3838);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Alfama;551 Hudson St;West Village;New York;NY;Portuguese;$$;(212-645-2500);"VillageVoice; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Alfredo's of Rome;4 W 49th St;West 40s;New York;NY;nan / Italian;;(212-397-0100);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Ali Baba;212 E 34th St;Murray Hill;New York;NY;Turkish;$;(212-683-9206);"VillageVoice; TasteSpace; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Alias;76 Clinton St;Lower East Side;New York;NY;American;$$$;(212-505-5011);"VillageVoice; TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Alibaba;515 Amsterdam Ave;West 80s;New York;NY;;;;"VillageVoice; TasteSpace; NYMag; NYTimes"
Alice's Tea Cup;102 W 73rd St;West 70s;New York;NY;American / Cafés & diners;$;(212-799-3006);"VillageVoice; TasteSpace; MenuPages; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Alidoro;105 Sullivan St;Greenwich Village;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
Allegretti;46 W 22nd St;Chelsea;New York;NY;French;$$$$;(212-206-0555);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; TimeOut"
Alloro Restaurant;307 E 77th St;East 80s;New York;NY;;;;VillageVoice
Aloe;406 E 9th St;East Village;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag"
Alto;520 Madison Ave;East 50s;New York;NY;Italian;$$$$$;;"VillageVoice; TasteSpace; OpenTable; NYMag; FoodBuzz; SavoryCities; NYTimes"
Amarok Bar & Grill;32 Cliff St;Financial District;New York;NY;;;;"VillageVoice; MenuPages"
Amarone;686 9th Ave;West 40s;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYTimes"
Amaya;234 E 4th St;East Village;New York;NY;;;;"VillageVoice; MenuPages; ActiveDiner"
Amazing 66;66 Mott St;Chinatown;New York;NY;Chinese;$$;;"VillageVoice; NYMag; FoodBuzz"
Ambassador Grill & Lounge;44 1st Avenue;East 40s;New York;NY;;;;"VillageVoice; OpenTable; NYMag; SavoryCities; NYTimes"
Amber;1406 3rd Ave;East 80s;New York;NY;Pan-Asian / Japanese;$$;(212-249-5020);"VillageVoice; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities"
Amber;221 Columbus Ave;West 70s;New York;NY;Japanese;;(212-799-8100);"VillageVoice; MenuPages; NYMag; TimeOut; SavoryCities"
Ambrosia;273 1st Avenue;East Village;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages"
American East Fuzhou Restaurant;54 E Broadway;Chinatown;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; ActiveDiner"
American Girl Place;609 5th Ave;East 40s;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
American Grill;117 2nd Ave;East Village;New York;NY;;;;"VillageVoice; TasteSpace; NYMag"
Angelica Kitchen;300 E 12th St;East Village;New York;NY;Vegetarian;$;(212-228-2909);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Angelo and Maxie's;233 Park Ave S;Gramercy Park;New York;NY;Steakhouses;;(212-220-9200);"VillageVoice; MenuPages; TimeOut; NYTimes"
Angon on the Sixth;320 E 6th St;East Village;New York;NY;Indian;$;(212-260-8229);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Angus McIndoe;258 W 44th St;West 40s;New York;NY;American;;(212-221-9222);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
Anna Maria Trattoria e Pizzeria;1592 1st Avenue;East 80s;New York;NY;;;;VillageVoice
Anna's;268 E 10th St;East Village;New York;NY;;;;"VillageVoice; MenuPages"
Annisa;13 Barrow St;Greenwich Village;New York;NY;American;$$$$$;(212-741-6699);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Anthos;36 W 52nd St;West 50s;New York;NY;Mediterranean / Greek;$$$$;(212-582-6900);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Anyway Cafe;34 E 2nd St;East Village;New York;NY;Russian;;(212-473-5021);"VillageVoice; TasteSpace; MenuPages; TimeOut"
Apiary;60 3rd Ave;East Village;New York;NY;American;$$$$;(212-254-0888);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities"
Apizz;217 Eldridge St;East Village;New York;NY;Italian;$$$;(212-253-9199);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; FoodBuzz; TimeOut; SavoryCities; NYTimes"
