restaurant;neighborhood;address;addressGoogle;country;country_code;type;cost;type_r
'Cesca;Upper West Side;164 W 75th St;164 W 75th St;New York;NY;Italian;$$$;
'Ino;Greenwich Village;21 Bedford St;21 Bedford St;New York;NY;Italian;$;
'Inoteca;Lower East Side;98 Rivington St;98 Rivington St;New York;NY;Italian;$$;
107 West;Harlem;811 W 187th St;811 W 187th St;New York;NY;Creole-Cajun;$$$;
15 East;Union Square;15 E. 15th Street;15 E 15th St;New York;NY;Japanese;$$$$;
2 Rivers Bar and ReStaurant;;10 Murray St;10 Murray Street;New York;NY;American;;
2 West;Financial District;2 West St;2 West St;New York;NY;American;$$$;
21 Club;Midtown West;21 W 52nd St;21 W 52nd St;New York;NY;American;$$$;
26 Seats;East Village;168 Ave B;168 Avenue B;New York;NY;French;$$;
44;Midtown West;44 W 44th Street;44 W 44th St;New York;NY;American;$$$;
5 Napkin Burger;Hell's Kitchen;630 Ninth Ave;630 9th Ave;New York;NY;American;$$;
5 Ninth;Meatpacking District;5 Ninth Ave;5 9th Ave;New York;NY;International;$$$;
71 Irving Place;Gramercy Park;71 Irving Pl;71 Irving Pl;New York;NY;American;$;
77493;Midtown West;1633 Broadway;1633 Broadway;New York;NY;American;$$;
A;Harlem;947 Columbus Ave;947 Columbus Ave;New York;NY;Caribbean;$;
A Cafe;Upper West Side;973 Columbus Avenue;973 Columbus Ave;New York;NY;French;$$$;
A Voce;Gramercy Park;41 Madison Ave;41 Madison Ave;New York;NY;Italian;$$$$;
A.O.C.;West Village;314 Bleecker St;314 Bleecker St;New York;NY;French;$$;
A.O.C. Bedford;Greenwich Village;14 Bedford St;14 Bedford St;New York;NY;French;$$$;
Abboccato;Midtown West;136 W 55th St;136 W 55th St;New York;NY;Italian;$$$$;
Acqua;;718 Amsterdam Ave.;718 Amsterdam Ave;New York;NY;Italian;$$$$;
Ada;Midtown East;208 E 58th Street;208 E 58th St;New York;NY;Indian;$$$;
Agave;Greenwich Village;140 7th Ave South;140 7th Ave S;New York;NY;Southwestern;$$;
Aix Brasserie;Upper West Side;2398 Broadway;2398 Broadway;New York;NY;French;$$$$;
Aj Maxwell's - Steakhouse;Midtown West;57 West 48th Street;57 W 48th St;New York;NY;Steakhouse;$$$$;
