restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
#1 Farmer’s Market; 1458 Second Ave-at 76th St;1458 2nd Ave;New York;Upper East Side;Food or Beverage Shop;(212-396-2626);
1 2 3 Burger Shot Beer; 738 Tenth Ave-between 50th and 51st;738 10th Ave;New York;Midtown West;American;(212-315-0123);
1 Dominick; 1 Dominick St-between Sixth Ave and Varick St;1 Dominick St;New York;Soho;Italian;(212-647-0202);
1492 Food; 60 Clinton St-between Rivington and Stanton Sts;60 Clinton St;New York;Lower East Side;Spanish;(646-654-1114);
15 East; 15 E 15th St-between Fifth Ave and Union Sq West;E 15th St;New York;Gramercy/Flatiron;Japanese;(212-647-0015);
2 West;Ritz-Carlton Battery Park Hotel -2 West Stat Battery Pl;;New York;Financial District;Steakhouses;(917-790-2525);
202 at Chelsea Market; 75 Ninth Ave-at 16th St;75 9th Ave;New York;Chelsea;British & Irish;(646-638-0115);
212 Restaurant & Bar; 133 E 65th St-between Park and Lexington Aves;133 E 65th St;New York;Upper East Side;American Creative;(212-249-6565);
24 Prince; 24 Prince St-between Elizabeth and Mott Sts;24 Prince St;New York;Chinatown/Little Italy;American;(212-226-8624);
26 Seats; 168 Ave B-between 10th and 11th Sts;168 Avenue B;New York;East Village;French;(212-677-4787);
2nd Ave Deli; 162 E 33rd St-between Lexington and Third Aves;162 E 33rd St;New York;Midtown East;American;(212-698-9000);
33 Ristorante; 196 Eighth Ave-at 20th St;196 8th Ave;New York;Chelsea;Italian;(212-242-4551);
44 1/2; 626 Tenth Ave-between 44th and 45th Sts;626 10th Ave;New York;Midtown West;Cafés & diners;(212-399-4450);
44 Southwest; 621 Ninth Ave-at 44th St;621 9th Ave;New York;Midtown West;Italian;(212-315-4582);
4fusion (CLOSED); 132 W 58th St-between Sixth and Seventh Aves;132 W 58th St;New York;Midtown West;Eclectic;(212-247-8887);
5 Napkin Burger; 630 Ninth Ave-at 45th St;630 9th Ave;New York;Midtown West;American;(212-757-2277);
5 Ninth; 5 Ninth Ave-between Gansevoort and Little W 12th St;5 9th Ave;New York;Meatpacking District;Eclectic;(212-929-9460);
508; 508 Greenwich St-between Canal and Spring Sts;508 Greenwich St;New York;Soho;Mediterranean;(212-219-2444);
540 Park;Loews Regency Hotel -540 Park Aveat 61st St;;New York;Midtown East;American;(212-339-4050);
66 (CLOSED); 241 Church St-between Leonard and Worth Sts;241 Church St;New York;Tribeca;Chinese;(212-925-0202);
7A; 109 Ave A-at 7th St;109 Avenue A;New York;East Village;American;(212-673-6583);
809 Sangria Bar and Grill; 112 Dyckman St-between Nagle and Sherman Aves;112 Dyckman St;New York;Inwood;Caribbean: Dominican;(212-304-3800);
88 Orchard; 88 Orchard St-between Broome and Grand Sts;88 Orchard St;New York;Lower East Side;Cafés;(212-228-8880);
92YTribeca Cafe; 200 Hudson St-at Canal St;200 Hudson St;New York;Tribeca;Kosher;(212-601-1000);
?sküdar; 1405 Second Ave-between 73rd and 74th Sts;1405 2nd Ave;New York;Upper East Side;Turkish;(212-988-2641);
A Salt & Battery; 112 Greenwich Ave-between 12th and 13th Sts;112 Greenwich Ave;New York;West Village;British & Irish;(212-691-2713);
A Salt & Battery (CLOSED); 80 Second Ave-between 4th and 5th Sts;80 2nd Ave;New York;East Village;British & Irish;(212-254-6610);
A Voce;41 Madison Ave -entrance on 26th Stbetween Madison Ave and Park Ave South;;New York;Gramercy/Flatiron;Italian;(212-545-8555);
A.O.C.; 314 Bleecker St-at Grove St;314 Bleecker St;New York;West Village;French;(212-675-9463);
AQ Café;Scandinavia House -58 Park Avebetween 37th and 38th Sts;;New York;Midtown East;Seafood;(212-879-9779);
AQ Kafé; 1800 Broadway-between 58th and 59th Sts;1800 Broadway;New York;Midtown West;Scandinavian;(718-784-7364);
Abboccato; 138 W 55th St-between Sixth and Seventh Aves;138 W 55th St;New York;Midtown West;Italian;(212-265-4000);
Abraço; 86 E 7th St-between First and Second Aves;86 E 7th St;New York;East Village;Cafés & diners;(212-388-9731);
Absolute Bagels; 2788 Broadway-between 106th and 107th Sts;2788 Broadway;New York;Upper West Side;Cafés;(212-932-2052);
Aburiya Kinnosuke; 213 E 45th St-between Second and Third Aves;213 E 45th St;New York;Midtown East;Japanese;(212-867-5454);
Acme Bar & Grill/Acme Underground; 9 Great Jones St-between Broadway and Lafayette St;9 Great Jones St;New York;Greenwich Village;American Regional;(212-420-1934);
Acqua; 718 Amsterdam Ave-at 95th St;718 Amsterdam Ave;New York;Upper West Side;Italian;(212-222-2752);
Adelina Vegetarian Kitchen;119 E 17th St -;;New York;;;;
Adour Alain Ducasse at The St. Regis New York; 2 E 55th St-at Fifth Ave;2 E 55th St;New York;Midtown West;French;(212-710-2277);
Adrienne’s Pizzabar; 53 Stone St-between Mill St and Coenties Alley;53 Stone St;New York;Financial District;Italian;(212-248-3838);
Adä; 208 E 58th St-between Second and Third Aves;208 E 58th St;New York;Midtown East;Indian;(212-371-6060);
Affettati; 131 E 7th St-between First Ave and Ave A;131 E 7th St;New York;East Village;Italian;(212-228-6875);
Affettati (CLOSED);131 E 7th St -;;New York;;;;
After 8.5; 9 W 57th St-between Fifth and Sixth Aves;East River Realty Company;New York;Midtown West;French;(212-829-0812);
Agata & Valentina; 1505 First Ave-at 79th St;1505 1st Avenue;New York;Upper East Side;Food or Beverage Shop;(212-452-0690);
Agave; 140 Seventh Ave South-between Charles and W 10th Sts;140 7th Ave;New York;West Village;American Regional;(212-989-2100);
Ago; 377 Greenwich St-at North Moore St;377 Greenwich St;New York;Tribeca;Italian;(212-925-3797);
Agozar!; 324 Bowery-between Bleecker and Bond Sts;324 Bowery;New York;East Village;Caribbean: Cuban;(212-677-6773);
Aja; 1066 First Ave-at 58th St;1066 1st Avenue;New York;Midtown East;Asian: Pan-Asian;(212-888-8008);
Ajisai; 1466 First Ave-between 76th and 77th Sts;1466 1st Avenue;New York;Upper East Side;Japanese;(212-717-5464);
Akai Lounge;507 Columbus Ave -;;New York;;;;
Akdeniz; 19 W 46th St-between Fifth and Sixth Aves;19 W 46th St;New York;Midtown West;Turkish;(212-575-2307);
Aki; 181 W 4th St-between Barrow and Jones Sts;181 West 4th Street;New York;West Village;Japanese;(212-989-5440);
Al Baraka; 1613 Second Ave-between 83rd and 84th Sts;1613 2nd Ave;New York;Upper East Side;Moroccan;(212-744-2122);
Al Bustan; 827 Third Ave-between 50th and 51st Sts;827 3rd Ave;New York;Midtown East;Middle Eastern;(212-759-5933);
Al Diwan; 210 Ave A-at 13th St;210 Avenue A;New York;East Village;Middle Eastern;(212-375-1300);
Alain Ducasse at the Essex House (CLOSED); 155 W 58th St-between Sixth and Seventh Aves;155 W 58th St;New York;Midtown West;French;(212-265-7300);
Alan’s Falafel; Cedar St-at Broadway;Cedar St;New York;Financial District;Middle Eastern;;
Alcala; 342 E 46th St-between First and Second Aves;342 E 46th St;New York;Midtown East;Spanish;(212-370-1866);
Alexandra; 455 Hudson St-between Barrow and Morton Sts;455 Hudson St;New York;West Village;American;(212-255-3838);
Alfama; 551 Hudson St-at Perry St;551 Hudson St;New York;West Village;Portuguese;(212-645-2500);
