0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
A.O.C. Bedford;Greenwich Village;14 Bedford St;New York;NY;French;$$$;;A.O.C. Bedford (CLOSED); 14 Bedford St-between Sixth Ave and Downing St;New York;West Village;Spanish;(212-414-4764);
A.O.C. Bedford;West Village;;;;;;;A.O.C. Bedford (CLOSED); 14 Bedford St-between Sixth Ave and Downing St;New York;West Village;Spanish;(212-414-4764);
Aix Brasserie;Upper West Side;2398 Broadway;New York;NY;French;$$$$;;Aix Brasserie (CLOSED);2398 Broadway;New York, NY, 10024;;;;
Alfredo Of Rome;Midtown West;;;;;;;Alfredo of Rome; 4 W 49th St-at Fifth Ave;New York;Midtown West;Italian;(212-397-0100);
Alice's Tea Cup;Upper West Side;102 West. 73 st;New York;NY;American;$;;Alice's Tea Cup Chapter II; 156 E 64th Street-between Third and Lexington Aves;New York;Upper East Side;Cafés & diners;(212-486-9200);
Alice's Tea Cup;Upper W. Side;;;;;;;Alice's Tea Cup Chapter II; 156 E 64th Street-between Third and Lexington Aves;New York;Upper East Side;Cafés & diners;(212-486-9200);
Alonso's Steakhouse;Chelsea;265 West 20th St;New York;NY;Steakhouse;$$$;;Alonso’s Steakhouse; 265 W 20th St-between Seventh and Eighth Aves;New York;Chelsea;Steakhouses;(212-675-7749);
Angelo & Maxies Steakhouse;Midtown West;233 Park Ave South (19th St);New York;NY;Steakhouse;$$$;;Angelo & Maxie’s; 233 Park Ave South-at 19th St;New York;Gramercy/Flatiron;Steakhouses;(212-220-9200);
Anthos;Midtown West;36 W 52nd St;New York;NY;Mediterranean;$$$$;;Anthos36 W;52nd St-;;;;;
Arriba Arriba!;Upper East Side;1463 Third Ave;New York;NY;American;$;;Arriba Arriba! - East;1463 Third Avenue;;;;;
Artie's Deli;;2290 Broadway;New York;NY;;;;Artie's Delicatessen;2290 Broadway-At 83rd St;;;;;
Arturo's Restaurants;Greenwich Village;106 W Houston St;New York;NY;Italian;$;;Arturos Restaurant;106 West Houston Street;New York;;;;
Au Mandarin;Financial District;200-250 Vesey St;New York;NY;Chinese;$$;;Au Mandarin Restaurant;200 Vesey Street;;;;;
Azuri Cafe;Midtown West;465 W 51st St;New York;NY;Jewish;$;;Azuri Café;465 West 51st Street;New York;nan;;nan;nan
Bali Nusa Indah Restaurant Inc;;651 9th Ave;New York;NY;Indonesian;;;Balkh Kebab & Restaurant;789 9th Ave.;New York;West 50s;;;
Bar Boa;Upper West Side;100 W 82nd Street;New York;NY;Vietnamese;$$$$;;Bar Boulud; 1900 Broadway-at 64th St;New York;Upper West Side;French;(212-595-0303);
Bar Martignetti;;406 Broome St.;New York;NY;;;;Bar Martignetti (CLOSED);406 Broome St -;New York;;;;
Barmarche;NoLita;14 Spring St;New York;NY;American;$$;;Barmarché;14 Spring Street;New York, NY, 10012;;;;
Barney Greengrass;Upper West Side;541 Amsterdam Ave;New York;NY;Deli;$;;Barney Greengrass Inc;541 Amsterdam Ave;New York;;;;
Ben's Kosher Deli;Midtown West;209 West 38th Street;New York;NY;Deli;$;;Ben's Kosher Delicatessen;2099 West 38 Street;;;;;
Bettola;Upper West Side;412 Amsterdam Ave;New York;NY;Italian;$$;;Bettola41;2 Amsterdam Ave-;;;;;
