Name;Neighborhood;Address;Country;Country code;Type;Cost;Phone
A Cafe And Wine Room;Upper West Side;973 Columbus Avenue;New York;NY;French \ Eclectic;$$$;(212-222-2033)
Alonso's Steakhouse;Chelsea;265 West 20th St;New York;NY;Steakhouse \ Steakhouses;$$$;(212-675-7749)
Artichoke Basille's Pizza & Brewery;East Village;328 E 14th St;New York;NY;Pizza \ Italian;$$;(212-228-2004)
Arturo's Restaurants;Greenwich Village;106 W Houston St;New York;NY;Italian;$;
Azuri Cafe;Midtown West;465 W 51st St;New York;NY;Jewish;$;
Babbo Ristorante e Enoteca;Greenwich Village;110 Waverly Pl;New York;NY;Italian;$$$$;
Barmarche;NoLita;14 Spring St;New York;NY;American;$$;
Ben & Jack's Steak House;Midtown East;219 E 44th St;New York;NY;Steakhouse \ Steakhouses;$$$$;(212-682-5678)
Black Pearl (CLOSED);Chelsea;37 W. 26th Street;New York;NY;Seafood;$$;(212-532-9900)
Boi To Go;Midtown East;800 Second Ave;New York;NY;Vietnamese;$$;
Broadway Joe's Steakhouse;Theater;315 West 46th Street;New York;NY;Steakhouse;$$$;
Bubba Gump Shrimp Company;Midtown West;1501 Broadway;New York;NY;American \ Seafood;$;(212-391-7100)
Bubble Lounge;TriBeCa;228 W Broadway;New York;NY;Small Plates;$$$;
Bull Run (CLOSED);Financial District;52 William St;New York;NY;American;$$$;(212-859-2200)
Coppola's Pizzeria Restaurant;Upper West Side;206 W 79th St;New York;NY;Italian;$$;
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;New York;NY;American;$$$;(212-989-9319)
Da Andrea (CLOSED);West Village;557 Hudson St;New York;NY;Italian;$$;(212-367-1979)
Da Silvano Bistecca;Greenwich Village;260 6th Avenue;New York;NY;Italian \ Steakhouses;$$$;(212-844-0282)
Degustation Wine & Tasting Bar;East Village;239 E Fifth St;New York;NY;Spanish;$$$;
Django (CLOSED);Midtown East;480 Lexington Avenue;New York;NY;French \ Mediterranean;$$$;(212-871-6600)
Dok Suni's;East Village;119 First Ave;New York;NY;Korean;$$;
Epices du Traiteur;Upper West Side;103 W 70th St;New York;NY;Mediterranean;$$;(212-579-5904)
Fig & Olive Kitchen & Tasting Bar;Upper East Side;808 Lexington Ave;New York;NY;Mediterranean;$$;(212-207-4555)
Florent (CLOSED);Meatpacking District;69 Gansevoort St;New York;NY;American \ French;$;(212-989-5779)
Friend Of a Farmer;Gramercy Park;77 Irving Pl;New York;NY;American;$;(212-477-2188)
Friend Of a Farmer;Gramercy Park;77 Irving Pl;New York;NY;American;$;
Gonzalez Y Gonzalez;SOHO;625 Broadway;New York;NY;Mexican;$$$;
Great Jones Cafe;NoLita;54 Great Jones St;New York;NY;Southern \ American Regional;$;(212-674-9304)
Great Jones Cafe;East Village;;New York;NY;American Regional;;(212-674-9304)
Great N.Y. Noodle Town;Chinatown;28 Bowery;New York;NY;Chinese;$;
Hill Country Barbecue;Chelsea;30 W. 26th St.;New York;NY;Barbecue;$$;
Ippudo NY;East Village;65 4th Ave;New York;NY;Japanese;$$$;(212-388-0088)
Island Burgers And Shakes;Midtown West;766 9th Ave;New York;NY;American;$;
Johnny Utah's;Midtown West;;New York;NY;American;;(212-265-8824)
Kefi (CLOSED);Upper West Side;222 W. 79th St.;New York;NY;Greek;$$$;(212-873-0200)
Lombardi's;NoLita;32 Spring St;New York;NY;Pizza \ Italian: Pizza;$;(212-941-7994)
Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St btwn Bowery and Chrystie...;New York;NY;;;
Mamlouk (CLOSED);East Village;211 East 4th St;New York;NY;Middle Eastern;$$$;(212-529-3477)
Mi Cocina (CLOSED);West Village;57 Jane St;New York;NY;Mexican;$$$;(212-627-8273)
Miss Maude's Spoonbread Too;Harlem;547 Lenox Ave;New York;NY;Southern \ American Regional;$;(212-690-3100)
Neptune Room Restaurant & Bait Bar (CLOSED);Upper West Side;511 Amsterdam Ave;New York;NY;Seafood;$$$$;(212-496-4100)
Old Devil Moon (CLOSED);East Village;511 E 12th St;New York;NY;Southern \ American Regional;$;(212-475-4357)
Onieal's Grand Street;SOHO;174 Grand St;New York;NY;American;$$$;
Otto Enoteca Pizzeria;Greenwich Village;1 Fifth Ave;New York;NY;Italian \ Italian: Pizza;$$$$;(212-995-9559)
Payard Patisserie & Bistro;Upper East Side;1032 Lexington Avenue;New York;NY;French;$$$;(212-717-5252)
Pera Mediterranean Brasserie;Midtown East;303 Madison Avenue;New York;NY;Mediterranean;$$$$;(212-878-6301)
Petite Abeille;Greenwich Village;466 Hudson St btwn Barrow and Grove Sts;New York;NY;Belgian;;(212-741-6479)
Ping's Seafood Restaurant;Chinatown;22 Mott St;New York;NY;Chinese;$;
Pommes Frites;;123 2nd Ave;New York;NY;Belgian;$;
Rocking Horse Cafe;Chelsea;182 Eighth Ave;New York;NY;Mexican;$$;(212-463-9511)
