0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r
107 West;Harlem;811 W 187th St;811 W 187th St;New York;NY;Creole-Cajun;$$$;;107 West Restaurant;;811 West 187th Street;811 W 187th St;New York;NY;;;
5 Ninth;Meatpacking District;5 Ninth Ave;5 9th Ave;New York;NY;International;$$$;;5 Ninth Restaurant;Meatpacking District;5 Ninth Avenue;5 9th Ave;New York;NY;;;Eclectic
A Cafe;Upper West Side;973 Columbus Avenue;973 Columbus Ave;New York;NY;French;$$$;;A Cafe And Wine Room;Upper West Side;973 Columbus Ave-At 108th St;973 Columbus Ave;New York;NY;;;Eclectic
Abboccato;Midtown West;136 W 55th St;136 W 55th St;New York;NY;Italian;$$$$;;Abboccato Restaurant;;136 West 55th Street;136 W 55th St;;NY;;;
Agave;W. Village;;nan;;;;;;Agave Restaurant;West Village;140 7th Avenue;140 7th Ave;New York;NY;;;American Regional
Aix Brasserie;Upper West Side;2398 Broadway;2398 Broadway;New York;NY;French;$$$$;;Aix Brasserie (CLOSED);;2398 Broadway;2398 Broadway;New York, NY, 10024;NY;;;
Aj Maxwell's - Steakhouse;Midtown West;57 West 48th Street;57 W 48th St;New York;NY;Steakhouse;$$$$;;Aja;Midtown East; 1066 First Ave-at 58th St;1066 1st Avenue;New York;NY;Asian: Pan-Asian;;
Alonso's Steakhouse;Chelsea;265 West 20th St;265 W 20th St;New York;NY;Steakhouse;$$$;;Alonso’s Steakhouse;Chelsea; 265 W 20th St-between Seventh and Eighth Aves;265 W 20th St;New York;NY;Steakhouses;;
Alta;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;Mediterranean;$$$;;Alta Restaurant;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;;;Mediterranean
Alto;Midtown East;520 Madison Ave;520 Madison Ave;New York;NY;Italian;$$$$$;;Alto Restaurant;;520 Madison Avenue;520 Madison Ave;;NY;;;
Amaranth;;21 E. 62nd St.;21 E 62nd St;New York;NY;Mediterranean;$$$;;Amaranth Restaurant;Upper East Side;21 East 62nd Street Frnt;21 E 62nd St;New York;NY;;;Mediterranean
Amaranth;Upper E. Side;;nan;;;;;;Amaranth Restaurant;Upper East Side;21 East 62nd Street Frnt;21 E 62nd St;New York;NY;;;Mediterranean
Amy's Bread;Midtown West;75 Ninth Ave;75 9th Ave;New York;NY;American;$;;Amy's Bread Retail/Wholesale;;75 9th Avenue;75 9th Ave;New York;NY;;;
Annisa;Greenwich Village;13 Barrow Street;13 Barrow St;New York;NY;American;$$$$$;;Annisa Restaurant;West Village;13 Barrow Street;13 Barrow St;New York;NY;;;American Creative
Annisa;W. Village;;nan;;;;;;Annisa Restaurant;West Village;13 Barrow Street;13 Barrow St;New York;NY;;;American Creative
Arezzo;Flatiron;46 W 22nd St;46 W 22nd St;New York;NY;Italian;$$$;;Arezzo (CLOSED);Chelsea; 46 W 22nd St-between Fifth and Sixth Aves;46 W 22nd St;New York;NY;Italian;;
Arezzo;Chelsea;;;;;;;;Arezzo (CLOSED);Chelsea; 46 W 22nd St-between Fifth and Sixth Aves;46 W 22nd St;New York;NY;Italian;;
