Name;Neighborhood;Address;Country;Country code;Type;Cost;Phone
#1 Farmer’s Market;Upper East Side;1458 Second Ave-at 76th St;New York;NY;Food or Beverage Shop;;(212-396-2626)
& X;;622 10th Ave-;New York;NY;;;
'Cesca;Upper W. Side;164 W 75th St;New York;NY;Italian;$$$;
'Ino;Greenwich Village;21 Bedford St;New York;NY;Italian;$;
'Inoteca;Lower East Side;98 Rivington St;New York;NY;Italian;$$;
'SNice;;45 8th Ave-At W 4th St;New York;NY;;;
'SNice45;;8th Ave-;New York;NY;;;
'Wichcraft;Flatiron;11 E 20th St.;New York;NY;;;
'Wichcraft;Tribeca;397 Greenwich St.;New York;NY;;;
'Wichcraft;Tribeca/soho;;New York;NY;;;
'beca;;130 Duane St-At Church St;New York;NY;;;
'ino;;21 Bedford St-Btwn 6th Ave & Downing St;New York;NY;;;
'ino;Greenwich Village;;New York;NY;;;
'inoteca;;323 3rd Ave-;New York;NY;;;
'inoteca;Gramercy / Flatiron;;New York;NY;;;
'sNice;Greenwich Village;;New York;NY;;;
'wichcraft;;0Union Square-;New York;NY;;;
'wichcraft;Chelsea;;New York;NY;;;
'wichcraftBryant Park;;0 At 6th ave & 42nd St-;New York;NY;;;
'wichcraftUnion Square;;;New York;NY;;;
(Le) Poisson Rouge;;;New York;NY;;;
(V) Vegetarian Sandwich Bar;;1259 Park Ave-Btwn 97th & 98th St;New York;NY;;;
1 2 3 Burger Shot Beer;Midtown West;738 Tenth Ave-between 50th and 51st;New York;NY;American;;(212-315-0123)
1 Dominick;Soho;1 Dominick St-between Sixth Ave and Varick St;New York;NY;Italian;;(212-647-0202)
1 Nocello;;257 West 55th Street;New York;NY;;;
1 Nocello;Theater District;;New York;NY;;;
1/2626 10th Ave;;;New York;NY;;;
10 Downing;Greenwich Village;;New York;NY;;;
10 Downing Food and Wine;West Village;;New York;NY;American Creative;;(212-255-0300)
10 Hudson Square;;;New York;NY;;;
100 Finest Pizza & Restaurant Inc;;103 West 110;New York;NY;;;
100 Kenmare Food Corp;;100 Kenmare;New York;NY;;;
100 Park KNC Inc;;100 Park Avenue Lbby;New York;NY;;;
101 Audubon Grocery;;101 Audubon Avenue Frnt;New York;NY;;;
101 Donut Shop;;101 West 23;New York;NY;;;
101 Restaurant;;238 East 24;New York;NY;;;
1020 Amsterdam Corporation;;1020 Amsterdam Avenue;New York;NY;;;
103 Deli & Grocery Inc;;2711 Broadway;New York;NY;;;
103 Oriental Pearl Restaurant;Chinatown;;New York;NY;;;
103 Second Restaurant;;230 East 9th Street;New York;NY;;;
107 West;;2787 Broadway;New York;NY;;;
107 West;Harlem;811 W 187th St;New York;NY;Creole-Cajun;$$$;
107 West;Upper W. Side;;New York;NY;;;
108 Mini Cafe;;196 West 108th Street;New York;NY;;;
10th AV Farms Inc;;460 West 34th Street;New York;NY;;;
10th Avenue Gourmet;;829 10 Av;New York;NY;;;
10th Avenue Pizza & Deli Inc;;256 10th Avenue Frnt;New York;NY;;;
10th Avenue Restaurant Deli;;764 10th Avenue;New York;NY;;;
1131 Lexington Grocery Corporation;;1131 Lexington Avenue;New York;NY;;;
119 Bar;;119 E 15th St;New York;NY;;;
11B Express;Chelsea;174 Ave. B;New York;NY;;;
11th Ave Health Food Ktchn Deli;;610 11th Ave;New York;NY;;;
12 Chairs;;56 Macdougal St;New York;NY;;;
12 Chairs;Tribeca/soho;;New York;NY;;;
122 Deli Grocery;;147 Sherman Av;New York;NY;;;
123 Burger Shot Beer;;;New York;NY;;;
123 Greetings.Com Inc;;1674 Broadway;New York;NY;;;
128 Madison Avenue Chinese Restaurant;;128 Madison Ave;New York;NY;;;
12th Street Bar and Grill;Park Slope;;New York;NY;;;
130 Water Gourmet Farm Inc;;79 Pine Street;New York;NY;;;
1316 Food Inc;;1316 5 Av;New York;NY;;;
132 Deli Inc;;132 East 31st Street;New York;NY;;;
1363 Stir;;1363 First Ave;New York;NY;;;
137 Broadway Chinese Rest;;3371 Broadway;New York;NY;;;
14 St Fruit & Vegetable;;154 West 14th Street;New York;NY;;;
14 Wall St Restaurant;;14 Wall St;New York;NY;;;
14 Wall Street;;14 Wall Street, 31st Floor;New York;NY;;;
1420 Broadway Deli Inc;;1420 Broadway;New York;NY;;;
144 Deli;;142 W 49th St;New York;NY;;;
1455 York Delicatessen CO;;433 East 80th Street;New York;NY;;;
1492 Food;Lower East Side;;New York;NY;Spanish;;(646-654-1114)
15 East;Gramercy/flatiron;15 E 15th St-between Fifth Ave and Union Sq West;New York;NY;Japanese;;(212-647-0015)
15 East Restaurant;Union Square;;New York;NY;Japanese;$$$$;
15 Penn Plaza Corporation;;15 Penn Plaza;New York;NY;;;
