0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_addressGoogle;1_country;1_neighborhood;1_type;1_phone;1_type_r
A Cafe;Upper West Side;973 Columbus Avenue;973 Columbus Ave;New York;NY;French;$$$;;A Cafe And Wine Room;973 Columbus Ave-At 108th St;973 Columbus Ave;New York;Upper West Side;;(212-222-2033);Eclectic
A.O.C. Bedford;West Village;;;;;;;;A.O.C. Bedford (CLOSED); 14 Bedford St-between Sixth Ave and Downing St;14 Bedford St;New York;West Village;Spanish;(212-414-4764);
Alice's Tea Cup;Upper West Side;102 West. 73 st;102 W 73rd St;New York;NY;American;$;;Alice's Tea Cup Chapter II; 156 E 64th Street-between Third and Lexington Aves;156 E 64th St;New York;Upper East Side;Cafés & diners;(212-486-9200);
Alonso's Steakhouse;Chelsea;265 West 20th St;265 W 20th St;New York;NY;Steakhouse;$$$;;Alonso’s Steakhouse; 265 W 20th St-between Seventh and Eighth Aves;265 W 20th St;New York;Chelsea;Steakhouses;(212-675-7749);
Arezzo;Chelsea;;;;;;;;Arezzo (CLOSED); 46 W 22nd St-between Fifth and Sixth Aves;46 W 22nd St;New York;Chelsea;Italian;(212-206-0555);
Artichoke;East Village;328 E 14th St;328 E 14th St;New York;NY;Pizza;$$;;Artichoke Basille's Pizza & Brewery; 328 E 14th St-between First and Second Aves;328 E 14th St;New York;East Village;Italian;(212-228-2004);
Babbo;Greenwich Village;110 Waverly Pl;110 Waverly Pl;New York;NY;Italian;$$$$;;Babbo Ristorante e Enoteca;110 Waverly Pl.;110 Waverly Pl;New York;Greenwich Village;;;
Bar Boa;Upper West Side;100 W 82nd Street;100 W 82nd St;New York;NY;Vietnamese;$$$$;;Bar Boulud; 1900 Broadway-at 64th St;1900 Broadway;New York;Upper West Side;French;(212-595-0303);
Bar Pitti;West Village;;;;;;;;Bar Q; 308–310 Bleecker St-between Seventh Ave South and Grove St;308 Bleecker St;New York;West Village;Eclectic;(212-206-7817);
Ben & Jack's Steak House;Midtown East;219 E 44th St;219 E 44th St;New York;NY;Steakhouse;$$$$;;Ben & Jack's Steakhouse;219 E 44th St-Btwn 2nd & 3rd Ave;219 E 44th St;New York;Midtown East;;(212-682-5678);Steakhouses
Bistro Ten 18;Upper West Side;1018 Amsterdam Ave;1018 Amsterdam Ave;New York;NY;American;$$;;Bistro du Nord; 1312 Madison Ave-at 93rd St;1312 Madison Ave;New York;Upper East Side;French;(212-289-0997);
Black Pearl;Chelsea;37 W. 26th Street;37 W 26th St;New York;NY;Seafood;$$;;Black Pearl (CLOSED); 37 W 26th St-between Broadway and Sixth Ave;37 W 26th St;New York;Chelsea;Seafood;(212-532-9900);
Boi;Midtown East;246 East 44th Street;246 E 44th St;New York;NY;Vietnamese;$$;;Boi Sandwich Shop; 708 Third Ave-between 44th and 45th Sts;708 3rd Ave;New York;Midtown East;Vietnamese;(212-682-1117);
Borgo Antico;East Village;22 E 13th St;22 E 13th St;New York;NY;Italian;$$$;;Borobudur; 128 E 4th St-between First and Second Aves;128 E 4th St;New York;East Village;Asian: Indonesian;(212-614-9079);
Bouley;Tribeca;;;;;;;;Bouley Bakery & Market; 120 West Broadway-at Duane St;120 W Broadway;New York;Tribeca;Food or Beverage Shop;(212-608-5829);
Brick Lane Curry;East Village;342 East 6th St;342 E 6th St;New York;NY;Indian;$;;Brick Lane Curry House; 306–308 E 6th St-between First and Second Aves;306-308 E 6th St;New York;East Village;Indian;(212-979-2900);
Bright Food Shop;Chelsea;218 Eighth Ave;218 8th Ave;New York;NY;Asian;$;;Bright Food Shop (CLOSED); 216 Eighth Ave-at 21st St;216 8th Ave;New York;Chelsea;Eclectic;(212-243-4433);
Bubba Gump Shrimp Co.;Midtown West;1501 Broadway;1501 Broadway;New York;NY;American;$;;Bubba Gump Shrimp Company; 1501 Broadway-at 44th St;1501 Broadway;New York;Midtown West;Seafood;(212-391-7100);
Bull Run;Financial District;52 William St;52 William St;New York;NY;American;$$$;;Bull Run (CLOSED); 52 William St-at Pine St;52 William St;New York;Financial District;American;(212-859-2200);
Butter;East Village;415 Lafayette St;415 Lafayette St;New York;NY;American;$$$;;Butter Lane; 123 E 7th St-between First Ave and Ave A;123 E 7th St;New York;East Village;American;(212-677-2880);
Cafe Gray;Upper West Side;10 Columbus Circle, 3rd Fl;10 Columbus Cir 3rd Fl;New York;NY;French;$$$$$;;Cafe Greco; 1390 Second Ave-between 71st and 72nd Sts;1390 2nd Ave;New York;Upper East Side;Mediterranean;(212-737-4300);
Central Park Boathouse;Upper East Side;;;;;;;;Central Park Boathouse Restaurant;Central Park Lake -park entrance on Fifth Aveat 72nd St;;New York;Upper East Side;Seafood;(212-517-2233);
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;29 Cornelia St;New York;NY;American;$$$;;Cornelia Street Café; 29 Cornelia St-between Bleecker and W 4th Sts;29 Cornelia St;New York;Greenwich Village;;(212-989-9319);American
