0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r
5 Ninth;Meatpacking District;5 Ninth Ave;5 9th Ave;New York;NY;International;$$$;;5 Ninth Restaurant;Meatpacking District;5 Ninth Avenue;5 9th Ave;New York;NY;;;Eclectic
A Cafe;Upper West Side;973 Columbus Avenue;973 Columbus Ave;New York;NY;French;$$$;;A Cafe And Wine Room;Upper West Side;973 Columbus Ave-At 108th St;973 Columbus Ave;New York;NY;;;Eclectic
Alonso's Steakhouse;Chelsea;265 West 20th St;265 W 20th St;New York;NY;Steakhouse;$$$;;Alonso’s Steakhouse;Chelsea; 265 W 20th St-between Seventh and Eighth Aves;265 W 20th St;New York;NY;Steakhouses;;
Alta;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;Mediterranean;$$$;;Alta Restaurant;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;;;Mediterranean
Azucar;Midtown West;939 Eighth Avenue;939 8th Ave;New York;NY;Cuban;$$;;Azucar (Guantanamera);Midtown West;939 8th Avenue;939 8th Ave;New York;NY;;;Caribbean: Cuban
Azuri Cafe;Midtown West;465 W 51st St;465 W 51st St;New York;NY;Jewish;$;;Azuri Café;nan;465 West 51st Street;465 W 51st St;New York;NY;;;nan
Babbo;Greenwich Village;110 Waverly Pl;110 Waverly Pl;New York;NY;Italian;$$$$;;Babbo Ristorante e Enoteca;Greenwich Village;110 Waverly Pl.;110 Waverly Pl;New York;NY;;;Italian
Barmarche;NoLita;14 Spring St;14 Spring St;New York;NY;American;$$;;Barmarché;nan;14 Spring Street;14 Spring St;New York;NY;;;nan
Becco;Midtown West;355 W 46th St;355 W 46th St;New York;NY;Italian;$$$;;Becco Restaurant Inc;Midtown West;355 West 46th Street;355 W 46th St;New York;NY;;;Italian
Black Pearl;Chelsea;37 W. 26th Street;37 W 26th St;New York;NY;Seafood;$$;;Black Pearl (CLOSED);Chelsea; 37 W 26th St-between Broadway and Sixth Ave;37 W 26th St;New York;NY;Seafood;;
Bond 45;Midtown West;154 W 45th St;154 W 45th St;New York;NY;Italian;$$$;;Bond 45 Italian Kitchen Steak & Seafood;Midtown West;154 West 45;154 W 45th St;New York;NY;;;Italian
Chola;Midtown East;232 E 58th St;232 E 58th St;New York;NY;Indian;$$;;Chola Eclectic Indian Cuisine;Midtown East;232 East 58th Street Frnt;232 E 58th St;New York;NY;;;Indian
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;29 Cornelia St;New York;NY;American;$$$;;Cornelia Street Café;Greenwich Village; 29 Cornelia St-between Bleecker and W 4th Sts;29 Cornelia St;New York;NY;;;American
Dim Sum Go Go;Chinatown;5 E Broadway;5 E Broadway;New York;NY;Chinese;$;;Dim Sum go go;Chinatown/Little Italy;5 E Broadway-Btwn Catherine St & Chatham Sq;5 E Broadway;New York;NY;;;Chinese
Epices Inc;Upper West Side;103 W 70th St;103 W 70th St;New York;NY;Mediterranean;$$;;Epices du Traiteur;Upper West Side; 103 W 70th St-between Columbus Ave and Broadway;103 W 70th St;New York;NY;Mediterranean;;
Essex;Lower East Side;120 Essex St;120 Essex St;New York;NY;American;$;;Essex Restaurant;Lower East Side;120 Essex Street;120 Essex St;New York;NY;;;Eclectic
Estiatorio Milos;Midtown West;125 West 55th Street;125 W 55th St;New York;NY;Greek;$$$$;;Estiatorio Milos Restaurant;Midtown West;125 West 55th Street;125 W 55th St;New York;NY;;;Greek
Felidia;Midtown East;243 East 58th Street;243 E 58th St;New York;NY;Italian;$$$$;;Felidia Ristorante Inc;Midtown East;243 E 58th St;243 E 58th St;New York;NY;;;Italian
Florent;Meatpacking District;69 Gansevoort St;69 Gansevoort St;New York;NY;American;$;;Florent (CLOSED);Meatpacking District; 69 Gansevoort St-between Greenwich and Washington Sts;69 Gansevoort St;New York;NY;French;;
French Roast;Upper West Side;2340 Broadway;2340 Broadway;New York;NY;Breakfast;$;;French Roast Cafe;Upper West Side;2340 Broadway-At 85th St;2340 Broadway;New York;NY;;;Cafés
Gonzalez Y Gonzalez;SOHO;625 Broadway;625 Broadway;New York;NY;Mexican;$$$;;Gonzalez y Gonzalez;;625 Broadway-Btwn Houston & Bleecker St;625 Broadway;;NY;;;
Gramercy Tavern;Union Square;42 E 20th St;42 E 20th St;New York;NY;American;$$$$;;Gramercy Tavern Corp;Gramercy/Flatiron;42 E 20th St;42 E 20th St;New York;NY;;;American Creative
Gramercy Tavern;Gramercy / Flatiron;;;;;;;;Gramercy Tavern Corp;Gramercy/Flatiron;42 E 20th St;42 E 20th St;New York;NY;;;American Creative
Great Jones Cafe;NoLita;54 Great Jones St;54 Great Jones St;New York;NY;Southern;$;;Great Jones Café;East Village; 54 Great Jones St-between Bowery and Lafayette St;54 Great Jones St;New York;NY;;;American Regional
Great Jones Cafe;E. Village;;nan;;;;;;Great Jones Café;East Village; 54 Great Jones St-between Bowery and Lafayette St;54 Great Jones St;New York;NY;;;American Regional
Great N.Y. Noodle Town;Chinatown;28 Bowery;28 Bowery;New York;NY;Chinese;$;;Great N.Y. Noodletown;Chinatown;28 Bowery;28 Bowery;New York;NY;;;
Hill Country;Chelsea;30 W. 26th St.;30 W 26th St;New York;NY;Barbecue;$$;;Hill Country Barbecue;Chelsea;30 W 26th St.;30 W 26th St;New York;NY;;;Barbeque
Il Cantinori;Greenwich Village;32 East 10th St;32 E 10th St;New York;NY;Italian;$$$$;;Il Cantinori Restaurant Inc;Greenwich Village;32 E 10th St;32 E 10th St;New York;NY;;;Italian
Il Valentino;Midtown East;330 East 56th Street;330 E 56th St;New York;NY;Italian;$$$;;Il Valentino Inc;;330 E 56th St;330 E 56th St;New York;NY;;;
Island Burgers & Shakes;Midtown West;766 9th Ave;766 9th Ave;New York;NY;American;$;;Island Burgers And Shakes;nan;766 9th Avenue;766 9th Ave;New York;NY;;;nan
Johnny Utah's;Midtown West;;;;;;;;Johnny Utah’s;Midtown West;Club Quarters Hotel -25 W 51st Stbetween Fifth and Sixth Aves;;New York;NY;American;;
