Name;Neighborhood;Address;Country;Country code;Type;Cost;1_country_code;1_cost
#1 Farmer’s Market;Upper East Side;;New York;NY;Food or Beverage Shop;;NY;
& X;;;New York;NY;;;NY;
'Cesca;;;New York;NY;;;NY;
'Ino;Greenwich Village;;New York;NY;Italian;$;;
'Inoteca;;;New York;NY;;;NY;
'SNice;;;New York;NY;;;NY;
'SNice45;;;New York;NY;;;NY;
'Wichcraft;Flatiron;;New York;NY;;;NY;
'beca;;;New York;NY;;;NY;
'ino;;;New York;NY;;;NY;
'inoteca;;;New York;NY;;;NY;
'sNice;Greenwich Village;;New York;NY;;;;
'wichcraft;;;New York;NY;;;NY;
'wichcraftBryant Park;;;New York;NY;;;NY;
'wichcraftUnion Square;;;New York;NY;;;NY;
(Le) Poisson Rouge;;;New York;NY;;;;
(V) Vegetarian Sandwich Bar;;;New York;NY;;;NY;
1 2 3 Burger Shot Beer;Midtown West;;New York;NY;American;;NY;
1 Dominick;Soho;;New York;NY;;;;
1 Nocello;;;New York;NY;;;NY;
1/2626 10th Ave;;;New York;NY;;;NY;
10 Downing;Greenwich Village;;New York;NY;;;;
10 Downing Food & Wine;West Village;;New York;NY;;;;
10 Downing Food and Wine;West Village;;New York;NY;American Creative;;NY;
10 Hudson Square;;;New York;NY;;;;
100 Finest Pizza & Restaurant Inc;;;New York;NY;;;NY;
100 Kenmare Food Corp;;;New York;NY;;;NY;
100 Park KNC Inc;;;New York;NY;;;NY;
101 Audubon Grocery;;;New York;NY;;;NY;
101 Donut Shop;;;New York;NY;;;NY;
101 Restaurant;;;New York;NY;;;NY;
1020 Amsterdam Corporation;;;New York;NY;;;NY;
103 Deli & Grocery Inc;;;New York;NY;;;NY;
103 Oriental Pearl Restaurant;Chinatown;;New York;NY;;;;
103 Second Restaurant;;;New York;NY;;;NY;
107 West;;;New York;NY;;;NY;
107 West Restaurant;;;New York;NY;;;NY;
108 Mini Cafe;;;New York;NY;;;NY;
10th AV Farms Inc;;;New York;NY;;;NY;
10th Avenue Gourmet;;;New York;NY;;;NY;
10th Avenue Pizza & Deli Inc;;;New York;NY;;;NY;
10th Avenue Restaurant Deli;;;New York;NY;;;NY;
1131 Lexington Grocery Corporation;;;New York;NY;;;NY;
119 Bar;;;New York;NY;;;NY;
11B Express;Chelsea;;New York;NY;;;NY;
11th Ave Health Food Ktchn Deli;;;New York;NY;;;NY;
12 Chairs;;;New York;NY;;;NY;
122 Deli Grocery;;;New York;NY;;;NY;
123 Burger Shot Beer;;;New York;NY;;;;
123 Greetings.Com Inc;;;New York;NY;;;NY;
128 Madison Avenue Chinese Restaurant;;;New York;NY;;;NY;
12th Street Bar and Grill;Park Slope;;New York;NY;;;;
130 Water Gourmet Farm Inc;;;New York;NY;;;NY;
1316 Food Inc;;;New York;NY;;;NY;
132 Deli Inc;;;New York;NY;;;NY;
1363 Stir;;;New York;NY;;;NY;
137 Broadway Chinese Rest;;;New York;NY;;;NY;
14 St Fruit & Vegetable;;;New York;NY;;;NY;
14 Wall St Restaurant;;;New York;NY;;;NY;
14 Wall Street;;;New York;NY;;;NY;
1420 Broadway Deli Inc;;;New York;NY;;;NY;
144 Deli;;;New York;NY;;;NY;
1455 York Delicatessen CO;;;New York;NY;;;NY;
1492;Lower East Side;;New York;NY;Spanish;;NY;
1492 Food;Lower East Side;;New York;NY;;;;
15 East;Gramercy/flatiron;;New York;NY;Japanese;;NY;
15 East Restaurant;Union Square;;New York;NY;Japanese;$$$$;;
15 Penn Plaza Corporation;;;New York;NY;;;NY;
154 Chelsea Deli Corp;;;New York;NY;;;NY;
157 West 33 Gourmet Deli;;;New York;NY;;;NY;
16 Handles;East Village;;New York;NY;;;NY;
162 First Avenue Corporation;;;New York;NY;;;NY;
163 First Avenue Restaurant;;;New York;NY;;;NY;
1631 Panda Kitchen Inc;;;New York;NY;;;NY;
1641 2nd Avenue Restaurant Inc;;;New York;NY;;;NY;
1657 Broadway Gourmet;;;New York;NY;;;NY;
168 E 116 Restaurant Corporation;;;New York;NY;;;NY;
17 Battery Park Cafe;;;New York;NY;;;NY;
17 Bleecker;East Village;;New York;NY;;;;
17 Murray;;;New York;NY;;;NY;
17 Murray Street Restaurant;Tribeca/soho;;New York;NY;;;;
180 Broadway Cafe;;;New York;NY;;;NY;
181 Janlo Co;;;New York;NY;;;NY;
181st St Bakery & Deli;;;New York;NY;;;NY;
1849;;;New York;NY;;;NY;
1978 Convenience Espress;;;New York;NY;;;NY;
1991 Small Fish;;;New York;NY;;;NY;
1994 Sss Corp;;;New York;NY;;;NY;
19th Street Food Extravaganza;;;New York;NY;;;NY;
1st Avenue Grocery & Deli;;;New York;NY;;;NY;
1st St Bakery & Deli;;;New York;NY;;;NY;
2 Bros. Pizza;East Village;;New York;NY;;;;
2 Dyckman St;;;New York;NY;;;NY;
2 Rivers;;;New York;NY;;;NY;
2 Rivers Bar and ReStaurant;;;New York;NY;American;;;
2 Seven 7;;;New York;NY;;;NY;
2 West;Battery Park City;;New York;NY;;;;
20 Mott St Restaurant;;;New York;NY;;;NY;
202;Chelsea;;New York;NY;;;;
202 Cafe;Chelsea;;New York;NY;;;NY;
202 at Chelsea Market;Chelsea;;New York;NY;British & Irish;;NY;
2020;;;New York;NY;;;NY;
2026 China King;;;New York;NY;;;NY;
206 East 60ST Corporation;;;New York;NY;;;NY;
207 Grocery Store Corporation;;;New York;NY;;;NY;
21 Club;;;New York;NY;;;NY;
21 Club Restaurant;;;New York;NY;;;NY;
211 New Taco Grill;;;New York;NY;;;NY;
212 Fukumatsu Restaurant;;;New York;NY;;;NY;
212 RESTAURANT;;;New York;NY;;;NY;
212 Restaurant & Bar;Upper East Side;;New York;NY;;;;
213 Grand Street Gourmet;Chinatown;;New York;NY;;;NY;
213 Park Ave South Deli;;;New York;NY;;;NY;
2176 Grocery & Deli;;;New York;NY;;;NY;
218 Lafayette St;;;New York;NY;;;NY;
21st Century Training Center;;;New York;NY;;;NY;
22 West Restaurant And Lounge;Harlem;;New York;NY;;;;
224 Avenue B Inc;;;New York;NY;;;NY;
2252 5 Avenue Grocery;;;New York;NY;;;NY;
23 Lexington Inc;;;New York;NY;;;NY;
235 9 Av;;;New York;NY;;;NY;
236 Columbus Farm Corporation;;;New York;NY;;;NY;
238 Madison Bistro;;;New York;NY;;;NY;
23rd St Food Plus;;;New York;NY;;;NY;
23rd Street Bagels;;;New York;NY;;;NY;
24 8;;;New York;NY;;;NY;
24 Deli Dot Com;;;New York;NY;;;NY;
24 Prince;Chinatown/little Italy;;New York;NY;American;;NY;
2413 Adam Clayton Powell Jr Grocery Inc;;;New York;NY;;;NY;
243 Deli Grocery;;;New York;NY;;;NY;
2561 Corp;;;New York;NY;;;NY;
26 Seats;E. Village;;New York;NY;French;$$;;
26 St Deli;;;New York;NY;;;NY;
27 De Febrero Restaurant;;;New York;NY;;;NY;
27 Standard;;;New York;NY;;;NY;
274 Columbus Corp;;;New York;NY;;;NY;
28 Noodles;;;New York;NY;;;NY;
2806 Deli & Grocery;;;New York;NY;;;NY;
2807 Deli Grocery Corp;;;New York;NY;;;NY;
285 St Nicholas Deli;;;New York;NY;;;NY;
29 St Marks Place Restaurant Inc;;;New York;NY;;;NY;
292 Cafe Inc;;;New York;NY;;;NY;
29th Street Deli;;;New York;NY;;;NY;
2Eat@Saks;Midtown East;;New York;NY;;;;
2nd Ave Deli;Midtown East;;New York;NY;American;;NY;
2nd Ave Deli RIP;;;New York;NY;;;NY;
2nd Avenue Deli;Murray Hill/kips Bay;;New York;NY;;;;
2nd Street Cafe;Park Slope;;New York;NY;;;;
3 Deli & Grill Inc;;;New York;NY;;;NY;
3 E;;;New York;NY;;;NY;
3 J's Pizza;;;New York;NY;;;NY;
30 Boca Corporation;;;New York;NY;;;NY;
307 E 54th Street Corp;;;New York;NY;;;NY;
312 W 58stcoliseum;;;New York;NY;;;NY;
324 Bowery Food Inc;;;New York;NY;;;NY;
33 E 65th St;;;New York;NY;;;NY;
33 Gourmet Deli;;;New York;NY;;;NY;
33 Ristorante;Chelsea;;New York;NY;Italian;;NY;
343 Restaurant;;;New York;NY;;;NY;
3451 Broadway Restaurant Inc;;;New York;NY;;;NY;
35;;;New York;NY;;;NY;
35 Smoke & Grill;;;New York;NY;;;NY;
356 W 44 St Inc;;;New York;NY;;;NY;
36 Bar & BBQ;;;New York;NY;;;NY;
36 Bar and Barbecue;Midtown West;;New York;NY;;;;
362 Deli & Pizza;;;New York;NY;;;NY;
37 Peter Corp;;;New York;NY;;;NY;
38th St Restaurant & Bakery;;;New York;NY;;;NY;
38th Street Restaurant and Bakery;Midtown West;;New York;NY;;;;
39 Deli;;;New York;NY;;;NY;
3C'S Restaurant;;;New York;NY;;;NY;
3Z Restaurant;;;New York;NY;;;NY;
3rd Avenue Deli Grocery;;;New York;NY;;;NY;
3rd Avenue Garden;;;New York;NY;;;NY;
4 & X;;;New York;NY;;;NY;
4 Fusion;;;New York;NY;;;NY;
4 Jays Cafe;;;New York;NY;;;NY;
4& X;;;New York;NY;;;NY;
40 Carrots;;;New York;NY;;;NY;
40 Club;;;New York;NY;;;NY;
40 Club6 W;;;New York;NY;;;NY;
40/40;;;New York;NY;;;NY;
400 W 23 St Restaurant Corp;;;New York;NY;;;NY;
41 Greenwich Avenue;West Village;;New York;NY;;;;
4105 Food Plaza Inc;;;New York;NY;;;NY;
4199 Crystal Too Corp;;;New York;NY;;;NY;
420 Bar and Lounge;;;New York;NY;;;NY;
42nd Green Tree Food Inc;;;New York;NY;;;NY;
42nd Street Eatery;;;New York;NY;;;NY;
42nd Street Pizza Corporation;;;New York;NY;;;NY;
43rd Street Restaurant LLC;;;New York;NY;;;NY;
44;;;New York;NY;;;NY;
44 & X Hell's Kitchen;Hell's Kitchen;;New York;NY;;;;
44 1/2;Midtown West;;New York;NY;Cafés & diners;;NY;
44 Restaurant @ The Royalton Hotel;;;New York;NY;;;NY;
44 South West Italian Rest;Midtown West;;New York;NY;Italian;;NY;
44 Sw Ristorante Lounge;;;New York;NY;;;NY;
44 and X Hell's Kitchen;Midtown West;;New York;NY;American;$$$;;
44 ½;;;New York;NY;;;NY;
44&X;;;New York;NY;;;NY;
44.5;;;New York;NY;;;NY;
45 St Nicholas Food Corporation;;;New York;NY;;;NY;
450 Park LLC;;;New York;NY;;;NY;
46 Grand St;;;New York;NY;;;NY;
46 St Bakery;;;New York;NY;;;NY;
48 Theater Deli;;;New York;NY;;;NY;
48 West 48th Grocery Inc;;;New York;NY;;;NY;
48th Street Cafe Inc;;;New York;NY;;;NY;
4fusion (CLOSED);Midtown West;;New York;NY;Eclectic;;NY;
5;;;New York;NY;;;NY;
5 & 10 No Exaggeration;;;New York;NY;;;NY;
5 Brothers Gourmet Market;;;New York;NY;;;NY;
5 Napkin Burger;Hell's Kitchen;;New York;NY;American;$$;;
5 Ninth;Meatpacking District;;New York;NY;International;$$$;;
5 Ninth Restaurant;Meatpacking District;;New York;NY;Eclectic;;NY;
5's at The Peninsula New York;Midtown West;;New York;NY;;;;
500 Cafe;;;New York;NY;;;NY;
500 Station Grocery Deli;;;New York;NY;;;NY;
5035 Broadway Food Inc;;;New York;NY;;;NY;
508;;;New York;NY;;;;
508 Greenwich St;;;New York;NY;;;NY;
508 Restaurant & Bar;Tribeca - Downtown;;New York;NY;;;;
50th St Restaurant Operating LLC;;;New York;NY;;;NY;
510 E 11 Street Corporation;;;New York;NY;;;NY;
5162;;;New York;NY;;;NY;
520 Asian Restaurant Corp;;;New York;NY;;;NY;
53 St Deli;;;New York;NY;;;NY;
535 Eat & Drink;W. Village;;New York;NY;;;;
536 Madison Avenue Restaurant;;;New York;NY;;;NY;
540 Park;Midtown East;;New York;NY;American;;NY;
540 Park Restaurant;;;New York;NY;;;NY;
54th Street Ltd Partners;;;New York;NY;;;NY;
55 Wall;;;New York;NY;;;NY;
550 8th Ave Restaurant Corp;;;New York;NY;;;NY;
56 Cafe Restaurant;;;New York;NY;;;NY;
57;Midtown East;;New York;NY;;;;
57 - Four Seasons Hotel New York;Midtown East;;New York;NY;;;;
57 E 57th St;;;New York;NY;;;NY;
57 St Bake Corp;;;New York;NY;;;NY;
57 St Pizza Corporation;;;New York;NY;;;NY;
5757 Restaurant;;;New York;NY;;;NY;
580 2nd AV Food Corporation;;;New York;NY;;;NY;
588 Restaurant Corp Caridad;;;New York;NY;;;NY;
5th Avenue Cafe;;;New York;NY;;;NY;
6 Av Finest Deli;;;New York;NY;;;NY;
609 Madison Market Inc;;;New York;NY;;;NY;
612 Gourmet Deli Corporation;;;New York;NY;;;NY;
62 Pearl Rice & Noodle Inc;;;New York;NY;;;NY;
65th Street Restaurant;;;New York;NY;;;NY;
66;Tribeca/soho;;New York;NY;;;;
66 (CLOSED);Tribeca;;New York;NY;Chinese;;NY;
67 Liberty Gourmet;;;New York;NY;;;NY;
67 Macombs Deli Grocery;;;New York;NY;;;NY;
69;;;New York;NY;;;NY;
69 Bayard St;;;New York;NY;;;NY;
69 Mott Street Restaurant;;;New York;NY;;;NY;
696 Gourmet Deli;;;New York;NY;;;NY;
7 Ignicks Restaurant Inc;;;New York;NY;;;NY;
7 Square (CLOSED);;;New York;NY;;;NY;
7 St Food Vegetable & Grocery Inc;;;New York;NY;;;NY;
7-11 Associates Inc;;;New York;NY;;;NY;
71 Clinton Fresh Food;Lower East Side;;New York;NY;American Creative;;NY;
71 Irving Place;;;New York;NY;;;NY;
71 Irving Place Coffee & Tea Bar;Gramercy;;New York;NY;American;$;;
719 Brother Famous Deli;;;New York;NY;;;NY;
75 Nassau Street Restaurant;Lower Manhattan;;New York;NY;;;;
75 Park Place Farm Inc;;;New York;NY;;;NY;
76 York Healthy Food Cafe;;;New York;NY;;;NY;
77493;;;New York;NY;;;NY;
