level_0;level_1;ristorante;indirizzo;Score;restaurant_x;address_x;addressGoogle_x;country_x;neighborhood_x;type_x;phone_x;restaurant_y;address_y;addressGoogle_y;country_y;neighborhood_y;type_y;phone_y
2705;4;0,889;1;1,889;1492;60 Clinton Street;60 Clinton St;New York;;;;1492 Food; 60 Clinton St-between Rivington and Stanton Sts;60 Clinton St;New York;Lower East Side;Spanish;(646-654-1114)
2793;15;0,868;1;1,868;44 South West Italian Rest;621 9th Ave;621 9th Ave;New York;;;;44 Southwest; 621 Ninth Ave-at 44th St;621 9th Ave;New York;Midtown West;Italian;(212-315-4582)
2834;22;0,940;1;1,940;71 Clinton Fresh Food;71 Clinton Street;71 Clinton St;New York;;;;71 Clinton Fresh Food (CLOSED); 71 Clinton St-between Rivington and Stanton Sts;71 Clinton St;New York;Lower East Side;American Creative;(212-614-6960)
2869;27;0,943;1;1,943;99 Miles To Philly Inc;94 3 Av;94 3rd Ave;New York;;;;99 Miles to Philly; 94 Third Ave-between 12th and 13th Sts;94 3rd Ave;New York;East Village;American;(212-253-2700)
2869;2868;0,964;1;1,964;99 Miles To Philly Inc;94 3 Av;94 3rd Ave;New York;;;;99 Miles To Philly;94 3 Av;94 3rd Ave;New York;;;
2954;48;0,960;1;1,960;Adiletto's;812 Washington;812 Washington St;New York;;;;Adiletto’s; 812 Washington St-between Gansevoort and Horatio Sts;812 Washington St;New York;Meatpacking District;Italian;(212-352-3581)
3085;100;0,866;1;1,866;Amy Ruth's Restaurant;113 West 116th Street;113 W 116th St;New York;;;;Amy Ruth’s; 113 W 116th St-between Malcolm X Blvd (Lenox Ave) and Adam Clayton Powell Jr. Blvd (Seventh Ave);113 W 116th St;New York;Harlem;American Regional;(212-280-8779)
3108;106;0,903;1;1,903;Angelo & Maxies Steakhouse;233 Park Avenue South;233 Park Ave S;New York;;;;Angelo & Maxie’s; 233 Park Ave South-at 19th St;233 Park Ave S;New York;Gramercy/Flatiron;Steakhouses;(212-220-9200)
8483;106;0,909;1;1,909;Angelo and Maxie's;233 Park Ave S-At 19th St;233 Park Ave S;;;;;Angelo & Maxie’s; 233 Park Ave South-at 19th St;233 Park Ave S;New York;Gramercy/Flatiron;Steakhouses;(212-220-9200)
3117;108;0,892;1;1,892;Angon On the Sixth;320 East 6th Street Frnt;320 E 6th St;New York;;;;Angon on Sixth; 320 E 6th St-between First and Second Aves;320 E 6th St;New York;East Village;Indian;(212-260-8229)
8487;108;0,920;1;1,920;Angon on the Sixth;320 E 6th St-Btwn 1st & 2nd Ave;320 E 6th St;;;;;Angon on Sixth; 320 E 6th St-between First and Second Aves;320 E 6th St;New York;East Village;Indian;(212-260-8229)
3193;136;0,858;1;1,858;Arriba Arriba Mexican Restaurant Inc;762 9th Ave;762 9th Ave;New York;;;;Arriba Arriba!; 762 Ninth Ave-at 51st St;762 9th Ave;New York;Midtown West;Mexican;(212-489-0810)
3207;139;0,909;1;1,909;Arties Delicatessen and Caterers;2290 Broadway;2290 Broadway;New York;;;;Artie’s Delicatessen; 2290 Broadway-at 83rd St;2290 Broadway;New York;Upper West Side;American;(212-579-5959)
3211;142;0,833;1;1,833;Arturos Restaurant;106 West Houston Street;106 W Houston St;New York;;;;Arturo’s Pizzeria; 106 W Houston St-at Thompson St;106 W Houston St;New York;Greenwich Village;Italian: Pizza;(212-677-3820)
3258;172;0,969;1;1,969;Ayurveda Cafe;706 Amsterdam Avenue Frnt;706 Amsterdam Ave;New York;;;;Ayurveda Café; 706 Amsterdam Ave-at 94th St;706 Amsterdam Ave;New York;Upper West Side;Indian;(212-932-2400)
3262;174;0,943;1;1,943;Azafran;77 Warren Street Frnt;77 Warren St;New York;;;;Azafrán; 77 Warren St-between Greenwich St and West Broadway;77 Warren St;New York;Financial District;Spanish;(212-284-0577)
3318;202;0,880;1;1,880;Baldo VINO;126 East 7th Street Frnt;126 E 7th St;New York;;;;Baldo Vino; 126 E 7th St-between First Ave and Ave A;126 E 7th St;New York;East Village;Italian;(212-979-0319)
