level_0;level_1;ristorante;indirizzoOriginale;quartiere;Score;0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
146;320;1,000;1,000;1,000;3,000;Bobby Van's Steakhouse-Park Avenue;Midtown East;230 Park Avenue;New York;NY;Steakhouse;$$$;;Bobby Van’s Steakhouse; 230 Park Ave-at 46th St;New York;Midtown East;Steakhouses;(212-867-5490);
171;378;1,000;1,000;1,000;3,000;Bright Food Shop;Chelsea;218 Eighth Ave;New York;NY;Asian;$;;Bright Food Shop (CLOSED); 216 Eighth Ave-at 21st St;New York;Chelsea;Eclectic;(212-243-4433);
175;393;1,000;1,000;1,000;3,000;Bubba Gump Shrimp Co.;Midtown West;1501 Broadway;New York;NY;American;$;;Bubba Gump Shrimp Company; 1501 Broadway-at 44th St;New York;Midtown West;Seafood;(212-391-7100);
6816;673;1,000;1,000;1,000;3,000;Da Andrea;Greenwich Village;557 Hudson St btwn Perry and W 11th Sts;;;;;;Da Andrea (CLOSED); 557 Hudson St-between Perry and W 11th Sts;New York;West Village;Italian;(212-367-1979);
322;13866;1,000;1,000;1,000;3,000;Dok Suni;East Village;119 First Ave;New York;NY;Korean;$$;;Dok Suni's;119 First Ave.;New York;East Village;;;
421;13900;1,000;1,000;1,000;3,000;Great N.Y. Noodle Town;Chinatown;28 Bowery;New York;NY;Chinese;$;;Great N.Y. Noodletown;28 Bowery;New York;Chinatown;;;
446;13905;1,000;1,000;1,000;3,000;Hill Country;Chelsea;30 W. 26th St.;New York;NY;Barbecue;$$;;Hill Country Barbecue;30 W 26th St.;New York;Chelsea;;;
7029;1522;1,000;1,000;1,000;3,000;Mi Cocina;Greenwich Village;57 Jane St at Hudson St;;;;;;Mi Cocina (CLOSED); 57 Jane St-at Hudson St;New York;West Village;Mexican;(212-627-8273);
760;14005;1,000;1,000;1,000;3,000;Ping's Seafood;Chinatown;22 Mott St;New York;NY;Chinese;$;;Ping's Seafood Restaurant;22 Mott St.;New York;Chinatown;;;
832;2000;1,000;1,000;1,000;3,000;Sammy's Roumanian;Lower East Side;157 Chrystie St;New York;NY;European;$$$;;Sammy's Roumanian Steak House; 157 Chrystie St-;New York;Lower East Side;Eastern European;(212-673-0330);
7234;2266;1,000;1,000;1,000;3,000;Ted's Montana Grill;Midtown West;110 W 51st St btwn Sixth and Seventh...;;;;;;Ted’s Montana Grill; 110 W 51st St-between Sixth and Seventh Aves;New York;Midtown West;American;(212-245-5220);
6808;642;1,000;1,000;1,000;3,000;Country Cafe;SoHo;69 Thompson St btwn Broome and Spring...;;;;;;Country Café; 69 Thompson St-between Broome and Spring Sts;New York;Soho;French;(212-966-5417);
6650;169;1,000;1,000;1,000;3,000;Ayza Cafe and Wine Bar;Midtown East;11 W 31st St btwn Fifth Ave and Broadway;;;;;;Ayza Café and Wine Bar; 11 W 31st St-between Fifth Ave and Broadway;New York;Midtown East;Eclectic;(212-714-2992);
6660;209;1,000;1,000;1,000;3,000;Banc Cafe;Midtown East;431 Third Ave at 30th St;;;;;;Banc Café; 431 Third Ave-at 30th St;New York;Midtown East;French;(212-252-0146);
6868;858;1,000;1,000;1,000;3,000;Fairway Cafe and Steakhouse;Upper West Side;2127 Broadway btwn 74th and 75th Sts;;;;;;Fairway Café and Steakhouse;2127 Broadway -between 74th and 75th Stssecond floor;New York;Upper West Side;American;(212-595-1888);
6897;14147;1,000;1,000;1,000;3,000;Gazala Place;Midtown West;709 Ninth Ave at 49th St;;;;;;Gazala's Place;709 9th Ave-Btwn 48th & 49th St;New York;Midtown West;;(212-245-0709);Middle Eastern
6926;1110;1,000;1,000;1,000;3,000;Indian Bread Co;Greenwich Village;194 Bleecker St btwn Sixth Ave and...;;;;;;Indian Bread Co.; 194 Bleecker St-between Sixth Ave and MacDougal St;New York;Greenwich Village;Indian;(212-228-1909);
7100;1810;1,000;1,000;1,000;3,000;Piccolo Angelo;Greenwich Village;621 Hudson St btwn Jane and W 12th Sts;;;;;;Piccolo Angolo; 621 Hudson St-at Jane St;New York;West Village;Italian;(212-229-9177);
755;1810;1,000;1,000;1,000;3,000;Piccolo Angolo;West Village;621 Hudson St;New York;NY;Italian;$$;;Piccolo Angolo; 621 Hudson St-at Jane St;New York;West Village;Italian;(212-229-9177);
7137;1985;1,000;1,000;1,000;3,000;Sakae Sushi;Greenwich Village;135 W 3rd St btwn Sixth Ave and...;;;;;;Sakae Sushi (CLOSED); 135 W 3rd St-between Sixth Ave and MacDougal St;New York;West Village;Japanese;(212-228-9839);
1;13780;1,000;1,000;1,000;3,000;'Ino;Greenwich Village;21 Bedford St;New York;NY;Italian;$;;'Ino;21 Bedford St.;New York;West Village;;;
17;33;1,000;1,000;1,000;3,000;A.O.C.;West Village;314 Bleecker St;New York;NY;French;$$;;A.O.C.; 314 Bleecker St-at Grove St;New York;West Village;French;(212-675-9463);
29;70;1,000;1,000;1,000;3,000;Alfama;Greenwich Village;551 Hudson St;New York;NY;Portuguese;$$;;Alfama; 551 Hudson St-at Perry St;New York;West Village;Portuguese;(212-645-2500);
