0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r;1_phone
'Ino;Greenwich Village;21 Bedford St;21 Bedford St;New York;NY;Italian;$;;;;;;;;;;;
'Inoteca;Lower East Side;98 Rivington St;98 Rivington St;New York;NY;Italian;$$;;;;;;;;;;;
107 West;Harlem;811 W 187th St;811 W 187th St;New York;NY;Creole-Cajun;$$$;;;;;;;;;;;
2 Rivers Bar and ReStaurant;;10 Murray St;10 Murray Street;New York;NY;American;;;;;;;;;;;;
2 West;Financial District;2 West St;2 West St;New York;NY;American;$$$;;;;;;;;;;;
21 Club;Midtown West;21 W 52nd St;21 W 52nd St;New York;NY;American;$$$;;;;;;;;;;;
44;Midtown West;44 W 44th Street;44 W 44th St;New York;NY;American;$$$;;;;;;;;;;;
5 Napkin Burger;Hell's Kitchen;630 Ninth Ave;630 9th Ave;New York;NY;American;$$;;;;;;;;;;;
5 Ninth;Meatpacking District;5 Ninth Ave;5 9th Ave;New York;NY;International;$$$;;;;;;;;;;;
71 Irving Place;Gramercy Park;71 Irving Pl;71 Irving Pl;New York;NY;American;$;;;;;;;;;;;
77493;Midtown West;1633 Broadway;1633 Broadway;New York;NY;American;$$;;;;;;;;;;;
A;Harlem;947 Columbus Ave;947 Columbus Ave;New York;NY;Caribbean;$;;;;;;;;;;;
A Cafe;Upper West Side;973 Columbus Avenue;973 Columbus Ave;New York;NY;French;$$$;;;;;;;;;;;
Abboccato;Midtown West;136 W 55th St;136 W 55th St;New York;NY;Italian;$$$$;;;;;;;;;;;
Acqua;;718 Amsterdam Ave.;718 Amsterdam Ave;New York;NY;Italian;$$$$;;;;;;;;;;;
Ada;Midtown East;208 E 58th Street;208 E 58th St;New York;NY;Indian;$$$;;;;;;;;;;;
Agave;Greenwich Village;140 7th Ave South;140 7th Ave S;New York;NY;Southwestern;$$;;;;;;;;;;;
Aix Brasserie;Upper West Side;2398 Broadway;2398 Broadway;New York;NY;French;$$$$;;;;;;;;;;;
Aj Maxwell's - Steakhouse;Midtown West;57 West 48th Street;57 W 48th St;New York;NY;Steakhouse;$$$$;;;;;;;;;;;
Aki;Greenwich Village;181 W Fourth St;181 West 4th Street;New York;NY;Caribbean;$$$;;;;;;;;;;;
Alfredo Of Rome;;4 W 49th St;4 W 49th St;New York;NY;;;;;;;;;;;;;
Ali Baba;Murray Hill;206 E 34th St;206 E 34th St;New York;NY;Turkish;$;;;;;;;;;;;
Allegretti;Flatiron;46 West 22nd St;46 W 22nd St;New York;NY;French;$$$$;;;;;;;;;;;
Almond;Flatiron;12 E 22nd Street;12 E 22nd St;New York;NY;French;$$$$$;;;;;;;;;;;
Alonso's Steakhouse;Chelsea;265 West 20th St;265 W 20th St;New York;NY;Steakhouse;$$$;;;;;;;;;;;
Alta;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;Mediterranean;$$$;;;;;;;;;;;
Alto;Midtown East;520 Madison Ave;520 Madison Ave;New York;NY;Italian;$$$$$;;;;;;;;;;;
Amaranth;;21 E. 62nd St.;21 E 62nd St;New York;NY;Mediterranean;$$$;;;;;;;;;;;
Amazing 66;Chinatown;66 Mott Street;66 Mott St;New York;NY;Chinese;$$;;;;;;;;;;;
Amber;;1406 Third Ave.;1406 3rd Ave;New York;NY;Pan-Asian;$$;;;;;;;;;;;
Amy's Bread;Midtown West;75 Ninth Ave;75 9th Ave;New York;NY;American;$;;;;;;;;;;;
Angelo & Maxies Steakhouse;Midtown West;233 Park Ave South (19th St);233 Park Ave S;New York;NY;Steakhouse;$$$;;;;;;;;;;;
Angelo's Of Mulberry Street;Little Italy;146 Mulberry St Fl 1;146 Mulberry St Fl 1;New York;NY;Italian;$$$;;;;;;;;;;;
Annisa;Greenwich Village;13 Barrow Street;13 Barrow St;New York;NY;American;$$$$$;;;;;;;;;;;
Apiary;East Village;60 Third Ave.;60 3rd Ave;New York;NY;American;$$$$;;;;;;;;;;;
Aq Cafe;Murray Hill;58 Park Ave;58 Park Ave;New York;NY;Scandinavian;$;;;;;;;;;;;
Aquagrill;SOHO;210 Spring St;210 Spring St;New York;NY;Seafood;$$$$;;;;;;;;;;;
Arezzo;Flatiron;46 W 22nd St;46 W 22nd St;New York;NY;Italian;$$$;;;;;;;;;;;
Aroma;NoLita;36 E Fourth St;36 E 4th St;New York;NY;Italian;$$;;;;;;;;;;;
Artie's Deli;;2290 Broadway;2290 Broadway;New York;NY;;;;;;;;;;;;;
Artisanal;Lower East Side;2 Park Avenue;2 Park Ave;New York;NY;French;$$$;;;;;;;;;;;
Asia De Cuba;Murray Hill;237 Madison Ave;237 Madison Ave;New York;NY;Asian;$$$$;;;;;;;;;;;
Asiakan;Upper West Side;710 Amsterdam Ave.;710 Amsterdam Ave;New York;NY;Pan-Asian;$;;;;;;;;;;;
Aspen;;30 W 22nd St;30 W 22nd St;New York;NY;;;;;;;;;;;;;
Aspen Social Club;Midtown West;157 W 47th St;157 W 47th St;New York;NY;American;$$$$;;;;;;;;;;;
Atnhos;;36 W. 52nd Street;36 W 52nd St;New York;NY;Greek;$$$$;;;;;;;;;;;
Aureole;Midtown East;34 E 61st St (Between Park and Madison);34 E 61st St (Between Park and Madison);New York;NY;American;$$$$$;;;;;;;;;;;
Aurora;SOHO;51 Broome St.;51 Broome St;New York;NY;Italian;$$;;;;;;;;;;;
Awash;;947 Amsterdam Ave.;947 Amsterdam Ave;New York;NY;Ethiopian;;;;;;;;;;;;
Azucar;Midtown West;939 Eighth Avenue;939 8th Ave;New York;NY;Cuban;$$;;;;;;;;;;;
Azuri Cafe;Midtown West;465 W 51st St;465 W 51st St;New York;NY;Jewish;$;;;;;;;;;;;
Azza;Midtown East;137 E. 55th Street;137 E 55th St;New York;NY;Moroccan;$$$$;;;;;;;;;;;
BLT Fish;Flatiron;21 W 17th St;21 W 17th St;New York;NY;Seafood;$$;;;;;;;;;;;
Babbo;Greenwich Village;110 Waverly Pl;110 Waverly Pl;New York;NY;Italian;$$$$;;;;;;;;;;;
Baldoria;Midtown West;249 West 49th Street;249 W 49th St;New York;NY;Italian;$$$$;;;;;;;;;;;
Bali Nusa Indah Restaurant Inc;;651 9th Ave;651 9th Ave;New York;NY;Indonesian;;;;;;;;;;;;
Balthazar;SOHO;80 Spring Street;80 Spring St;New York;NY;French;$$$;;;;;;;;;;;
Bann;Theater;350 W 50th St;350 W 50th St;New York;NY;Korean;$$$;;;;;;;;;;;
Bar Americain;Midtown West;152 W 52nd St;152 W 52nd St;New York;NY;American;$$$$;;;;;;;;;;;
Bar Jamon;NY;52 Irving Pl.;52 Irving Pl;New York;NY;Spanish;$$$;;;;;;;;;;;
Bar Martignetti;;406 Broome St.;406 Broome St;New York;NY;;;;;;;;;;;;;
Baraonda;;1439 Second Avenue;1439 2nd Ave;New York;NY;;;;;;;;;;;;;
Barmarche;NoLita;14 Spring St;14 Spring St;New York;NY;American;$$;;;;;;;;;;;
Barolo;SOHO;398 West Broadway;398 W Broadway;New York;NY;Italian;$$$;;;;;;;;;;;
Bay Leaf;Midtown West;49 W 56th Street;49 W 56th St;New York;NY;Indian;$$;;;;;;;;;;;
Bb Sandwich Bar;West Village;120 W Third St;120 W 3rd St;New York;NY;American;$;;;;;;;;;;;
Beacon;Midtown West;25 West 56th St (Between 5th & 6th Avenues);25 W 56th St;New York;NY;American;$$$$;;;;;;;;;;;
