level_0;level_1;ristorante;indirizzo;Score;restaurant_x;address_x;country_x;neighborhood_x;type_x;phone_x;restaurant_y;address_y;country_y;neighborhood_y;type_y;phone_y
3258;172;1,000;1,000;2,000;Ayurveda Cafe;706 Amsterdam Avenue Frnt;New York;;;;Ayurveda Café; 706 Amsterdam Ave-at 94th St;New York;Upper West Side;Indian;(212-932-2400)
8206;5948;1,000;1,000;2,000;Lucky Cheng's;24 First Avenue;;;;;Lucky Chengs;24 First Avenue;New York;;;
8230;6227;1,000;1,000;2,000;Mindy's Restaurant;212 East 42nd Street;;;;;Mindys Restaurant;212 E 42nd St;New York;;;
8236;6354;1,000;1,000;2,000;Nacho Mama's Burritos;2867 Broadway;;;;;Nacho Mamas Burritos;2893 Broadway;New York;;;
8551;166;1,000;1,000;2,000;Aurora SoHo;510 Broome St-Btwn Thompson St & W Broadway;;;;;Aurora Soho; 510 Broome St-between Thompson St and West Broadway;New York;Soho;Italian;(212-334-9020)
8772;371;1,000;1,000;2,000;Brasserie AthenÃ©e;300 W 46th St-At 8th Ave;;;;;Brasserie Athenée; 300 W 46th St-at Eighth Ave;New York;Midtown West;French;(212-399-1100)
8934;505;1,000;1,000;2,000;Capri Cafe;165 Church St-Btwn Chambers & Reade St;;;;;Capri Caffe; 165 Church St-between Chambers and Reade Sts;New York;Tribeca;Italian;(212-513-1358)
9076;601;1,000;1,000;2,000;CiaoBella;1640 2nd Ave-At 85th St;;;;;Ciaobella; 1640 Second Ave-at 85th St;New York;Upper East Side;Italian;(212-794-8560)
9194;673;1,000;1,000;2,000;Cubana Cafe;110 Thompson St-Btwn Prince & Spring St;;;;;Cubana Café; 110 Thompson St-between Prince and Spring Sts;New York;Soho;Caribbean: Cuban;(212-966-5366)
9445;827;1,000;1,000;2,000;Elaine's;1703 2nd Ave-Btwn 88th & 89th St;;;;;Elaine’s; 1703 Second Ave-between 88th and 89th Sts;New York;Upper East Side;Italian;(212-534-8103)
9574;891;1,000;1,000;2,000;Finnegan's Wake;1361 1st Ave-At 73rd St;;;;;Finnegans Wake; 1361 First Ave-at 73rd St;New York;Upper East Side;British & Irish;(212-737-3664)
9596;4929;1,000;1,000;2,000;Flight 15;1151 8th Ave-;;;;;Flight 151;151 8th Ave;New York;;;
9651;946;1,000;1,000;2,000;Friend of A Farmer;77 Irving Pl-Btwn 18th & 19th St;;;;;Friend of a Farmer; 77 Irving Pl-between 18th and 19th Sts;New York;Gramercy/Flatiron;American;(212-477-2188)
9724;975;1,000;1,000;2,000;Georgia's Eastside BBQ;192 Orchard St-Btwn Houston & Stanton St;;;;;Georgia’s Eastside BBQ; 192 Orchard St-between Houston and Stanton Sts;New York;Lower East Side;Barbeque;(212-253-6280)
9732;981;1,000;1,000;2,000;Gigino Wagner Park;20 Battery Pl-At West St;;;;;Gigino at Wagner Park; 20 Battery Pl-at West St;New York;Financial District;Italian;(212-528-2228)
10047;1164;1,000;1,000;2,000;Itzocan Cafe;438 E 9th St-Btwn 1st Ave & Ave A;;;;;Itzocan Café; 438 E 9th St-between First Ave and Ave A;New York;East Village;Mexican;(212-677-5856)
10168;1232;1,000;1,000;2,000;Kaffe 166;8275 Greenwich St-;;;;;Kaffe 1668;275 Greenwich St -;New York;;;
10411;1403;1,000;1,000;2,000;Lima's Taste;122 Christopher St-At Bedford St;;;;;Lima’s Taste; 122 Christopher St-at Bedford St;New York;West Village;Peruvian;(212-242-0010)
10529;1479;1,000;1,000;2,000;Mamoun's Falafel;119 MacDougal St-Btwn Bleecker & W 3rd St;;;;;Mamoun’s Falafel; 119 MacDougal St-between Bleecker and W 3rd Sts;New York;Greenwich Village;Middle Eastern;(212-674-8685)
10652;1551;1,000;1,000;2,000;Metro Marche;625 8th Ave-At 41st St;;;;;Metro Marché; 625 Eighth Ave-at 41st St;New York;Midtown West;French;(212-239-1010)
10731;1590;1,000;1,000;2,000;Momofuku Ssam Bar;207 2nd Ave-At 13th St;;;;;Momofuku Ssäm Bar; 207 Second Ave-at 13th St;New York;East Village;Korean;(212-254-3500)
10913;1682;1,000;1,000;2,000;Noah's Ark;399 Grand St-Btwn Clinton & Suffolk St;;;;;Noah’s Ark; 399 Grand St-between Clinton and Suffolk Sts;New York;Lower East Side;Kosher;(212-674-2200)
10946;1708;1,000;1,000;2,000;Obika Mozzarella Bar;590 Madison Ave-At 57th St;;;;;Obikà Mozzarella Bar; 590 Madison Ave-at 56th St;New York;Midtown East;Italian;(212-355-2217)
11124;1810;1,000;1,000;2,000;Peanut Butter & Co;240 Sullivan St-Btwn Bleecker St & W 3rd St;;;;;Peanut Butter & Co.; 240 Sullivan St-between Bleecker and W 3rd Sts;New York;Greenwich Village;American;(212-677-3995)
11151;1833;1,000;1,000;2,000;Perry St;176 Perry St-At West St;;;;;Perry St.; 176 Perry St-at West St;New York;West Village;American;(212-352-1900)
11163;1843;1,000;1,000;2,000;Petrossian Boutique & Cafe;911 7th Ave-Btwn 57th & 58th St;;;;;Petrossian Boutique & Café; 911 Seventh Ave-between 57th and 58th Sts;New York;Midtown West;Russian;(212-245-2217)
11168;1848;1,000;1,000;2,000;Philly Slim's Cheesesteaks;789 9th Ave-Btwn 52nd & 53rd St;;;;;Philly Slim’s Cheesesteaks; 789 Ninth Ave-between 52nd and 53rd Sts;New York;Midtown West;American;(212-333-3042)
11507;2022;1,000;1,000;2,000;Sachiko's on Clinton;25 Clinton St-Btwn Houston & Stanton St;;;;;Sachiko’s on Clinton; 25 Clinton St-between Houston and Stanton Sts;New York;Lower East Side;Japanese;(212-253-2900)
11590;2085;1,000;1,000;2,000;Schiller's Liquor Bar;131 Rivington St-At Norfolk St;;;;;Schiller’s Liquor Bar; 131 Rivington St-at Norfolk St;New York;Lower East Side;Eclectic;(212-260-4555)
11774;2205;1,000;1,000;2,000;Spitzer's Corner;101 Rivington St-At Ludlow St;;;;;Spitzer’s Corner; 101 Rivington St-at Ludlow St;New York;Lower East Side;American;(212-228-0027)
11777;2213;1,000;1,000;2,000;St. Dymphna's;118 St Marks Pl-Btwn Ave A & 1st Av;;;;;St. Dymphna’s; 118 St Marks Pl-between Ave A and First Ave;New York;East Village;British & Irish;(212-254-6636)
