level_0;level_1;ristorante;quartiere;Score;restaurant_x;neighborhood_x;address_x;country_x;country_code_x;type_x;cost_x;restaurant_y;neighborhood_y;address_y;country_y;country_code_y;type_y;cost_y
3532;1606;1,000;1,000;2,000;Cornelia Street Cafe;West Village;;;;;;Cornelia Street Café;West Village;;;;;
4405;623;1,000;1,000;2,000;Mama Mexico;Midtown East;;;;;;Mama! Mexico;Midtown East;2672 Broadway;New York;NY;Mexican;$$
4162;263;1,000;1,000;2,000;Churrascaria Plataforma;Midtown West;;;;;;Churrascaria Plataforma Ny;Midtown West;316 W 49th Street;New York;NY;South American;$$$
2382;663;1,000;1,000;2,000;Michael Jordan's The Steak House N.Y.C.;Midtown East;;;;;;Michael Jordan's The Steakhouse N.Y.C.;Midtown East;23 Vanderbilt Ave - Grand Central Staion;New York;NY;Steakhouse;$$$
3714;663;1,000;1,000;2,000;Michael Jordan's the Steakhouse N.Y.C.;Midtown East;;;;;;Michael Jordan's The Steakhouse N.Y.C.;Midtown East;23 Vanderbilt Ave - Grand Central Staion;New York;NY;Steakhouse;$$$
2627;777;1,000;1,000;2,000;Perry St;West Village;;;;;;Perry St.;West Village;176 Perry St;New York;NY;French;$$$$
3383;1079;1,000;1,000;2,000;212 Restaurant & Bar;Upper East Side;;;;;;212 Restaurant and Bar;Upper East Side;;;;;
3391;1112;1,000;1,000;2,000;Accademia Di Vino;Upper East Side;;;;;;Accademia di Vino;Upper East Side;;;;;
3420;1220;1,000;1,000;2,000;B. Cafe;Upper East Side;;;;;;B. Café;Upper East Side;;;;;
3467;1362;1,000;1,000;2,000;Bottega Del Vino;Upper East Side;;;;;;Bottega del Vino;Upper East Side;;;;;
3616;452;1,000;1,000;2,000;Havana - Alma de Cuba;West Village;;;;;;Havana Alma De Cuba;West Village;94 Christopher St;New York;NY;Cuban;$$
1967;452;1,000;1,000;2,000;Havana Alma de Cuba;West Village;;;;;;Havana Alma De Cuba;West Village;94 Christopher St;New York;NY;Cuban;$$
3624;471;1,000;1,000;2,000;Hudson River Cafe;Harlem;;;;;;Hudson River Café;Harlem;697 West 133rd ST.;New York;NY;American;$$
3664;2183;1,000;1,000;2,000;La Mediterranee;Midtown East;;;;;;La Mediterranée;Midtown East;;;;;
3704;648;1,000;1,000;2,000;Megu - Midtown;Midtown East;;;;;;Megu Midtown;Midtown East;845 United Nations Plaza;New York;NY;Japanese;$$$$$
3786;2741;1,000;1,000;2,000;Re Sette;Midtown West;;;;;;ReSette;Midtown West;;;;;
3797;2785;1,000;1,000;2,000;Rosie O'Grady's - Times Square;Times Square;;;;;;Rosie O'Grady's Times Square;Times Square;;;;;
3856;3002;1,000;1,000;2,000;T-BAR Steak & Lounge;Upper East Side;;;;;;T-Bar Steak & Lounge;Upper East Side;;;;;
4659;3002;1,000;1,000;2,000;T-Bar Steak and Lounge;Upper East Side;;;;;;T-Bar Steak & Lounge;Upper East Side;;;;;
3930;3356;1,000;1,000;2,000;dell'anima;West Village;;;;;;dell’anima;West Village;;;;;
3963;1123;1,000;1,000;2,000;Agozar;East Village;;;;;;Agozar!;East Village;;;;;
3999;1204;1,000;1,000;2,000;Atlas Cafe;East Village;;;;;;Atlas Café;East Village;;;;;
4275;1868;1,000;1,000;2,000;Garden Court Cafe;Upper East Side;;;;;;Garden Court Café;Upper East Side;;;;;
4284;1908;1,000;1,000;2,000;Gordon Ramsay at The London;Midtown West;;;;;;Gordon Ramsay at the London;Midtown West;;;;;
4365;2212;1,000;1,000;2,000;Lazzara's Pizza Cafe;Midtown West;;;;;;Lazzara's Pizza Café;Midtown West;;;;;
4391;2268;1,000;1,000;2,000;Lugo Caffe;Midtown West;;;;;;Lugo Caffè;Midtown West;;;;;
3682;2268;1,000;1,000;2,000;Lugo Caffé;Midtown West;;;;;;Lugo Caffè;Midtown West;;;;;
4421;640;1,000;1,000;2,000;Mas (Farmhouse);Greenwich Village;;;;;;Mas (farmhouse);Greenwich Village;39 Downing St;New York;NY;American;$$$$
4546;3790;1,000;1,000;2,000;Rhong Tiam;Greenwich Village;;;;;;Rhong-Tiam;Greenwich Village;;;;;
4561;2807;1,000;1,000;2,000;Sachiko's on Clinton;Lower East Side;;;;;;Sachiko’s on Clinton;Lower East Side;;;;;
4618;2917;1,000;1,000;2,000;SobaKoh;East Village;;;;;;Sobakoh;East Village;;;;;
4660;3007;1,000;1,000;2,000;Taam Tov;Midtown West;;;;;;Taam-Tov;Midtown West;;;;;
3974;1154;1,000;1,000;2,000;Amber;Upper East Side;;;;;;Amber;Upper West Side;;;;;
1557;251;1,000;1,000;2,000;China Fun;Upper East Side;;;;;;China Fun;Upper West Side;246 Columbus Ave;New York;NY;Chinese;$
4163;265;1,000;1,000;2,000;Cilantro;Upper West Side;;;;;;Cilantro;Upper East Side;1712 2nd Ave;New York;NY;Southwestern;$
4301;447;1,000;1,000;2,000;Haru;Upper East Side;;;;;;Haru;Upper West Side;433 Amsterdam Ave;New York;NY;Japanese;$$
1720;1719;1,000;1,000;2,000;EJ's Luncheonette;Upper West Side;;;;;;EJ's Luncheonette;Upper East Side;;;;;
2662;2661;1,000;1,000;2,000;Pio Pio;Upper East Side;;;;;;Pio Pio;Upper West Side;;;;;
4567;2820;1,000;1,000;2,000;Sake Hana;Upper West Side;;;;;;Sake Hana;Upper East Side;;;;;
4733;4732;1,000;1,000;2,000;Vynl;Upper West Side;;;;;;Vynl;Upper East Side;;;;;
4372;4370;1,000;1,000;2,000;Le Pain Quotidien;Upper East Side;;;;;;Le Pain Quotidien;Upper West Side;;;;;
4503;4500;1,000;1,000;2,000;Patsy's Pizzeria;Upper West Side;;;;;;Patsy's Pizzeria;Upper East Side;;;;;
4578;4577;1,000;1,000;2,000;Sarabeth's;Upper East Side;;;;;;Sarabeth's;Upper West Side;;;;;
4674;3032;1,000;1,000;2,000;Tavern on the Green;Upper West Side;;;;;;Tavern on The Green;Upper West Side;;;;;
3976;3406;1,000;1,000;2,000;Amsterdam Restaurant and Tapas Lounge;Upper West Side;;;;;;Amsterdam Restaurant & Tapas Lounge;Upper West Side;;;;;
1168;54;1,000;1,000;2,000;Angon on the Sixth;East Village;;;;;;Angon on The Sixth;East Village;320 E Sixth St;New York;NY;Indian;$
1188;66;1,000;1,000;2,000;Arte Café;Upper West Side;;;;;;Arte Cafe;Upper West Side;106 W 73rd St;New York;NY;Italian;$$
1417;193;1,000;1,000;2,000;Cacio e Pepe;East Village;;;;;;Cacio E Pepe;East Village;182 Second Ave;New York;NY;Italian;$$
1496;226;1,000;1,000;2,000;Candle Café;Upper East Side;;;;;;Candle Cafe;Upper East Side;1307 Third Avenue;New York;NY;Vegetarian;$
1539;244;1,000;1,000;2,000;Chat 'n Chew;Union Square;;;;;;Chat 'N Chew;Union Square;10 E 16th St;New York;NY;American;$
1820;389;1,000;1,000;2,000;Flea Market Café;East Village;;;;;;Flea Market Cafe;East Village;131 Ave A;New York;NY;French;$
1821;390;1,000;1,000;2,000;Fleur de Sel;Flatiron;;;;;;Fleur De Sel;Flatiron;5 E 20th St;New York;NY;French;$$$$$
1844;402;1,000;1,000;2,000;Freemans;Lower East Side;;;;;;Freeman;Lower East Side;Freeman Alley;New York;NY;American;$$
4269;1852;1,000;1,000;2,000;Friend House 2;East Village;;;;;;Friend House;East Village;;;;;
1905;426;1,000;1,000;2,000;Good Enough to Eat;Upper West Side;;;;;;Good Enough To Eat;Upper West Side;483 West Amsterdam Avenue;New York;NY;American;$
4285;429;1,000;1,000;2,000;Gotham Bar and Grill;Greenwich Village;;;;;;Gotham Bar & Grill;Greenwich Village;12 E 12th St;New York;NY;American;$$$$
2077;514;1,000;1,000;2,000;Jewel of India;Midtown West;;;;;;Jewel Of India;Midtown West;15 W 44th St;New York;NY;Indian;$$
2195;567;1,000;1,000;2,000;La Taza de Oro;Chelsea;;;;;;La Taza De Oro;Chelsea;96 Eighth Ave;New York;NY;Caribbean;$
2215;581;1,000;1,000;2,000;Le Boeuf a la Mode;Upper East Side;;;;;;Le Boeuf a La Mode;Upper East Side;539 E 81st St;New York;NY;French;$$$
2402;678;1,000;1,000;2,000;Momofuku Ssäm Bar;East Village;;;;;;Momofuku Ssam Bar;East Village;207 2nd Ave;New York;NY;Asian;$$$
