;0_restaurant;0_address;0_country
0;100 Finest Pizza & Restaurant Inc;103 West 110;
1;100 Kenmare Food Corp;100 Kenmare;New York
2;100 Park KNC Inc;100 Park Avenue Lbby;New York
3;101 Audubon Grocery;101 Audubon Avenue Frnt;New York
4;101 Donut Shop;101 West 23;New York
5;101 Restaurant;238 East 24;New York
6;1020 Amsterdam Corporation;1020 Amsterdam Avenue;New York
7;103 Deli & Grocery Inc;2711 Broadway;New York
8;103 Second Restaurant;230 East 9th Street;New York
9;107 West Restaurant;811 West 187th Street;New York
10;107 West Restaurant;2787 Broadway;New York
11;108 Mini Cafe;196 West 108th Street;New York
12;10th AV Farms Inc;460 West 34th Street;New York
13;10th Avenue Gourmet;829 10 Av;New York
14;10th Avenue Pizza & Deli Inc;256 10th Avenue Frnt;New York
15;10th Avenue Restaurant Deli;764 10th Avenue;New York
16;1131 Lexington Grocery Corporation;1131 Lexington Avenue;New York
17;119 Bar;119 E 15th St;New York
18;119 Bar;17 Irving Place Frnt;New York
19;11th Ave Health Food Ktchn Deli;610 11th Ave;New York
20;12 Chairs;56 Macdougal St;New York
21;122 Deli Grocery;147 Sherman Av;New York
22;123 Greetings.Com Inc;1674 Broadway;New York
23;128 Madison Avenue Chinese Restaurant;128 Madison Ave;New York
24;130 Water Gourmet Farm Inc;79 Pine Street;New York
25;1316 Food Inc;1316 5 Av;New York
26;132 Deli Inc;132 East 31st Street;New York
27;1363 Stir;1363 First Ave;New York
28;1363 Stir;Tapas;
29;137 Broadway Chinese Rest;3371 Broadway;New York
30;14 St Fruit & Vegetable;154 West 14th Street;New York
31;14 Wall St Restaurant;14 Wall St;New York
32;1420 Broadway Deli Inc;1420 Broadway;New York
33;144 Deli;142 W 49th St;New York
34;1455 York Delicatessen CO;433 East 80th Street;New York
35;1492;60 Clinton Street;New York
36;15 Penn Plaza Corporation;15 Penn Plaza;New York
37;154 Chelsea Deli Corp;154 7 Av;New York
38;157 West 33 Gourmet Deli;157 West 33rd Street;New York
39;162 First Avenue Corporation;162 1st Avenue;New York
40;163 First Avenue Restaurant;163 1st Ave;New York
41;1631 Panda Kitchen Inc;1631 2 Av;New York
42;1641 2nd Avenue Restaurant Inc;1641 2nd Ave;New York
43;1657 Broadway Deli Ltd;1657 Broadway;New York
44;168 E 116 Restaurant Corporation;168 East 116th Street;New York
45;17 Battery Park Cafe;17 Battery Place Floor 1;New York
46;17 Murray St Restaurant;17 Murray Street;
47;17 Murray St Restaurant;17 Murray St Restaurant;
48;180 Broadway Cafe;180 Broadway;New York
49;181 Janlo Co;4259 Broadway;New York
50;1849;183 Bleecker Street;New York
51;1978 Convenience Espress;1978 1 Av;New York
52;1991 Small Fish;1991 Broadway Frnt;New York
53;1994 Sss Corp;901 Avenue Of The Americas;New York
54;19th Street Food Extravaganza;51 W 19th St # 1;New York
55;1st Avenue Grocery & Deli;2239 1st Avenue;New York
56;2 Rivers Restaurant and Bar;10 Murray Street;New York
57;2 Seven 7;2 Seven 7;
58;2 Seven 7;277 Church St;New York
59;20 Mott St Restaurant;20 Mott St # 1;New York
60;2020;20 Warren;New York
61;2026 China King;2026 Lexington Av;New York
62;206 East 60ST Corporation;204 East 60th Street;New York
63;207 Grocery Store Corporation;528 West 207th Street;New York
64;21 Club;21 W 52nd St;New York
