restaurant;address;country;neighborhood;type;phone
#1 Farmer’s Market; 1458 Second Ave-at 76th St;New York;Upper East Side;Food or Beverage Shop;(212-396-2626)
1 2 3 Burger Shot Beer; 738Tenth Ave-between 50th and 51st;New York;Midtown West;American;(212-315-0123)
1 Dominick; 1 Dominick St-between Sixth Ave and Varick St;New York;Soho;Italian;(212-647-0202)
10 Downing Food & Wine; 10 Downing St-at Sixth Ave;New York;West Village;American Creative;(212-255-0300)
1492 Food; 60 Clinton St-between Rivington and Stanton Sts;New York;Lower East Side;Spanish;(646-654-1114)
15 East; 15 E 15th St-between Fifth Ave and Union Sq West;New York;Gramercy/Flatiron;Japanese;(212-647-0015)
2 West;Ritz-Carlton Battery Park Hotel -2 West Stat Battery Pl;New York;Financial District;Steakhouses;(917-790-2525)
202 at Chelsea Market; 75 Ninth Ave-at 16th St;New York;Chelsea;British & Irish;(646-638-0115)
212 Restaurant & Bar; 133 E 65th St-between Park and Lexington Aves;New York;Upper East Side;American Creative;(212-249-6565)
24 Prince; 24 Prince St-between Elizabeth and Mott Sts;New York;Chinatown/Little Italy;American;(212-226-8624)
26 Seats; 168 Ave B-between 10th and 11th Sts;New York;East Village;French;(212-677-4787)
2nd Ave Deli; 162 E 33rd St-between Lexington and Third Aves;New York;Midtown East;American;(212-698-9000)
33 Ristorante; 196 Eighth Ave-at 20th St;New York;Chelsea;Italian;(212-242-4551)
44 & X Hell’s Kitchen; 622 Tenth Ave-at 44th St;New York;Midtown West;American;(212-977-1170)
44 1/2; 626 Tenth Ave-between 44th and 45th Sts;New York;Midtown West;Cafés & diners;(212-399-4450)
44 Southwest; 621 Ninth Ave-at 44th St;New York;Midtown West;Italian;(212-315-4582)
4fusion (CLOSED); 132 W 58th St-between Sixth and Seventh Aves;New York;Midtown West;Eclectic;(212-247-8887)
5 Napkin Burger; 630 Ninth Ave-at 45th St;New York;Midtown West;American;(212-757-2277)
5 Ninth; 5 Ninth Ave-between Gansevoort and Little W 12th St;New York;Meatpacking District;Eclectic;(212-929-9460)
508; 508 Greenwich St-between Canal and Spring Sts;New York;Soho;Mediterranean;(212-219-2444)
540 Park;Loews Regency Hotel -540 Park Aveat 61st St;New York;Midtown East;American;(212-339-4050)
66 (CLOSED); 241 Church St-between Leonard and Worth Sts;New York;Tribeca;Chinese;(212-925-0202)
71 Clinton Fresh Food (CLOSED); 71 Clinton St-between Rivington and Stanton Sts;New York;Lower East Side;American Creative;(212-614-6960)
7A; 109 Ave A-at 7th St;New York;East Village;American;(212-673-6583)
809 Sangria Bar and Grill; 112 Dyckman St-between Nagle and Sherman Aves;New York;Inwood;Caribbean: Dominican;(212-304-3800)
88 Orchard; 88 Orchard St-between Broome and Grand Sts;New York;Lower East Side;Cafés;(212-228-8880)
92YTribeca Cafe; 200 Hudson St-at Canal St;New York;Tribeca;Kosher;(212-601-1000)
99 Miles to Philly; 94 Third Ave-between 12th and 13th Sts;New York;East Village;American;(212-253-2700)
99? Fresh Pizza; 569 Ninth Ave-at 41st St;New York;Midtown West;Italian;(212-268-1461)
99c Fresh Pizza; 569 Ninth Ave-at 41st St;New York;Midtown West;Italian;(212-268-1461)
?sküdar; 1405 Second Ave-between 73rd and 74th Sts;New York;Upper East Side;Turkish;(212-988-2641)
A Café and Wine Room; 973 Columbus Ave-between 107th and 108th Sts;New York;Upper West Side;Eclectic;(212-222-2033)
A Salt & Battery; 112 Greenwich Ave-between 12th and 13th Sts;New York;West Village;British & Irish;(212-691-2713)
A Salt & Battery (CLOSED); 80 Second Ave-between 4th and 5th Sts;New York;East Village;British & Irish;(212-254-6610)
A Voce;41 Madison Ave -entrance on 26th Stbetween Madison Ave and Park Ave South;New York;Gramercy/Flatiron;Italian;(212-545-8555)
A.O.C.; 314 Bleecker St-at Grove St;New York;West Village;French;(212-675-9463)
A.O.C. Bedford (CLOSED); 14 Bedford St-between Sixth Ave and Downing St;New York;West Village;Spanish;(212-414-4764)
AQ Café;Scandinavia House -58 Park Avebetween 37th and 38th Sts;New York;Midtown East;Seafood;(212-879-9779)
AQ Kafé; 1800 Broadway-between 58th and 59th Sts;New York;Midtown West;Scandinavian;(718-784-7364)
Abboccato; 138 W 55th St-between Sixth and Seventh Aves;New York;Midtown West;Italian;(212-265-4000)
Abraço; 86 E 7th St-between First and Second Aves;New York;East Village;Cafés & diners;(212-388-9731)
Absolute Bagels; 2788 Broadway-between 106th and 107th Sts;New York;Upper West Side;Cafés;(212-932-2052)
Aburiya Kinnosuke; 213 E 45th St-between Second and Third Aves;New York;Midtown East;Japanese;(212-867-5454)
Accademia di Vino; 1081 Third Ave-at 64th St;New York;Upper East Side;Italian;(212-888-6333)
Acme Bar & Grill/Acme Underground; 9 Great Jones St-between Broadway and Lafayette St;New York;Greenwich Village;American Regional;(212-420-1934)
Acqua; 718 Amsterdam Ave-at 95th St;New York;Upper West Side;Italian;(212-222-2752)
Acqua Pazza (CLOSED); 36 W 52nd St-between Fifth and Sixth Aves;New York;Midtown West;Italian;(212-582-6900)
Adelina Vegetarian Kitchen;119 E 17th St -;New York;;;
Adiletto’s; 812 Washington St-between Gansevoort and Horatio Sts;New York;Meatpacking District;Italian;(212-352-3581)
Adour Alain Ducasse at The St. Regis New York; 2 E 55th St-at Fifth Ave;New York;Midtown West;French;(212-710-2277)
Adrienne’s Pizzabar; 53 Stone St-between Mill St and Coenties Alley;New York;Financial District;Italian;(212-248-3838)
Adä; 208 E 58th St-between Second and Third Aves;New York;Midtown East;Indian;(212-371-6060)
Affettati; 131 E 7th St-between First Ave and Ave A;New York;East Village;Italian;(212-228-6875)
Affettati (CLOSED);131 E 7th St -;New York;;;
After 8.5; 9 W 57th St-between Fifth and Sixth Aves;New York;Midtown West;French;(212-829-0812)
Agata & Valentina; 1505 First Ave-at 79th St;New York;Upper East Side;Food or Beverage Shop;(212-452-0690)
Agave; 140 Seventh Ave South-between Charles and W 10th Sts;New York;West Village;American Regional;(212-989-2100)
Ago; 377 Greenwich St-at North Moore St;New York;Tribeca;Italian;(212-925-3797)
Agozar!; 324 Bowery-between Bleecker and Bond Sts;New York;East Village;Caribbean: Cuban;(212-677-6773)
Aja; 1066 First Ave-at 58th St;New York;Midtown East;Asian: Pan-Asian;(212-888-8008)
